,model_a,model_b,total,accA,accB,sum(A!=B),sum(A-B),SE_signtest,pvalue,SE_pred(A-B),SE_x(A-B),SE(A-B),"corr(A,B)",benchmark_id
0,deepseek_r1_distill_llama_70b,deepseek_r1_distill_llama_8b,30.0,0.25048484848666663,0.18342424242,3.620487603049669,2.0118181819999994,0.06342526313219773,1.0,0.058144447978345594,0.02218294411962403,0.0622323054411525,0.9465075169756887,aime2025_cot
1,deepseek_r1_distill_llama_70b,deepseek_r1_distill_qwen_1.5b,30.0,0.25048484848666663,0.1504545454533333,4.216340495692958,3.000909091,0.06844576519399996,0.625,0.059196674604206787,0.029103970599063514,0.06596428873888882,0.9153563767840065,aime2025_cot
2,deepseek_r1_distill_llama_70b,deepseek_r1_distill_qwen_14b,30.0,0.25048484848666663,0.24015151515333333,3.129345454369636,0.30999999999999983,0.05896652020303684,1.0,0.058198705079066784,0.00929526614550106,0.05893633213558415,0.9900128876185377,aime2025_cot
3,deepseek_r1_distill_llama_70b,deepseek_r1_distill_qwen_32b,30.0,0.25048484848666663,0.26593939394666666,3.3659404955573224,-0.46363636380000006,0.06115499884680385,1.0,0.06038031688444324,0.009283845344160617,0.061089871921948494,0.9903104981557611,aime2025_cot
4,deepseek_r1_distill_llama_70b,deepseek_r1_distill_qwen_7b,30.0,0.25048484848666663,0.22539393939,3.087580165106017,0.7527272728999999,0.05857170501099976,1.0,0.056696510932056535,0.013970152184217412,0.058392289764308776,0.9777385103159565,aime2025_cot
5,deepseek_r1_distill_llama_70b,google_gemma_3_12b_it,30.0,0.25048484848666663,0.1728484848433333,4.89095041295195,2.3290909092999996,0.0737183108035201,0.625,0.05364935187763883,0.04853063869531307,0.07234276639074376,0.7143605341656454,aime2025_cot
6,deepseek_r1_distill_llama_70b,google_gemma_3_27b_it,30.0,0.25048484848666663,0.2511017838333333,3.4612439184692843,-0.01850806040000008,0.06201472870276046,1.0,0.059326990979298916,0.018058849089715057,0.06201462641266909,0.9634281164559748,aime2025_cot
7,deepseek_r1_distill_llama_70b,google_gemma_3_4b_it,30.0,0.25048484848666663,0.10803030302333334,5.767333884220116,4.273636363900001,0.08005091355034352,0.0625,0.054483346376080564,0.05256681916510108,0.07570802803846109,0.6215252576279734,aime2025_cot
8,deepseek_r1_distill_llama_70b,qwen2-math-72b-instruct,30.0,0.25048484848666663,0.11523809522666666,6.505103895720078,4.0574025977999995,0.0850170172228287,0.21875,0.06064881497474497,0.054220767706788575,0.08135213831580812,0.5846941570772827,aime2025_cot
9,deepseek_r1_distill_llama_70b,qwen2.5-coder-14b-instruct,30.0,0.25048484848666663,0.07954896510000001,6.356206925675454,5.1280765016,0.08403839681740362,0.21875,0.05780670453439638,0.052410569953713085,0.07802873145194696,0.6602478466727916,aime2025_cot
