,model,pass1,win_rate,count,SE(A),SE_x(A),SE_pred(A)
4,deepseek_r1_distill_qwen_32b,0.26593939394666666,0.22023349728975417,1100.0,0.08066714173977454,0.06805257915006381,0.043313210773263826
13,google_gemma_3_27b_it,0.2511017838333333,0.2048451517791772,953.0,0.07917273899288216,0.06721889005743721,0.04183232504990861
0,deepseek_r1_distill_llama_70b,0.25048484848666663,0.20584189413619058,1100.0,0.07910798298639615,0.06699495900886379,0.04206837814293063
3,deepseek_r1_distill_qwen_14b,0.24015151515333333,0.19520022884737473,1100.0,0.0779911885883894,0.06682278551606578,0.040216176264080486
5,deepseek_r1_distill_qwen_7b,0.22539393939,0.18141824785239855,1100.0,0.07628707000015512,0.06614356459185099,0.038009813368289555
46,qwen3-14b,0.20021624960999998,0.16143435990043617,1079.0,0.0730592688625945,0.057657555327105585,0.044869400268319044
49,qwen3-8b,0.18621212120999997,0.14837526934208803,1100.0,0.0710720683823756,0.05519236894834129,0.04477768768057643
47,qwen3-32b,0.18489296636000002,0.15010364054577602,1090.0,0.07087725477908972,0.05343499535488204,0.04656486353940845
1,deepseek_r1_distill_llama_8b,0.18342424242,0.14451843227391986,1100.0,0.07065875499248697,0.058151795036424876,0.040137618154668
11,google_gemma_3_12b_it,0.1728484848433333,0.13528377715306852,1100.0,0.06903426350508789,0.06047499500103993,0.03329421146857371
48,qwen3-4b,0.17133333332999998,0.1364176647196686,1100.0,0.06879394891510714,0.05270872726045677,0.04420856792429666
2,deepseek_r1_distill_qwen_1.5b,0.1504545454533333,0.1170670943969684,1100.0,0.06527326538120698,0.0502603355431073,0.041647302969336886
37,qwen2-math-72b-instruct,0.11523809522666666,0.0923343351649807,140.0,0.058297591898578555,0.038601540162394636,0.04368672931525369
41,qwen2.5-coder-32b-instruct,0.11390909091000001,0.08994898597255956,1100.0,0.05800396823150906,0.040573202526290965,0.041452087611632875
14,google_gemma_3_4b_it,0.10803030302333334,0.08250716243398262,1100.0,0.0566744376981428,0.04486987068893003,0.03462205356069116
45,qwen3-1.7b,0.08545454545333332,0.06746606389287528,1100.0,0.051039875298534154,0.03292650210263048,0.038998901648320664
40,qwen2.5-coder-14b-instruct,0.07954896510000001,0.06123791481649946,1079.0,0.04940341663337297,0.0294759380766793,0.039646773507441946
43,qwen2.5-coder-7b-instruct,0.031424242420000005,0.024231368395402447,1100.0,0.03185213724295911,0.011008926093265366,0.029889165147546748
35,qwen2-72b-instruct,0.026181818176666663,0.021329175129708267,1100.0,0.02915266172732239,0.008936182158562851,0.02774927628275503
16,llama-3.1-70B-instruct,0.02496969697,0.01988798609485901,1100.0,0.028487547690892578,0.011136139563621122,0.026220731665238316
42,qwen2.5-coder-3b-instruct,0.013909090899999999,0.011387054500051971,1100.0,0.021381945725569142,0.005269694028596457,0.020722401594799753
21,mistralai_ministral_8b_instruct_2410,0.011666666659999998,0.0095493936200967,1100.0,0.019604893563465595,0.004525403534436282,0.019075444280155743
44,qwen3-0.6b,0.010818181816666668,0.008699041208442811,1100.0,0.018886634391237462,0.004541612728958764,0.018332449712147945
25,mistralai_mixtral_8x22b_instruct_v0.1,0.010181818173333333,0.008611801619403366,1100.0,0.01832861947157915,0.003672493921752885,0.017956922902564308
8,google_gemma_2_27b_it,0.008363636360000001,0.006820671602567629,1100.0,0.016626972010198457,0.004091659035896643,0.016115660847817823
17,llama-3.1-8B-instruct,0.00806060606,0.006967767732384406,1100.0,0.016325473642894703,0.0023626915904023755,0.016153599540458207
19,llama-3.2-3B-instruct,0.007606060596666667,0.006419257137974549,1100.0,0.015862123059736256,0.0035104560924519132,0.015468795880261139
20,mistralai_mathstral_7b_v0.1,0.006757575753333333,0.005848237369707859,1100.0,0.014957618931803389,0.0019106505611021748,0.014835086064543175
36,qwen2-7b-instruct,0.005515151506666666,0.004653694488418516,1100.0,0.013521260555787909,0.002180887666742798,0.013344220322017887
31,qwen1.5-72b-chat,0.0041818181800000005,0.0038076999948876812,1100.0,0.011781808826476833,0.001109685292912848,0.011729433821559348
30,qwen1.5-32b-chat,0.004090909086666667,0.0036228674803061136,1100.0,0.0116535739146285,0.001162780150007406,0.011595418375654178
9,google_gemma_2_9b_it,0.003060606056666667,0.002445767866233458,1100.0,0.010085036352987797,0.0018431714733914504,0.009915174086255944
26,mistralai_mixtral_8x7b_instruct_v0.1,0.00306060605,0.002777051718819274,1100.0,0.010085036342037813,0.0009206911310768102,0.010042922177403346
