,model,pass1,pass@count,win_rate,count,SE(A),SE_x(A),SE_pred(A)
12,google_gemma_3_27b_it,0.86525,0.956,0.43271753857910217,8.0,0.015270392103675662,0.012321839641176034,0.009019819447036777
3,deepseek_r1_distill_qwen_32b,0.8484825688058,0.982,0.4211227763616175,1090.0,0.016034955518398602,0.012079064057304465,0.010545900150132142
45,qwen3-32b,0.823405714286,0.98,0.39879421052114844,700.0,0.017053371746793194,0.013180744867088125,0.010820603157082064
44,qwen3-14b,0.822932344761,0.978,0.3980491976618281,1079.0,0.017071303448018414,0.013597030648221696,0.01032231364402599
0,deepseek_r1_distill_llama_70b,0.8206296296288,0.978,0.40125475282484735,1080.0,0.017157892679702743,0.012588458106520855,0.011658645020265708
35,qwen2-math-72b-instruct,0.8112571428552001,0.946,0.387214486533292,35.0,0.01749965662643799,0.014512098650804458,0.009779415871745849
10,google_gemma_3_12b_it,0.8023517305878,0.984,0.3826336876352277,1069.0,0.01780917915068308,0.0147175675649212,0.010027964249692174
47,qwen3-8b,0.7971545454536,0.982,0.37810689228122807,1100.0,0.017983279796314373,0.014477314940180844,0.010667975644673422
46,qwen3-4b,0.7819309090925999,0.978,0.36830054239461374,1100.0,0.018466995559550024,0.014694637520224357,0.011184701745940965
4,deepseek_r1_distill_qwen_7b,0.7810054545448001,0.982,0.3723186998950181,1100.0,0.018495185022922606,0.013770445360219727,0.012346930939036781
39,qwen2.5-coder-32b-instruct,0.7697972602752,0.972,0.35667525777504977,1095.0,0.01882601595388658,0.015121778447731358,0.011213861657507613
38,qwen2.5-coder-14b-instruct,0.7260129749740001,0.98,0.32666183063097665,1079.0,0.019945833406674288,0.015701266385754167,0.012300670882939289
1,deepseek_r1_distill_llama_8b,0.7054929577492,0.952,0.328408760690972,71.0,0.020384927977085694,0.01452593659321751,0.014301833963544518
2,deepseek_r1_distill_qwen_1.5b,0.6866818181816,0.98,0.3074555825649655,1100.0,0.020743668853913575,0.015255100301955546,0.014056376215017152
43,qwen3-1.7b,0.6792581818196,0.976,0.29927743386253597,1100.0,0.020874218751882966,0.016395391504564878,0.01291991276725599
15,llama-3.1-70B-instruct,0.6642602870817998,0.886,0.2914985489708607,1045.0,0.021119590814587516,0.016923220937377994,0.01263494001886437
13,google_gemma_3_4b_it,0.6568654545479999,0.972,0.2941969249506607,1100.0,0.02123173234427419,0.017073067381638118,0.012621284741298852
33,qwen2-72b-instruct,0.6531069767422,0.964,0.2794232536126213,215.0,0.02128653347414104,0.016739077253514832,0.013149897339773767
41,qwen2.5-coder-7b-instruct,0.6242527272734001,0.968,0.2648394105364808,1100.0,0.021659236356119396,0.016028427519787516,0.014567499125559004
7,google_gemma_2_27b_it,0.53056284153,0.938,0.20783875067091923,1098.0,0.022318867028485657,0.018757528522392417,0.012094914186006415
34,qwen2-7b-instruct,0.5248927272726001,0.968,0.20535164039837914,1100.0,0.022332951087079018,0.016898765774573218,0.014601110216486171
20,mistralai_ministral_8b_instruct_2410,0.49311636363579997,0.974,0.1898097505766005,1100.0,0.022358560577568735,0.016499721680029306,0.015088552468092552
19,mistralai_mathstral_7b_v0.1,0.4852363636366,0.978,0.18637460900395417,1100.0,0.022350929960130488,0.016304101456817436,0.015288569121028371
16,llama-3.1-8B-instruct,0.4841509090918,0.938,0.18721870892632209,1100.0,0.022349443228742126,0.0168155727644664,0.014721892719270269
24,mistralai_mixtral_8x22b_instruct_v0.1,0.47787999999999997,0.918,0.18429649107122056,100.0,0.022338787147023,0.016309308152466836,0.015265250695218825
40,qwen2.5-coder-3b-instruct,0.4743054545444,0.972,0.18721227979501023,1100.0,0.022331134782353993,0.014937578034732776,0.01659964888556168
8,google_gemma_2_9b_it,0.47407454545520006,0.906,0.17578866724017547,1100.0,0.02233060101325737,0.01879645947884836,0.01205607119559696
18,llama-3.2-3B-instruct,0.44469636363739995,0.918,0.16670681606519902,1100.0,0.022223478926805016,0.016904854921559333,0.014425979886689772
29,qwen1.5-72b-chat,0.4057179487188,0.934,0.14863341650831105,390.0,0.021959548939184028,0.016008431570982314,0.015031696785446249
28,qwen1.5-32b-chat,0.39899999999780006,0.822,0.1461870704600724,30.0,0.021899726025663226,0.015844004631467155,0.015118383420100134
42,qwen3-0.6b,0.33444727272619995,0.95,0.12143335106874233,1100.0,0.021099397834640057,0.014327526977953618,0.015488917317889745
37,qwen2.5-coder-1.5b-instruct,0.33107454545259996,0.956,0.1166638887671641,1100.0,0.02104586376492798,0.014225516312712632,0.015510095655690052
27,qwen1.5-14b-chat,0.3087363636358,0.952,0.10396707613414848,1100.0,0.020660020397121732,0.014690230037701698,0.014526995017858748
17,llama-3.2-1B-instruct,0.2662054545446,0.878,0.0892108860855218,1100.0,0.019765632320535707,0.013682642299893511,0.01426413406848697
6,google_codegemma_1.1_7b_it,0.21948545454360002,0.912,0.07041846495411087,1100.0,0.01851008318659802,0.013186269319220902,0.0129902071198173
5,deepseek_v2_lite_chat,0.21423636363579998,0.938,0.06976843236603143,1100.0,0.01834879528099375,0.011478495961448629,0.014315111551323168
30,qwen1.5-7b-chat,0.1702236363618,0.922,0.05270217762948287,1100.0,0.016807590546271983,0.010713710699576984,0.012950347602165006
11,google_gemma_3_1b_it,0.1447254545452,0.866,0.060053943187961714,1100.0,0.01573403936386872,0.010048206809383871,0.012107581699894577
23,mistralai_mistral_7b_instruct_v0.3,0.1393836363604,0.914,0.043361691502830965,1100.0,0.015489082495445092,0.00969501697337739,0.012079665659140896
22,mistralai_mistral_7b_instruct_v0.2,0.1044087431634,0.86,0.03215825101442291,915.0,0.01367534698020048,0.00788445959537081,0.01117364810247054
36,qwen2.5-coder-0.5b-instruct,0.08659454545240002,0.874,0.027710530807262858,1100.0,0.012577434567533416,0.006803557963501936,0.010578443143386169
32,qwen2-1.5b-instruct,0.07182230624260001,0.894,0.021676477879892,1058.0,0.011546762539222342,0.005136283143735985,0.010341485415768953
