,model,pass1,pass@count,win_rate,count,SE(A),SE_x(A),SE_pred(A)
4,deepseek_r1_distill_qwen_32b,0.3787878787866667,0.7333333333333333,0.3239795043519849,11.0,0.08856402988252138,0.06376370136273916,0.06146362971347817
0,deepseek_r1_distill_llama_70b,0.3424242424200001,0.6666666666666666,0.2911466093780369,11.0,0.08663522775081914,0.06333019179425331,0.05911809786130973
5,deepseek_r1_distill_qwen_7b,0.2848484848466667,0.4666666666666667,0.23760210773452628,11.0,0.08240344360264422,0.06499746881249094,0.050652310564706066
3,deepseek_r1_distill_qwen_14b,0.2757575757566667,0.43333333333333335,0.22657621740455458,11.0,0.0815915304365743,0.06897961974432977,0.04357740124089665
13,google_gemma_3_27b_it,0.25555555555666665,0.5666666666666667,0.20832321454969657,12.0,0.0796339361455048,0.05376230403267476,0.058746731408007534
48,qwen3-14b,0.24444444444999996,0.3333333333333333,0.1946851432930935,12.0,0.07846259364128677,0.06725609242273099,0.04041035304155064
49,qwen3-32b,0.22727272727333334,0.43333333333333335,0.18093173611930424,11.0,0.07651140104826958,0.05856408512267578,0.04923659639042012
16,llama-3.1-70B-instruct,0.2,0.2,0.16612954583562092,13.0,0.07302967433402216,0.07302967433402216,0.0
1,deepseek_r1_distill_llama_8b,0.18974358973666666,0.4,0.1527692401388404,13.0,0.07158700065666257,0.05240020309385239,0.04877414662236571
38,qwen2-math-72b-instruct,0.18333333333666665,0.36666666666666664,0.14362849206310133,6.0,0.07064517492943953,0.05082650227365713,0.04906533814656776
11,google_gemma_3_12b_it,0.18181818181,0.4666666666666667,0.14587098877834573,11.0,0.07041787902072072,0.05211768839368361,0.047354242072656566
51,qwen3-8b,0.175,0.5,0.14165419275742222,12.0,0.06937218462755804,0.053396821429504686,0.04428633492653901
43,qwen2.5-coder-32b-instruct,0.13030303030333334,0.3,0.09676358400948218,11.0,0.06146113964587758,0.04627210877300025,0.0404519917466334
50,qwen3-4b,0.11944444444333335,0.23333333333333334,0.08858116737972162,12.0,0.059210772987961346,0.04490007403014722,0.03859920970588895
2,deepseek_r1_distill_qwen_1.5b,0.11538461538333333,0.23333333333333334,0.08777776019740122,13.0,0.058329811107807064,0.04650860807055952,0.035203923633759036
42,qwen2.5-coder-14b-instruct,0.10833333333666667,0.2,0.0776848931779496,12.0,0.05674422796632662,0.045089230649962904,0.03445096060908736
19,llama-3.2-3B-instruct,0.1,0.1,0.07481367216686274,18.0,0.05477225575051661,0.054772255750516606,0.0
47,qwen3-1.7b,0.09444444444000001,0.23333333333333334,0.07158325969271477,12.0,0.05339309922777779,0.038564059453737046,0.03692744729325275
39,qwen2-math-7b-instruct,0.08333333333333333,0.13333333333333333,0.06379491242252698,6.0,0.05046083923495819,0.04292543060393609,0.02652741419292433
37,qwen2-math-1.5b-instruct,0.075,0.13333333333333333,0.05053820634707517,4.0,0.048088460154178364,0.03845993586404776,0.028867513459481287
14,google_gemma_3_4b_it,0.07179487179,0.23333333333333334,0.055694548450898745,13.0,0.04713115324095004,0.024731740662243144,0.040120899910613475
35,qwen2-72b-instruct,0.06060606060333334,0.2,0.0419427512455187,11.0,0.043563350812917054,0.028405218591201292,0.033028912952674565
45,qwen2.5-coder-7b-instruct,0.045454545453333335,0.1,0.03188180308424351,11.0,0.038030001205611424,0.024449870004773465,0.02912876324955258
17,llama-3.1-8B-instruct,0.03333333333333333,0.03333333333333333,0.023604217133529413,15.0,0.032773069341672505,0.0327730693416725,0.0
18,llama-3.2-1B-instruct,0.03333333333333333,0.03333333333333333,0.022920532626601306,21.0,0.032773069341672505,0.0327730693416725,0.0
36,qwen2-7b-instruct,0.030303030303333336,0.06666666666666667,0.022315102208022176,11.0,0.03129683512101961,0.019840194120796104,0.02420451581505844
8,google_gemma_2_27b_it,0.029999999999999995,0.13333333333333333,0.01998800219393464,10.0,0.03114482300479487,0.018449129257782613,0.025092421756969366
44,qwen2.5-coder-3b-instruct,0.022222222223333334,0.06666666666666667,0.01533503714947718,12.0,0.026912447592635225,0.014226535542221152,0.022844813894892117
12,google_gemma_3_1b_it,0.015384615383333333,0.03333333333333333,0.010416275528604073,13.0,0.02247066902493132,0.01434523151734645,0.017295817388656078
20,mistralai_mathstral_7b_v0.1,0.015151515150000001,0.06666666666666667,0.011175244837278197,11.0,0.022302426429022863,0.008553116415017749,0.020597146021066395
25,mistralai_mixtral_8x22b_instruct_v0.1,0.01515151515,0.13333333333333333,0.010558297910209766,11.0,0.02230242642902286,0.003542561194235974,0.02201927530158681
6,deepseek_v2_lite_chat,0.01212121212,0.03333333333333333,0.008183494065087771,11.0,0.01997856212438887,0.010784927526038544,0.01681749930329006
46,qwen3-0.6b,0.010256410256666666,0.03333333333333333,0.00691324428904161,13.0,0.018394941610230434,0.009053376189575319,0.016012815380619914
31,qwen1.5-72b-chat,0.00606060606,0.03333333333333333,0.003626585337462653,11.0,0.014170244780508077,0.004356335080715896,0.013483997248740465
30,qwen1.5-32b-chat,0.00606060606,0.06666666666666667,0.0038375597462888527,11.0,0.014170244780508077,0.0,0.014213381089734429
9,google_gemma_2_9b_it,0.00303030303,0.03333333333333333,0.00202966868723613,11.0,0.010035138752647076,0.0,0.010050378152139855
23,mistralai_mistral_7b_instruct_v0.2,0.00303030303,0.03333333333333333,0.0025215129490704868,11.0,0.010035138752647076,0.0,0.010050378152139855
26,mistralai_mixtral_8x7b_instruct_v0.1,0.0027777777766666667,0.03333333333333333,0.0023109742463250657,12.0,0.009609130601135088,0.0,0.009622504484744217
7,google_codegemma_1.1_7b_it,0.0,0.0,0.0,13.0,0.0,0.0,0.0
10,google_gemma_2b_it,0.0,0.0,0.0,13.0,0.0,0.0,0.0
15,google_gemma_7b_it,0.0,0.0,0.0,13.0,0.0,0.0,0.0
34,qwen2-1.5b-instruct,0.0,0.0,0.0,13.0,0.0,0.0,0.0
24,mistralai_mistral_7b_instruct_v0.3,0.0,0.0,0.0,11.0,0.0,0.0,0.0
27,qwen1.5-0.5b-chat,0.0,0.0,0.0,13.0,0.0,0.0,0.0
22,mistralai_mistral_7b_instruct_v0.1,0.0,0.0,0.0,11.0,0.0,0.0,0.0
33,qwen2-0.5b-instruct,0.0,0.0,0.0,13.0,0.0,0.0,0.0
32,qwen1.5-7b-chat,0.0,0.0,0.0,12.0,0.0,0.0,0.0
28,qwen1.5-1.8b-chat,0.0,0.0,0.0,11.0,0.0,0.0,0.0
29,qwen1.5-14b-chat,0.0,0.0,0.0,12.0,0.0,0.0,0.0
21,mistralai_ministral_8b_instruct_2410,0.0,0.0,0.0,11.0,0.0,0.0,0.0
40,qwen2.5-coder-0.5b-instruct,0.0,0.0,0.0,13.0,0.0,0.0,0.0
41,qwen2.5-coder-1.5b-instruct,0.0,0.0,0.0,11.0,0.0,0.0,0.0
