,model_a,model_b,total,accA,accB,sum(A!=B),sum(A-B),SE_signtest,pvalue,SE_pred(A-B),SE_x(A-B),SE(A-B),"corr(A,B)",benchmark_id
0,deepseek_r1_distill_llama_70b,deepseek_r1_distill_llama_8b,30.0,0.2575757575766667,0.21538461538666667,4.00699300683986,1.2657342657,0.06672491627603806,1.0,0.05471311536856831,0.03740792753860421,0.06627879024294069,0.8213160029798278,aime2025_cot
1,deepseek_r1_distill_llama_70b,deepseek_r1_distill_qwen_1.5b,30.0,0.2575757575766667,0.17179487179666666,3.5524475523384615,2.5734265734000004,0.06282645897265526,0.25,0.05177001719099638,0.03196483361831605,0.06084312013862117,0.8569876600782879,aime2025_cot
2,deepseek_r1_distill_llama_70b,deepseek_r1_distill_qwen_14b,30.0,0.2575757575766667,0.24545454545333334,3.735537189999173,0.36363636369999996,0.06442512613706596,1.0,0.051835014099525234,0.03819464270855603,0.06438710599438548,0.834656262604266,aime2025_cot
3,deepseek_r1_distill_llama_70b,deepseek_r1_distill_qwen_32b,30.0,0.2575757575766667,0.2545454545433333,3.3801652890528926,0.09090909099999989,0.06128408610772269,1.0,0.06063635606235925,0.00886935410961605,0.06128158874281063,0.9559689093102681,aime2025_cot
4,deepseek_r1_distill_llama_70b,deepseek_r1_distill_qwen_7b,30.0,0.2575757575766667,0.18787878787666668,3.6115702478479337,2.0909090910000003,0.06334710593975187,1.0,0.0516397779477109,0.03441317933013217,0.06205589076064194,0.8422916412614212,aime2025_cot
5,deepseek_r1_distill_llama_70b,google_gemma_3_12b_it,30.0,0.2575757575766667,0.20909090909000003,4.347107437928925,1.4545454545999998,0.06949906024887376,1.0,0.060469543212640975,0.03309372097601943,0.0689330111367847,0.8357596685198697,aime2025_cot
6,deepseek_r1_distill_llama_70b,google_gemma_3_27b_it,30.0,0.2575757575766667,0.24444444444333335,3.954545454551515,0.3939393940000002,0.06628679652801248,1.0,0.06238794669035074,0.022269615822638086,0.06624342745605742,0.907329771246203,aime2025_cot
7,deepseek_r1_distill_llama_70b,google_gemma_3_4b_it,30.0,0.2575757575766667,0.09230769230333333,6.398601398639163,4.958041958200002,0.0843181896722117,0.21875,0.05484314002297819,0.05649191082546878,0.07873440160624014,0.514163285911623,aime2025_cot
8,deepseek_r1_distill_llama_70b,qwen2-math-72b-instruct,30.0,0.2575757575766667,0.12000000000000001,6.54545454546,4.127272727300001,0.08528028654227972,0.21875,0.06315676254615177,0.05150774357637121,0.08149738832404514,0.5850611555789179,aime2025_cot
9,deepseek_r1_distill_llama_70b,qwen2-math-7b-instruct,30.0,0.2575757575766667,0.1,6.636363636330304,4.727272727300002,0.08587046857738892,0.21875,0.05974130538346877,0.05456228696560883,0.08090776679552046,0.5139247452491577,aime2025_cot
