,model,pass1,pass@count,win_rate,count,SE(A),SE_x(A),SE_pred(A)
49,qwen3-32b,0.9253292417855135,0.9774964838255977,0.31917090494537975,11.0,0.009857995682584898,0.008086142336692656,0.005638650635445437
48,qwen3-14b,0.9028257256111112,0.9563994374120957,0.3030328156583713,11.0,0.011108177623117367,0.009593165642791147,0.005600248481692311
35,qwen2-72b-instruct,0.8895139865613222,0.9563994374120957,0.2964038484378673,9.0,0.011756965453340217,0.009566595397768654,0.006834214597627667
16,llama-3.1-70B-instruct,0.8874824191279888,0.8874824191279888,0.30004030071445903,11.0,0.011851007474173397,0.011851007474173397,0.0
13,google_gemma_3_27b_it,0.8864978902953587,0.9409282700421941,0.2939375811302234,10.0,0.011896138720265912,0.010135297530723796,0.006228471756018013
0,deepseek_r1_distill_llama_70b,0.8863884982047819,0.9592123769338959,0.2979420842211277,9.0,0.011901135667484998,0.009471557632468972,0.007206013196678332
4,deepseek_r1_distill_qwen_32b,0.8718549773419129,0.9648382559774965,0.2886213869515431,9.0,0.012535399990422929,0.00961569043945306,0.008042061321110792
51,qwen3-8b,0.8684311469130802,0.9578059071729957,0.2829840658632921,11.0,0.012676794196051572,0.010458342300691065,0.007164090131386037
43,qwen2.5-coder-32b-instruct,0.8640412564464136,0.9549929676511955,0.27949482975957407,9.0,0.012853932375090464,0.010316411680655961,0.0076678046100969515
3,deepseek_r1_distill_qwen_14b,0.8525550867341771,0.9549929676511955,0.27635619877609785,12.0,0.013296621971837983,0.010368447816147236,0.008324388610930903
11,google_gemma_3_12b_it,0.8518092315565401,0.9310829817158931,0.2718918744113341,11.0,0.01332437803646026,0.011368203383636399,0.006950036106868979
50,qwen3-4b,0.8331415420030941,0.9226441631504922,0.26706860708765284,11.0,0.013982946866905465,0.012014261594026451,0.00715404231417471
8,google_gemma_2_27b_it,0.8308016877637131,0.929676511954993,0.26125797113603044,10.0,0.01406086044970386,0.011858624369658961,0.007555185282001816
31,qwen1.5-72b-chat,0.8154399124880449,0.9381153305203939,0.2540183476030396,9.0,0.014548897213878184,0.011383184388785559,0.009060547627538914
9,google_gemma_2_9b_it,0.808602906704782,0.9240506329113924,0.24998327222997252,12.0,0.014753685371121402,0.012334394275758621,0.008095304187007097
38,qwen2-math-72b-instruct,0.8051258009081573,0.9479606188466948,0.2532444253155427,9.0,0.01485505429148718,0.011106677905891352,0.009864803287335052
42,qwen2.5-coder-14b-instruct,0.804756425011533,0.9409282700421941,0.24833237597918598,11.0,0.01486571497087186,0.011522311877427555,0.009392859553644757
30,qwen1.5-32b-chat,0.7905638665147678,0.9409282700421941,0.2427061119130621,11.0,0.015260174004754936,0.011788315993236823,0.009690640675362757
25,mistralai_mixtral_8x22b_instruct_v0.1,0.7680603503431787,0.9437412095639943,0.24865930748530124,11.0,0.015828886720663616,0.010875150052546677,0.011501511472419396
17,llama-3.1-8B-instruct,0.7341772151898734,0.7341772151898734,0.21810042927334328,15.0,0.016567682090552333,0.016567682090552333,0.0
36,qwen2-7b-instruct,0.7259728082530239,0.9367088607594937,0.21400628835789448,12.0,0.016727159834608762,0.012326272298664823,0.011307558859087
29,qwen1.5-14b-chat,0.7181946042710267,0.890295358649789,0.20684500475730414,11.0,0.016871780660440754,0.013736752737759591,0.009795846409355189
26,mistralai_mixtral_8x7b_instruct_v0.1,0.7098836465932489,0.9240506329113924,0.2088344767823065,11.0,0.01701942527521485,0.012751125919954287,0.011272516332748951
45,qwen2.5-coder-7b-instruct,0.7092123769364276,0.9465541490857946,0.20693537468580508,12.0,0.017031045588421598,0.012126200589937458,0.01195875299048756
