,model,pass1,win_rate,count,SE(A),SE_x(A),SE_pred(A)
0,deepseek_r1_distill_llama_70b,0.2575757575766667,0.21249458107812166,11.0,0.07983952377226727,0.0665954624349198,0.044038550603552065
4,deepseek_r1_distill_qwen_32b,0.2545454545433333,0.2091789899523541,11.0,0.07953030158680845,0.06773252640518519,0.04168181542662934
3,deepseek_r1_distill_qwen_14b,0.24545454545333334,0.20160229748375627,11.0,0.0785719652228942,0.07366192348528058,0.027339984408122173
13,google_gemma_3_27b_it,0.24444444444333335,0.19869567977367883,12.0,0.07846259364056299,0.06483453283419018,0.044191197686603054
1,deepseek_r1_distill_llama_8b,0.21538461538666667,0.17011919871853007,13.0,0.07505422103195449,0.06766834592806913,0.03246738446614771
11,google_gemma_3_12b_it,0.20909090909000003,0.16647360067071573,11.0,0.07424551632386461,0.061605397305052795,0.04143877069947705
49,qwen3-32b,0.19090909091000002,0.15443949296996135,11.0,0.07175486276620732,0.05315569590799185,0.04819992036439835
5,deepseek_r1_distill_qwen_7b,0.18787878787666668,0.14586205535237207,11.0,0.07131627886690414,0.06602074601361882,0.026967994497686932
48,qwen3-14b,0.18055555555666664,0.14466813052654964,12.0,0.07022707144548795,0.05325299961496525,0.04578165130069231
51,qwen3-8b,0.17500000000666666,0.13817821884606107,12.0,0.06937218462859912,0.05228169298144809,0.04559741855783118
2,deepseek_r1_distill_qwen_1.5b,0.17179487179666666,0.13215130771843547,13.0,0.06886735893997811,0.06326114436740247,0.027216552696740347
50,qwen3-4b,0.16388888888333333,0.12826537115304018,12.0,0.06758434754288396,0.05562894983459316,0.03838051553975849
38,qwen2-math-72b-instruct,0.12000000000000001,0.09477223974294119,10.0,0.05932958789676531,0.03834862818864082,0.04527010841658525
43,qwen2.5-coder-32b-instruct,0.11515151515000001,0.08951049643452413,11.0,0.05827853913424716,0.03709698240455682,0.044946657496392095
39,qwen2-math-7b-instruct,0.1,0.0787162347455811,6.0,0.05477225575051661,0.03701851388617242,0.04036867138833355
14,google_gemma_3_4b_it,0.09230769230333333,0.06971289645153739,13.0,0.05284788934447192,0.041527380604213085,0.032686022522148146
47,qwen3-1.7b,0.08055555555,0.06467459917996098,12.0,0.04968781138939102,0.0278739916203172,0.04113294533361526
42,qwen2.5-coder-14b-instruct,0.07777777777666667,0.05834561045240135,12.0,0.048897305672463566,0.03333894453427304,0.03576955799792616
35,qwen2-72b-instruct,0.03636363636,0.02994362242731461,11.0,0.03417665982834761,0.006060606058999998,0.03363499860591943
16,llama-3.1-70B-instruct,0.03333333333333333,0.023397778691960785,13.0,0.032773069341672505,0.0327730693416725,0.0
37,qwen2-math-1.5b-instruct,0.03333333333333333,0.026062815180506536,4.0,0.032773069341672505,0.012171612389003694,0.03042903097250923
45,qwen2.5-coder-7b-instruct,0.01818181818,0.014072252760719928,11.0,0.024393468844255164,0.0,0.024618298194758723
21,mistralai_ministral_8b_instruct_2410,0.01212121212,0.00943407750801084,11.0,0.01997856212438887,0.0,0.02010075630427971
44,qwen2.5-coder-3b-instruct,0.01111111111,0.008306703281184854,12.0,0.0191377936031484,0.0035664815297094025,0.018802535826184442
8,google_gemma_2_27b_it,0.010000000000000002,0.008122408093019607,10.0,0.018165902124584955,0.004621474298463429,0.017568209223157664
46,qwen3-0.6b,0.00769230769,0.00595544726589059,13.0,0.015951108730954896,0.0,0.016012815378306948
9,google_gemma_2_9b_it,0.00606060606,0.004211732018806397,11.0,0.014170244780508077,0.004356335080715896,0.013483997248740465
20,mistralai_mathstral_7b_v0.1,0.00606060606,0.004382125103620017,11.0,0.014170244780508077,0.0,0.014213381089734429
34,qwen2-1.5b-instruct,0.005128205126666666,0.0038676004727763716,13.0,0.01304084179139457,0.0036562819874139973,0.012517793601777238
12,google_gemma_3_1b_it,0.005128205126666666,0.0035145749162407507,13.0,0.01304084179139457,0.0036562819874139973,0.012517793601777238
31,qwen1.5-72b-chat,0.00303030303,0.00303030303,11.0,0.010035138752647076,0.0,0.010050378152139855
25,mistralai_mixtral_8x22b_instruct_v0.1,0.00303030303,0.0020730546931735623,11.0,0.010035138752647076,0.0,0.010050378152139855
36,qwen2-7b-instruct,0.00303030303,0.0028071819245618253,11.0,0.010035138752647076,0.0,0.010050378152139855
30,qwen1.5-32b-chat,0.00303030303,0.0028071819245618253,11.0,0.010035138752647076,0.0,0.010050378152139855
26,mistralai_mixtral_8x7b_instruct_v0.1,0.0027777777766666667,0.0024281845595733884,12.0,0.009609130601135088,0.0,0.009622504484744217
7,google_codegemma_1.1_7b_it,0.002564102563333333,0.001929932811708602,13.0,0.009233143093187067,0.0,0.009245003269149298
19,llama-3.2-3B-instruct,0.0,0.0,18.0,0.0,0.0,0.0
18,llama-3.2-1B-instruct,0.0,0.0,21.0,0.0,0.0,0.0
17,llama-3.1-8B-instruct,0.0,0.0,15.0,0.0,0.0,0.0
15,google_gemma_7b_it,0.0,0.0,13.0,0.0,0.0,0.0
6,deepseek_v2_lite_chat,0.0,0.0,11.0,0.0,0.0,0.0
10,google_gemma_2b_it,0.0,0.0,13.0,0.0,0.0,0.0
24,mistralai_mistral_7b_instruct_v0.3,0.0,0.0,11.0,0.0,0.0,0.0
27,qwen1.5-0.5b-chat,0.0,0.0,13.0,0.0,0.0,0.0
32,qwen1.5-7b-chat,0.0,0.0,12.0,0.0,0.0,0.0
33,qwen2-0.5b-instruct,0.0,0.0,13.0,0.0,0.0,0.0
29,qwen1.5-14b-chat,0.0,0.0,12.0,0.0,0.0,0.0
28,qwen1.5-1.8b-chat,0.0,0.0,11.0,0.0,0.0,0.0
23,mistralai_mistral_7b_instruct_v0.2,0.0,0.0,11.0,0.0,0.0,0.0
22,mistralai_mistral_7b_instruct_v0.1,0.0,0.0,11.0,0.0,0.0,0.0
40,qwen2.5-coder-0.5b-instruct,0.0,0.0,13.0,0.0,0.0,0.0
41,qwen2.5-coder-1.5b-instruct,0.0,0.0,11.0,0.0,0.0,0.0
