,model,pass1,win_rate,count,SE(A),SE_x(A),SE_pred(A)
48,qwen3-32b,0.49411525973794646,0.319232840954633,11.0,0.02362114338476609,0.017005212488668826,0.01639454674636968
15,llama-3.1-70B-instruct,0.4375,0.27587030752119196,13.0,0.0234375,0.0234375,0.0
12,google_gemma_3_27b_it,0.43399234694084815,0.27480657363800143,7.0,0.02341602538754283,0.017235191250924282,0.015851133318918038
47,qwen3-14b,0.41680194805022325,0.25741459217147855,11.0,0.023293454215022005,0.018567067170227044,0.01406588162766926
37,qwen2-math-72b-instruct,0.40647321428571426,0.2542201685231723,10.0,0.023205830757532013,0.015245371382134044,0.01749540604181644
50,qwen3-8b,0.40137987012857146,0.24780063003820804,11.0,0.023158714322512527,0.018360778031118238,0.014114102138065767
42,qwen2.5-coder-32b-instruct,0.3950892857142857,0.243134126291525,10.0,0.023096929972829278,0.016859251646001477,0.015787140593108553
34,qwen2-72b-instruct,0.3899553571428571,0.23532043774775266,10.0,0.023043542662403854,0.017507634818646884,0.014982909647025498
10,google_gemma_3_12b_it,0.37388392856874997,0.23365083799992073,12.0,0.02285897841183895,0.015954210923352568,0.01637058483518829
49,qwen3-4b,0.36737351190379464,0.22452985562313743,12.0,0.022776584479894973,0.018391140653474775,0.013436470743238345
41,qwen2.5-coder-14b-instruct,0.3461850649290179,0.21342716786281435,11.0,0.022477218911059502,0.013167893470943588,0.01821625514516011
29,qwen1.5-32b-chat,0.3252840909026786,0.19741934688247234,11.0,0.022133641931513383,0.014314373683231976,0.01688184857203865
24,mistralai_mixtral_8x22b_instruct_v0.1,0.32224025973392856,0.19553983421439533,11.0,0.022079476710999284,0.013960548080217567,0.017105741408412953
16,llama-3.1-8B-instruct,0.3169642857142857,0.19927643933539732,15.0,0.021983045785327785,0.021983045785327785,0.0
46,qwen3-1.7b,0.31640624999754463,0.20154136005284617,12.0,0.021972656249954203,0.015823905317527386,0.015244725093637475
30,qwen1.5-72b-chat,0.31540178571428573,0.18990157037986877,10.0,0.021953862908672364,0.015093415367551884,0.01594242482043835
4,deepseek_r1_distill_qwen_32b,0.3145089285714286,0.19002747669091297,10.0,0.021937058014487344,0.01776656136345251,0.012867937350238376
44,qwen2.5-coder-7b-instruct,0.30905032466607146,0.19486299150668096,11.0,0.021832265476253183,0.010648054295460506,0.019059558115195687
19,mistralai_mathstral_7b_v0.1,0.3084415584334822,0.1903427886313173,11.0,0.021820358462861775,0.011826122419468461,0.018337689929964703
20,mistralai_ministral_8b_instruct_2410,0.3082217261883929,0.19259664312542152,12.0,0.02181604779241404,0.01151369995863196,0.018530371138849103
8,google_gemma_2_9b_it,0.3065476190482143,0.18055794069589123,12.0,0.021783029943878433,0.016179133964485462,0.014585472830701695
13,google_gemma_3_4b_it,0.3044299450506696,0.1921392313014022,13.0,0.021740779737334914,0.014746865225800388,0.015974713443420243
25,mistralai_mixtral_8x7b_instruct_v0.1,0.29768668830625,0.1804240908538743,11.0,0.02160260627833498,0.013333431952565597,0.016996828833140045
18,llama-3.2-3B-instruct,0.296875,0.1871233602715268,17.0,0.02158559758631857,0.02158559758631857,0.0
3,deepseek_r1_distill_qwen_14b,0.28632305194709823,0.16965157542660061,11.0,0.02135698707760601,0.016986141478551136,0.012945728820876592
28,qwen1.5-14b-chat,0.28632305194263397,0.17601731824367825,11.0,0.021356987077506315,0.013900650987544283,0.016213969259600062
38,qwen2-math-7b-instruct,0.28459821428392856,0.18309236931147393,12.0,0.021318276380503955,0.010556228805366425,0.018521202478357198
7,google_codegemma_1.1_7b_it,0.2807348901053571,0.18231695221849398,13.0,0.0212301804412716,0.012157813915364475,0.017404255869422316
35,qwen2-7b-instruct,0.2767857142796875,0.1706633459163708,11.0,0.02113811842522563,0.012130442068902635,0.017311049239484597
23,mistralai_mistral_7b_instruct_v0.3,0.27374188310959824,0.1677755229702817,11.0,0.02106575931443656,0.012664913269537045,0.01683348411259164
43,qwen2.5-coder-3b-instruct,0.26953125,0.17749680633141576,12.0,0.020963624707531107,0.007514365441450277,0.01957058693270456
14,google_gemma_7b_it,0.26711309523794646,0.1709131943209741,12.0,0.02090388771035263,0.014774053201447973,0.014788504772552788
0,deepseek_r1_distill_llama_70b,0.26316964285714284,0.15334995220618483,10.0,0.020804756814397526,0.017308516257788526,0.01154353373365759
21,mistralai_mistral_7b_instruct_v0.1,0.2518262986888393,0.1666779706276454,11.0,0.020507501566147276,0.008504636403499879,0.01866088904982283
11,google_gemma_3_1b_it,0.2455357142854911,0.1674882751799511,12.0,0.02033469541728742,0.010427811928363966,0.017457393164516864
6,deepseek_v2_lite_chat,0.24472402596272325,0.1579675942893822,11.0,0.020311974008536966,0.009860616382423458,0.01775794280546492
5,deepseek_r1_distill_qwen_7b,0.24350649350513393,0.14269278516324818,11.0,0.020277708177747628,0.01527602239228549,0.013335238610999252
22,mistralai_mistral_7b_instruct_v0.2,0.2408685064854911,0.14778579509780473,11.0,0.02020270430696342,0.011506200583527637,0.01660592091533097
1,deepseek_r1_distill_llama_8b,0.2380952380924107,0.13642039576097345,12.0,0.020122720350596823,0.014828801823800114,0.013602592061029617
45,qwen3-0.6b,0.23609203296138395,0.15585865679306826,13.0,0.02006421526565797,0.012097901520148998,0.016006670891707587
36,qwen2-math-1.5b-instruct,0.2309253246636161,0.15272832456264726,11.0,0.019910447897387877,0.007854622660248802,0.018295650803939807
31,qwen1.5-7b-chat,0.20386904761763391,0.12917916972613902,12.0,0.019033948702693555,0.008526692668032857,0.01701724758477952
40,qwen2.5-coder-1.5b-instruct,0.19140624999866068,0.13087418502821924,12.0,0.018586783506468217,0.0034398131502640116,0.018265711226437085
39,qwen2.5-coder-0.5b-instruct,0.1804601648234375,0.12993565322409664,13.0,0.018169237501158824,0.0036100161195371776,0.017806992306119467
17,llama-3.2-1B-instruct,0.15401785714285715,0.10817581154021874,12.0,0.01705403419125173,0.01705403419125173,0.0
33,qwen2-1.5b-instruct,0.12481398809174106,0.08353314455629504,12.0,0.01561502942368744,0.003565229597260388,0.015202574841830019
9,google_gemma_2b_it,0.12053571428191964,0.08337632884023595,12.0,0.015382537051021284,0.007172234774492556,0.013608140742423348
32,qwen2-0.5b-instruct,0.11950549449129465,0.08481735256659571,13.0,0.01532562711937026,0.0027795132125290026,0.015071468173451247
2,deepseek_r1_distill_qwen_1.5b,0.10918898809352677,0.06076231630351129,12.0,0.014734764602305448,0.008087794905751419,0.012316690360963656
26,qwen1.5-0.5b-chat,0.08602335163526785,0.061819340963716767,13.0,0.013247585242283554,0.0019806497678795066,0.013098684714450068
27,qwen1.5-1.8b-chat,0.0792410714236607,0.05374405888900448,12.0,0.01276171765680423,0.00287300193166581,0.012434118282075066
