,model,pass1,win_rate,count,SE(A),SE_x(A),SE_pred(A)
37,qwen2-math-72b-instruct,0.7830303030319999,0.4365575022982132,11.0,0.0475946562218371,0.03731653826653385,0.02954195783419189
34,qwen2-72b-instruct,0.7733333333346667,0.43157677191761423,11.0,0.04834444316749824,0.04559165851995775,0.016080605043810706
13,google_gemma_3_27b_it,0.7444444444466668,0.4216257679390526,12.0,0.050364923452625304,0.03931131800396343,0.03148405614243609
50,qwen3-8b,0.7200000000013334,0.39166154882390025,12.0,0.051845925587187446,0.0432647475879234,0.028568542422487266
49,qwen3-4b,0.7188888888839999,0.3972479124561227,12.0,0.05190859329284223,0.0410578597700775,0.031760891183062814
47,qwen3-14b,0.7111111111133332,0.38694577829888754,12.0,0.05233636068923069,0.04580411781853381,0.025319507125122414
48,qwen3-32b,0.6787878787906667,0.3758583711267552,11.0,0.053917825672966935,0.04117050780902241,0.034815531190083494
42,qwen2.5-coder-32b-instruct,0.6242424242413334,0.3322084678959656,11.0,0.055924213005177706,0.04271874691158536,0.036091914088233173
30,qwen1.5-72b-chat,0.601212121212,0.3234570092545052,11.0,0.05653979206656346,0.05072385733685388,0.024976756871153773
8,google_gemma_2_27b_it,0.5920000000000001,0.323170759907984,10.0,0.056749273123098236,0.03638933502695129,0.04354648431614539
29,qwen1.5-32b-chat,0.5842424242453333,0.29880678675157535,11.0,0.0569096610377382,0.05107256102015335,0.025105836577835237
24,mistralai_mixtral_8x22b_instruct_v0.1,0.5806060606053333,0.29839028325174943,11.0,0.05697984005987724,0.044926822111335404,0.03504686616839823
41,qwen2.5-coder-14b-instruct,0.5622222222213333,0.28572477337509694,12.0,0.05728622813694277,0.046949663010261454,0.03282439759356965
44,qwen2.5-coder-7b-instruct,0.5519999999999999,0.2853025672116533,10.0,0.05742194702376436,0.042843337929464265,0.038232556742411675
11,google_gemma_3_12b_it,0.5430303030346666,0.2858413618739121,11.0,0.057520824405397714,0.04395083097484764,0.037107542318199536
28,qwen1.5-14b-chat,0.5266666666653333,0.26539053872007834,12.0,0.057652856406710674,0.045953570479126786,0.034815531190443255
38,qwen2-math-7b-instruct,0.5177777777773334,0.2677873297083405,6.0,0.057698521138448575,0.047001269573656766,0.03346640106178799
46,qwen3-1.7b,0.48222222222133343,0.2420086583781455,12.0,0.05769852113844309,0.043202929055253456,0.03824429712532447
31,qwen1.5-7b-chat,0.46333333333066673,0.24101559440492543,12.0,0.05757957456776491,0.04783093120396539,0.032056347695368075
35,qwen2-7b-instruct,0.4606060606026666,0.23157596383276824,11.0,0.05755555201006639,0.04586668375156066,0.03476907949339151
19,mistralai_mathstral_7b_v0.1,0.4557575757573334,0.2328225867063352,11.0,0.05750856259690169,0.04124039434321329,0.04008072661988578
23,mistralai_mistral_7b_instruct_v0.3,0.40969696969600006,0.19501148548416525,11.0,0.05678560412850132,0.0492894848941699,0.028198431075261307
45,qwen3-0.6b,0.39794871794666664,0.19922686031852493,13.0,0.05651967631793032,0.04523003274823054,0.0338927418288578
6,deepseek_v2_lite_chat,0.3915151515106666,0.19892924771953363,11.0,0.056359682711224976,0.03661221434760374,0.04284809909290108
9,google_gemma_2_9b_it,0.38787878787200003,0.20026330154382732,11.0,0.05626471171062113,0.038070384127336356,0.04142901925313178
20,mistralai_ministral_8b_instruct_2410,0.38303030303066665,0.18908387935194482,11.0,0.05613294813694863,0.03304418205463268,0.04537609391392848
36,qwen2-math-1.5b-instruct,0.37333333333333335,0.19638689199739334,4.0,0.05585165536855115,0.040103569620375396,0.03887301263230201
18,llama-3.2-3B-instruct,0.37333333333333335,0.17470079254103998,17.0,0.05585165536855115,0.05585165536855115,0.0
16,llama-3.1-8B-instruct,0.37333333333333335,0.17945706293786667,15.0,0.05585165536855115,0.05585165536855115,0.0
14,google_gemma_3_4b_it,0.3702564102586667,0.19236902516430357,13.0,0.055757403206035644,0.043963844648637715,0.03429385332666604
43,qwen2.5-coder-3b-instruct,0.353333333336,0.1761271147384791,12.0,0.05519527623383135,0.03182528059378143,0.04509623081429342
