,model,pass1,win_rate,count,SE(A),SE_x(A),SE_pred(A)
13,google_gemma_3_27b_it,0.9416913639811221,0.28033735201330184,11.0,0.006452059105855711,0.0058604513123617155,0.0026989214736433996
49,qwen3-32b,0.9390033772147839,0.2800613443126965,11.0,0.00658967619027344,0.0053804771960644865,0.003804510143932685
16,llama-3.1-70B-instruct,0.9378316906747536,0.28008505275971846,11.0,0.006648513924765369,0.0066485139247653684,0.0
48,qwen3-14b,0.9345923220075055,0.2773041539174108,11.0,0.006807741749446761,0.006022525938670084,0.0031740398619435083
0,deepseek_r1_distill_llama_70b,0.9264594389689158,0.2764973542705954,10.0,0.0071871097501897,0.005344220952705818,0.0048056059940377914
38,qwen2-math-72b-instruct,0.9247746609413192,0.2734511529569558,9.0,0.007262357767998445,0.004946239699803523,0.005317570232963071
51,qwen3-8b,0.9217037700744505,0.2679319386318336,11.0,0.007396797162801154,0.0063515996721291695,0.003790750568506444
43,qwen2.5-coder-32b-instruct,0.9214051048794543,0.2700520000836516,9.0,0.007409690680653884,0.005606501510839858,0.004844652391237116
11,google_gemma_3_12b_it,0.9213419257017438,0.2694920381334479,12.0,0.007412414112585493,0.006460397800352446,0.003634163347685115
35,qwen2-72b-instruct,0.9164518574677786,0.267826334290388,10.0,0.007619050104643707,0.005470233613365882,0.005303439328612453
8,google_gemma_2_27b_it,0.9020301575275209,0.2560761017083707,9.0,0.008185294995357749,0.006869112793514544,0.004451330541647459
50,qwen3-4b,0.8920669929012889,0.2529443074315552,11.0,0.008543847263568372,0.007814922466538407,0.0034531598435603938
9,google_gemma_2_9b_it,0.8758701495630024,0.2427521995470977,11.0,0.009078949094176714,0.0074369082373944425,0.0052076590252460786
42,qwen2.5-coder-14b-instruct,0.864291129647536,0.24031724051365058,11.0,0.009430001196322299,0.006334851342650045,0.0069853118061518815
5,deepseek_r1_distill_qwen_7b,0.8641532841718725,0.24245179408879522,11.0,0.009434036808977687,0.006518833109339957,0.006819520907345251
4,deepseek_r1_distill_qwen_32b,0.8592873388931009,0.25073723892906435,10.0,0.009574440327764713,0.005741474203284452,0.0076619437196410204
25,mistralai_mixtral_8x22b_instruct_v0.1,0.8480253635707354,0.2332146047115474,11.0,0.009884793013128872,0.006666455444930307,0.007298459064292985
3,deepseek_r1_distill_qwen_14b,0.8474050589329795,0.24055156942127376,11.0,0.009901322272062129,0.006988882097148648,0.007013680187133473
31,qwen1.5-72b-chat,0.8422289613343442,0.22997414386580237,10.0,0.010037055605817897,0.007259221340528571,0.006931535959907806
14,google_gemma_3_4b_it,0.8344899982506444,0.22541755589596718,13.0,0.010232936797634639,0.008556283926425939,0.005612753412966774
