,model,pass1,win_rate,count,SE(A),SE_x(A),SE_pred(A)
11,google_gemma_3_12b_it,0.2755516328316505,0.22888784948660412,11.0,0.019687999916930415,0.014170814008229357,0.013667676140193787
32,qwen2-72b-instruct,0.2535922330097088,0.20986597868229329,10.0,0.019171338455832302,0.013197023557808217,0.01390607016387913
46,qwen3-32b,0.24854368932038834,0.20633264638614524,10.0,0.019043625125005608,0.01283901072661783,0.014064830658900134
45,qwen3-14b,0.2459546925547573,0.2013683723897422,12.0,0.018976786113414357,0.013661026202047486,0.013171741506013848
40,qwen2.5-coder-32b-instruct,0.23650485436893204,0.19170759216585193,10.0,0.01872490207520312,0.013181391126164826,0.01329935658988845
47,qwen3-4b,0.21650485436582526,0.17541756994369567,12.0,0.018148818592797922,0.012817274072800942,0.012849011699620801
48,qwen3-8b,0.17378640776504853,0.13959997700603963,12.0,0.016697461712869864,0.011550625504780254,0.012057706170788657
39,qwen2.5-coder-14b-instruct,0.16796116504504854,0.13321759494736496,12.0,0.0164729971501913,0.010297282425789806,0.012857900674438696
27,qwen1.5-32b-chat,0.1353927625724272,0.10852892681613077,11.0,0.015076604547780719,0.009289330260703645,0.01187486202015576
28,qwen1.5-72b-chat,0.13359223300970877,0.10727537888259385,10.0,0.014991605954840871,0.009196399519874705,0.011839530606238938
14,google_gemma_7b_it,0.1299477221768932,0.10905815493637608,13.0,0.014816765083173908,0.010863986324611885,0.010075233429981036
8,google_gemma_2_27b_it,0.12737864077669905,0.10445100651813592,10.0,0.014691211470370478,0.009947351493465963,0.010811192937534023
35,qwen2-math-72b-instruct,0.11436893203883496,0.09045385332065939,10.0,0.014024159419500191,0.011187736043719558,0.00845645372716094
42,qwen2.5-coder-7b-instruct,0.11203883495145633,0.08761134590905138,10.0,0.013898811460967714,0.007537556091964491,0.01167742301143606
13,google_gemma_3_4b_it,0.11097834204116505,0.08849450658866823,13.0,0.013841133970531896,0.008648223711830482,0.010806720881948654
15,llama-3.1-8B-instruct,0.10485436893203884,0.08591609711786811,15.0,0.013500084879122073,0.013500084879122073,0.0
9,google_gemma_2_9b_it,0.09285083847883496,0.07507840686827633,11.0,0.012788766329035205,0.008686925347243527,0.009385620503199696
26,qwen1.5-14b-chat,0.09174757281203882,0.07418635178370901,12.0,0.01272028848783946,0.006885410086958565,0.010695647112179343
23,mistralai_mixtral_8x22b_instruct_v0.1,0.08932038834446601,0.07073366866379519,11.0,0.012567662044430886,0.006530003248252532,0.010738025276597188
31,qwen2-1.5b-instruct,0.07572815533281553,0.064966974922416,13.0,0.011658023764872794,0.005860959920189107,0.010077632009369846
7,google_codegemma_1.1_7b_it,0.07453323375126214,0.059951446513952934,13.0,0.011573155313834665,0.005022469088091755,0.01042653960704616
33,qwen2-7b-instruct,0.07131509267067962,0.055157590396265395,11.0,0.011340215424748888,0.005929883989541302,0.009666279623013932
4,deepseek_r1_distill_qwen_32b,0.06640776699029127,0.049012026538926785,10.0,0.01097196564184973,0.007304449850511793,0.00818712662826765
22,mistralai_mistral_7b_instruct_v0.3,0.06619593997805825,0.05329598045774449,11.0,0.010955695199211165,0.005516269719061528,0.009465623364817734
44,qwen3-1.7b,0.06618122977126213,0.05051704380256281,12.0,0.010954564114836746,0.007394438592324185,0.008082372971498887
29,qwen1.5-7b-chat,0.06569579287708739,0.052899562902823466,12.0,0.0109171509917815,0.005009588400772559,0.009699907722870398
17,llama-3.2-3B-instruct,0.06407766990291262,0.050743893377621356,17.0,0.010791197610523627,0.010791197610523627,0.0
6,deepseek_v2_lite_chat,0.06407766989825242,0.052136840428581244,11.0,0.010791197610158086,0.00473967980701537,0.00969460577787732
36,qwen2-math-7b-instruct,0.06148867314038835,0.046096823664765633,6.0,0.010585556767102943,0.007550259000450607,0.007419407058227328
3,deepseek_r1_distill_qwen_14b,0.060194174755339815,0.044840769702580635,11.0,0.01048075778043563,0.00684445766373791,0.007937233960358064
19,mistralai_ministral_8b_instruct_2410,0.05631067960776699,0.04409993837855383,11.0,0.010157955127322423,0.004452448516539402,0.009130156328139296
20,mistralai_mistral_7b_instruct_v0.1,0.05525154456776699,0.044852308556498646,11.0,0.010067617162051654,0.004493421691423059,0.009009221765762332
0,deepseek_r1_distill_llama_70b,0.054757281553398054,0.03981555661184021,10.0,0.010025106509400058,0.006629253802411715,0.007520356012053237
21,mistralai_mistral_7b_instruct_v0.2,0.05320388349514564,0.04332159062637541,10.0,0.009889999879861054,0.005025252152490569,0.008518153463488467
41,qwen2.5-coder-3b-instruct,0.05161812297436893,0.03917909569055659,12.0,0.009749651958435489,0.0042112094764928595,0.008793260376886476
10,google_gemma_2b_it,0.051082897684271836,0.040991037580191715,13.0,0.009701709913191015,0.007420637966381745,0.006249584579122249
18,mistralai_mathstral_7b_v0.1,0.050661959395728165,0.03980694050650056,11.0,0.009663797447114755,0.003760634561787965,0.008902056436102137
30,qwen2-0.5b-instruct,0.04899178490990292,0.04026452081513425,13.0,0.009511524937842178,0.004116627957228917,0.008574525112503601
25,qwen1.5-1.8b-chat,0.04307149161145632,0.034967392796053674,11.0,0.008946045199000741,0.003526900759645289,0.008221477709887539
16,llama-3.2-1B-instruct,0.04271844660194175,0.03472696532178398,12.0,0.008910948967352183,0.008910948967352185,0.0
12,google_gemma_3_1b_it,0.042233009707184466,0.03146460206550898,12.0,0.008862420125566891,0.005122762856642511,0.007231859456367839
5,deepseek_r1_distill_qwen_7b,0.04165931156058252,0.029499594439385962,11.0,0.008804656019025437,0.00587120445303557,0.006561320437535127
34,qwen2-math-1.5b-instruct,0.04029126213592233,0.029493896913597287,4.0,0.008665059435021761,0.005433640836277414,0.006749726088871913
24,qwen1.5-0.5b-chat,0.03913368184932039,0.032633842226100926,13.0,0.008544826038465838,0.00370175865438704,0.00770136578097122
1,deepseek_r1_distill_llama_8b,0.03543689320252427,0.025737836809236546,12.0,0.0081468464090693,0.004291033570140424,0.006925181392057054
43,qwen3-0.6b,0.026587005225436892,0.019362876044135682,13.0,0.007088913315681163,0.003656583913456915,0.006073062331401666
2,deepseek_r1_distill_qwen_1.5b,0.02249190938407767,0.0156902160442934,12.0,0.0065338585510937705,0.0034702534150730254,0.00553612218081169
38,qwen2.5-coder-1.5b-instruct,0.01800529567378641,0.013313154371756335,11.0,0.005859372212219661,0.0023244606614730872,0.005378580235954096
37,qwen2.5-coder-0.5b-instruct,0.016878267361165048,0.013264272237197618,13.0,0.005676282020547981,0.0017389288438315665,0.0054033604407708056
