,model,pass1,win_rate,count,SE(A),SE_x(A),SE_pred(A)
13,google_gemma_3_27b_it,0.4009259259272222,0.3851969940113499,12.0,0.03652885677003424,0.03168179843181037,0.018182987242249676
8,google_gemma_2_27b_it,0.20111111111111113,0.19013829554984554,10.0,0.029876173347368806,0.01837705224955069,0.02355567202393755
16,llama-3.1-8B-instruct,0.18259259259166663,0.1702635476933005,15.0,0.028795499042801837,0.02731827865903598,0.009104527238207429
14,google_gemma_3_4b_it,0.17478632478666667,0.1635121827397058,13.0,0.028307445570834512,0.0250361748327378,0.01320989873126759
9,google_gemma_2_9b_it,0.16818181818055555,0.1572176436643118,11.0,0.027878376149708867,0.019790956804599965,0.0196347112406349
18,llama-3.2-3B-instruct,0.09738562091611111,0.08932828663815802,17.0,0.02209847427550079,0.02116475318460684,0.006355768084161395
11,google_gemma_3_12b_it,0.06969696969444446,0.06555931278819148,11.0,0.018979418986227063,0.014792031762017257,0.011891767799878576
7,google_codegemma_1.1_7b_it,0.06282051281722222,0.057627932764597024,13.0,0.018085306495514136,0.01154070359149635,0.013924455883441513
17,llama-3.2-1B-instruct,0.040277777778333336,0.036369050485267215,12.0,0.014654441570840587,0.013909531517421372,0.0046127638915342585
15,google_gemma_7b_it,0.024999999998333328,0.022350044815672862,12.0,0.011636866702762833,0.008692458169247956,0.007736784709021239
24,mistralai_mixtral_8x22b_instruct_v0.1,0.008585858585000002,0.007945561330333728,11.0,0.00687674891587522,0.0008442723173515926,0.006824725628634809
12,google_gemma_3_1b_it,0.0069444444438888885,0.006294481072172554,12.0,0.006189695350273096,0.0025057997946261973,0.005659796455566551
10,google_gemma_2b_it,0.006410256409444444,0.0056470922818862,13.0,0.005948466199230418,0.0023889615142568994,0.005447670420169173
19,mistralai_mathstral_7b_v0.1,0.000505050505,0.0004788147482854519,11.0,0.0016746399762127965,0.0,0.0016750630253566424
48,qwen3-32b,0.000505050505,0.0004803042075287373,11.0,0.0016746399762127965,0.0,0.0016750630253566424
41,qwen2.5-coder-14b-instruct,0.00046296296277777783,0.00044023569006001686,12.0,0.0016033794658520378,0.0,0.0016037507474573696
43,qwen2.5-coder-3b-instruct,0.00046296296277777783,0.0004629629627777778,12.0,0.0016033794658520378,0.0,0.0016037507474573696
0,deepseek_r1_distill_llama_70b,0.0,0.0,9.0,0.0,0.0,0.0
2,deepseek_r1_distill_qwen_1.5b,0.0,0.0,12.0,0.0,0.0,0.0
6,deepseek_v2_lite_chat,0.0,0.0,11.0,0.0,0.0,0.0
5,deepseek_r1_distill_qwen_7b,0.0,0.0,11.0,0.0,0.0,0.0
4,deepseek_r1_distill_qwen_32b,0.0,0.0,9.0,0.0,0.0,0.0
3,deepseek_r1_distill_qwen_14b,0.0,0.0,11.0,0.0,0.0,0.0
1,deepseek_r1_distill_llama_8b,0.0,0.0,12.0,0.0,0.0,0.0
22,mistralai_mistral_7b_instruct_v0.2,0.0,0.0,10.0,0.0,0.0,0.0
21,mistralai_mistral_7b_instruct_v0.1,0.0,0.0,11.0,0.0,0.0,0.0
20,mistralai_ministral_8b_instruct_2410,0.0,0.0,11.0,0.0,0.0,0.0
27,qwen1.5-1.8b-chat,0.0,0.0,11.0,0.0,0.0,0.0
28,qwen1.5-14b-chat,0.0,0.0,12.0,0.0,0.0,0.0
29,qwen1.5-32b-chat,0.0,0.0,11.0,0.0,0.0,0.0
30,qwen1.5-72b-chat,0.0,0.0,10.0,0.0,0.0,0.0
31,qwen1.5-7b-chat,0.0,0.0,12.0,0.0,0.0,0.0
23,mistralai_mistral_7b_instruct_v0.3,0.0,0.0,11.0,0.0,0.0,0.0
25,mistralai_mixtral_8x7b_instruct_v0.1,0.0,0.0,12.0,0.0,0.0,0.0
26,qwen1.5-0.5b-chat,0.0,0.0,13.0,0.0,0.0,0.0
34,qwen2-72b-instruct,0.0,0.0,10.0,0.0,0.0,0.0
33,qwen2-1.5b-instruct,0.0,0.0,13.0,0.0,0.0,0.0
32,qwen2-0.5b-instruct,0.0,0.0,13.0,0.0,0.0,0.0
35,qwen2-7b-instruct,0.0,0.0,11.0,0.0,0.0,0.0
38,qwen2-math-7b-instruct,0.0,0.0,6.0,0.0,0.0,0.0
39,qwen2.5-coder-0.5b-instruct,0.0,0.0,13.0,0.0,0.0,0.0
37,qwen2-math-72b-instruct,0.0,0.0,10.0,0.0,0.0,0.0
36,qwen2-math-1.5b-instruct,0.0,0.0,4.0,0.0,0.0,0.0
42,qwen2.5-coder-32b-instruct,0.0,0.0,10.0,0.0,0.0,0.0
40,qwen2.5-coder-1.5b-instruct,0.0,0.0,11.0,0.0,0.0,0.0
45,qwen3-0.6b,0.0,0.0,13.0,0.0,0.0,0.0
44,qwen2.5-coder-7b-instruct,0.0,0.0,10.0,0.0,0.0,0.0
46,qwen3-1.7b,0.0,0.0,12.0,0.0,0.0,0.0
47,qwen3-14b,0.0,0.0,12.0,0.0,0.0,0.0
49,qwen3-4b,0.0,0.0,12.0,0.0,0.0,0.0
50,qwen3-8b,0.0,0.0,12.0,0.0,0.0,0.0
