,model,pass1,win_rate,count,SE(A),SE_x(A),SE_pred(A)
42,qwen3-32b,0.8007444168734491,0.3374162680009553,10.0,0.019897553730675893,0.01537211419824949,0.012633714795780002
41,qwen3-14b,0.7701330927136476,0.3157313188555314,11.0,0.020958905331793846,0.017272221919964338,0.011872070697843736
9,llama-3.1-70B-instruct,0.7518610421836228,0.30247604818351004,13.0,0.021516109460773536,0.021516109460773536,0.0
0,deepseek_r1_distill_llama_70b,0.749103942651861,0.299036889857422,9.0,0.021595608054277866,0.01825662392960366,0.011535422399158769
28,qwen2-72b-instruct,0.7360421836228288,0.2935850136284944,8.0,0.021956650702031816,0.020374835832615783,0.008182944142849206
44,qwen3-8b,0.7223099481168734,0.2888895556089483,11.0,0.02230947939529327,0.017304565767908304,0.014080656038450452
4,deepseek_r1_distill_qwen_32b,0.7132616487466501,0.28025968923889094,9.0,0.02252759373167947,0.017918239106588053,0.01365390737696512
36,qwen2.5-coder-32b-instruct,0.7042183622828785,0.2733015727760399,10.0,0.02273457050497993,0.017948631405894432,0.013953756723593946
43,qwen3-4b,0.6997518610429281,0.27851303920577314,12.0,0.02283282615877284,0.018047269040468654,0.013986923556582518
24,qwen1.5-72b-chat,0.674937965260546,0.2520940674551263,1.0,0.023332567485922155,,
7,google_gemma_3_12b_it,0.6704714640198511,0.25467839973007556,10.0,0.023414459698337765,0.019704925818734443,0.012647245606979255
18,mistralai_mixtral_8x22b_instruct_v0.1,0.6683961200084367,0.25018823596178663,11.0,0.023451695075217972,0.02013031574266859,0.012031308740177528
3,deepseek_r1_distill_qwen_14b,0.6670426347875931,0.2546554357636674,11.0,0.023475701928806533,0.018172221771216177,0.01486199639846234
31,qwen2-math-72b-instruct,0.6667848280759305,0.2510250963868018,7.0,0.023480249930171757,0.019420573399420025,0.013197100652077718
23,qwen1.5-32b-chat,0.6650124069478908,0.24544202601712156,1.0,0.02351130373581981,,
35,qwen2.5-coder-14b-instruct,0.631626438076675,0.2279473550561256,11.0,0.024028234054127212,0.02022053587915717,0.01298021419390437
29,qwen2-7b-instruct,0.5833333333327544,0.2062349325580237,12.0,0.024558410422309516,0.021280700501098558,0.012257540889311531
22,qwen1.5-14b-chat,0.5750056395208437,0.1998388370311503,11.0,0.0246249361218992,0.022061551830653132,0.01093962567143051
19,mistralai_mixtral_8x7b_instruct_v0.1,0.5738777351672457,0.2000347118624926,11.0,0.02463339540839424,0.022552678642402717,0.009908625303179586
38,qwen2.5-coder-7b-instruct,0.5618279569898262,0.19678924493621539,12.0,0.02471561846013886,0.02062627635292587,0.013616846906677327
10,llama-3.1-8B-instruct,0.5359801488833746,0.18200145406913487,15.0,0.02484220318875302,0.024842203188753024,0.0
40,qwen3-1.7b,0.5115798180305211,0.18173304541262786,12.0,0.02490009356586903,0.019223026163588907,0.015826873497409667
14,mistralai_ministral_8b_instruct_2410,0.5099255583133996,0.17418830070691554,12.0,0.024901866119005054,0.01818800152140347,0.017008807626235207
25,qwen1.5-7b-chat,0.5053763440856079,0.16781998649221236,12.0,0.024905334163332928,0.021709164140671953,0.012206058417877622
13,mistralai_mathstral_7b_v0.1,0.4944732686645162,0.16729672060772421,11.0,0.024905252480022382,0.018807358559297757,0.016326508050274264
8,google_gemma_3_4b_it,0.4863523573198511,0.16986281572992085,13.0,0.024897494161197947,0.019800639603146823,0.015093703548605276
17,mistralai_mistral_7b_instruct_v0.3,0.47958493119478907,0.15195395894963862,11.0,0.02488600436619625,0.02203225025577164,0.011571221283053457
16,mistralai_mistral_7b_instruct_v0.2,0.47575005639478907,0.16111924091097696,11.0,0.024877463479404244,0.023815266481134672,0.007191750246055224
6,deepseek_v2_lite_chat,0.4746221520387097,0.16391968279302374,11.0,0.024874671704149483,0.019896111202050405,0.014929636680939676
12,llama-3.2-3B-instruct,0.46898263027295284,0.15990845899363862,15.0,0.024858803393204072,0.024858803393204076,0.0
1,deepseek_r1_distill_llama_8b,0.4509925558317618,0.15425897481544212,12.0,0.024786846668785414,0.016139494650447204,0.01881234914119086
5,deepseek_r1_distill_qwen_7b,0.44101060230074446,0.1531105746497594,11.0,0.024732828013314133,0.016786713828742125,0.018163673096818666
32,qwen2-math-7b-instruct,0.43755169561513646,0.1531175827643707,12.0,0.024711748106719684,0.019403781300473693,0.015302410455001898
37,qwen2.5-coder-3b-instruct,0.4019851116610422,0.14007902216788873,12.0,0.024423531429821486,0.015136831392531224,0.019167295659470566
15,mistralai_mistral_7b_instruct_v0.1,0.37401308368461533,0.12699858891391827,11.0,0.024103133292880056,0.015461671258421487,0.018490477452755137
39,qwen3-0.6b,0.37049055163126543,0.13706755871587173,13.0,0.024056762011325287,0.01965382618451365,0.013872812071763578
27,qwen2-1.5b-instruct,0.3463606286181141,0.11661557849183286,12.0,0.02370177321430152,0.016679688107256195,0.016839300999353782
21,qwen1.5-1.8b-chat,0.27605459057047144,0.10345500026119142,12.0,0.022268854257996143,0.01383626858435533,0.017448769057599876
34,qwen2.5-coder-1.5b-instruct,0.2739867659213399,0.10318876363887387,12.0,0.022216955165527498,0.0105202043623082,0.019568300820519153
