,model,pass1,win_rate,count,SE(A),SE_x(A),SE_pred(A)
13,google_gemma_3_27b_it,0.861225,0.46630806208186054,8.0,0.00488910010891575,0.004121513229818803,0.0026299103732691296
45,qwen3-14b,0.8284799999999999,0.44000319999143733,10.0,0.0053310578612504305,0.004284411035369973,0.003172380809423736
11,google_gemma_3_12b_it,0.80130909091086,0.4188534746673521,11.0,0.005642921791669119,0.004614170168892887,0.003248384213635019
47,qwen3-4b,0.78568333333422,0.406884753269142,12.0,0.0058031893481955065,0.004688836575267334,0.0034193300778727247
48,qwen3-8b,0.78188,0.4050823304318167,10.0,0.005840268240414989,0.00457212080719173,0.0036337920199764387
46,qwen3-32b,0.7685800000000002,0.40179863350878103,10.0,0.005964306893512438,0.004112320384189712,0.0043199279829388105
0,deepseek_r1_distill_llama_70b,0.73562222222496,0.39396171161917853,9.0,0.006236700544258504,0.004559701538939788,0.004255062344378099
14,google_gemma_3_4b_it,0.72024615384762,0.35957196865630636,13.0,0.006348096277079145,0.005274259523699537,0.0035327769275360203
5,deepseek_r1_distill_qwen_7b,0.7184166666695,0.3881392595043473,12.0,0.006360725740369326,0.0036801327964376255,0.005188010653880839
1,deepseek_r1_distill_llama_8b,0.69103333333562,0.3620027942149997,12.0,0.006534619584255566,0.003953446339595122,0.005203029420527843
44,qwen3-1.7b,0.63866666666738,0.3053432874895833,12.0,0.006793696424706622,0.0053399360644238595,0.004199927849253719
16,llama-3.1-70B-instruct,0.6292166666664001,0.29837673394464487,12.0,0.0068308572383797405,0.006804121189142931,0.0006037759970229778
2,deepseek_r1_distill_qwen_1.5b,0.625833333334,0.3160753693008179,12.0,0.006843478241684625,0.0038767974000672232,0.005639471284016162
3,deepseek_r1_distill_qwen_14b,0.61338181818698,0.3274013568398524,11.0,0.006886865227440053,0.004101862540224244,0.005532055346978014
35,qwen2-72b-instruct,0.59312,0.27417391645475314,10.0,0.006947354397178828,0.005132982651225092,0.004681690103180925
4,deepseek_r1_distill_qwen_32b,0.58017777778104,0.30635210019687326,9.0,0.006979563366717064,0.004378720552906174,0.0054351735123706856
40,qwen2.5-coder-32b-instruct,0.55148,0.26069724817441875,10.0,0.007033488602393552,0.0049531769522196565,0.004993595898748717
8,google_gemma_2_27b_it,0.5194285714285999,0.22497349079388126,7.0,0.007065727572051498,0.005821203559671831,0.004004759073816147
39,qwen2.5-coder-14b-instruct,0.49413333333428,0.21707131745292194,9.0,0.007070581054230739,0.004773980961805973,0.005215574965501003
42,qwen2.5-coder-7b-instruct,0.458981818183,0.2011169083560452,11.0,0.00704723362406026,0.004458317245632683,0.005457738459231966
9,google_gemma_2_9b_it,0.44878,0.1823829278302137,10.0,0.007033868233056403,0.005872286331953207,0.003871893019642402
31,qwen1.5-72b-chat,0.4346400000000001,0.17808024867746863,10.0,0.007010393289965978,0.005332067836527714,0.004551336799959619
30,qwen1.5-32b-chat,0.4224,0.17139965244455072,10.0,0.006985388178190243,0.005228647923805074,0.004632158124339981
25,mistralai_mixtral_8x22b_instruct_v0.1,0.41762,0.17094962947249823,10.0,0.0069744323869401735,0.005010703699526091,0.00485134574685783
20,mistralai_mathstral_7b_v0.1,0.39727272727088003,0.15936285528118185,11.0,0.006920218312129134,0.004889986395009985,0.004896677908964879
21,mistralai_ministral_8b_instruct_2410,0.38301818181658,0.15233882881239788,11.0,0.006874812786025541,0.004811705039763816,0.004910249021507132
19,llama-3.2-3B-instruct,0.3777789473692,0.1509440136941711,19.0,0.006856559112176008,0.00682619691060992,0.0006445452632231803
17,llama-3.1-8B-instruct,0.374575,0.1496652337998067,16.0,0.0068449772735196136,0.006815060323161735,0.0006392704174812617
43,qwen3-0.6b,0.37046153845998003,0.1477884388628279,13.0,0.006829638159988343,0.005032036694519167,0.004617636202797007
41,qwen2.5-coder-3b-instruct,0.36666666666598,0.14857069595165326,12.0,0.006815016100084271,0.004395750932784461,0.005207861190674379
36,qwen2-7b-instruct,0.36239999999986006,0.15028768678105844,11.0,0.00679803265658472,0.004439264148842521,0.005148415466606574
12,google_gemma_3_1b_it,0.33293333333248,0.12966500199843137,12.0,0.006664663965851598,0.0052876803950382655,0.00405686847428515
29,qwen1.5-14b-chat,0.31522,0.11822258919817628,10.0,0.006570484785767334,0.004723668923387601,0.004567080273240468
38,qwen2.5-coder-1.5b-instruct,0.27171666666426,0.10140112575740613,12.0,0.006291052689671632,0.004045207977490308,0.004818053171465987
6,deepseek_v2_lite_chat,0.2573,0.09095660016261133,10.0,0.006182179389179838,0.0043684993355206595,0.0043744205965539655
26,mistralai_mixtral_8x7b_instruct_v0.1,0.2559,0.09156431185662617,10.0,0.006171145598671287,0.004258003470589891,0.0044668159179044355
7,google_codegemma_1.1_7b_it,0.20543076922684,0.07118606772636493,13.0,0.005713649766685193,0.004001941684627955,0.004078021138883285
32,qwen1.5-7b-chat,0.20542000000000002,0.07018690660470633,10.0,0.0057135387213179895,0.003791990425445015,0.004273796126786271
