,model,pass1,win_rate,count,SE(A),SE_x(A),SE_pred(A)
32,qwen3-14b,0.7218333333338,0.31398462509702074,12.0,0.02003945968443337,0.01877711224993085,0.006999999999823376
27,qwen2.5-coder-14b-instruct,0.7213333333352,0.32865523504352134,12.0,0.0200505139861665,0.016273014161563692,0.0117137577748136
6,google_gemma_3_12b_it,0.6930909090903999,0.2931969079932844,11.0,0.020625998197742718,0.019298021137885295,0.007281358514385772
0,deepseek_r1_distill_llama_70b,0.663272727273,0.26744177854177226,11.0,0.02113490082914214,0.018294371622551923,0.010583005243957881
34,qwen3-8b,0.6611666666674,0.2705070907034118,12.0,0.021167206029862287,0.01926582007686738,0.008768054965407786
29,qwen2.5-coder-7b-instruct,0.6484000000000001,0.27877304538576353,10.0,0.021353100009132164,0.016412711604796515,0.013659347633682135
33,qwen3-4b,0.641333333333,0.2546569478716549,12.0,0.021448771008567513,0.019786468184995958,0.008279218232545214
16,mistralai_mixtral_8x22b_instruct_v0.1,0.638727272729,0.2516631103299492,11.0,0.021482771878934697,0.01795095430157613,0.011801386667043525
7,google_gemma_3_4b_it,0.5995384615394,0.2260346971278314,13.0,0.021913105424579575,0.02037040549725855,0.008076556767954858
3,deepseek_r1_distill_qwen_14b,0.570545454547,0.2112776921827276,11.0,0.022136997937514342,0.017874597146490572,0.013059305285358232
8,llama-3.1-8B-instruct,0.562,0.19916284108008825,15.0,0.022188104921331157,0.022188104921331164,0.0
28,qwen2.5-coder-3b-instruct,0.5503333333356,0.20632947860946038,12.0,0.022247092194501616,0.016827820279491004,0.014551892514439696
17,mistralai_mixtral_8x7b_instruct_v0.1,0.5209999999993999,0.17698184846058562,12.0,0.022340948950303127,0.018859041718762223,0.01197725116418773
12,mistralai_ministral_8b_instruct_2410,0.5201818181818001,0.1734620601309014,11.0,0.02234245708130047,0.01821647424431325,0.012936207115535274
24,qwen2-7b-instruct,0.510727272727,0.17200568789366938,11.0,0.022355532899926166,0.01839532639195998,0.012703614374379514
10,llama-3.2-3B-instruct,0.488,0.1568633209923294,15.0,0.022354238971613417,0.022354238971613417,0.0
11,mistralai_mathstral_7b_v0.1,0.4870909090912,0.15737978447399695,11.0,0.022353225958322363,0.017616969655564137,0.013758964019821735
31,qwen3-1.7b,0.4811666666666,0.15653529640226282,12.0,0.02234481172691115,0.020008778502787906,0.009946828335579075
5,deepseek_v2_lite_chat,0.44509090909180005,0.13641245964254534,11.0,0.022225435506897723,0.017841906283937087,0.013252787013548371
26,qwen2.5-coder-1.5b-instruct,0.4370909090908,0.1375447228329763,11.0,0.022182986556412015,0.01663548730960565,0.014674653472361977
20,qwen1.5-14b-chat,0.40183333333320004,0.11398769653454868,12.0,0.021925478583398328,0.018418516841253632,0.011894740370412259
1,deepseek_r1_distill_llama_8b,0.39499999999979996,0.1170269504993319,12.0,0.02186206760578505,0.017366242070254567,0.013280197150540964
15,mistralai_mistral_7b_instruct_v0.3,0.39236363636320004,0.10670258030614214,11.0,0.02183641056689705,0.01823562220938683,0.012012115096127363
4,deepseek_r1_distill_qwen_7b,0.39163636363660004,0.12001382708048904,11.0,0.021829215391951255,0.016457275514697108,0.014341294476495235
14,mistralai_mistral_7b_instruct_v0.2,0.36379999999999996,0.09979840874770705,10.0,0.021515090518052674,0.01756793822089927,0.012420413304985735
21,qwen1.5-7b-chat,0.3483333333338,0.09057799887956472,12.0,0.02130714538469965,0.017577375839948704,0.012042852777723191
9,llama-3.2-1B-instruct,0.32,0.08183722747801177,11.0,0.020861447696648477,0.020861447696648473,0.0
25,qwen2.5-coder-0.5b-instruct,0.318615384614,0.08369044868938369,13.0,0.02083744808277985,0.015888853101167145,0.013481231016938955
13,mistralai_mistral_7b_instruct_v0.1,0.3052727272702,0.07536152786374692,11.0,0.020595207658832385,0.015499525986080377,0.013561978938091863
30,qwen3-0.6b,0.2758461538444,0.06973817253420465,13.0,0.019987748910452702,0.01592200070710032,0.012083045973197322
23,qwen2-1.5b-instruct,0.23492307692079997,0.05265854032614002,13.0,0.01895965320626218,0.013031785145116794,0.01377102122695485
2,deepseek_r1_distill_qwen_1.5b,0.14616666666420003,0.03197578728327312,12.0,0.015798858960094343,0.011262609319674545,0.011079601786767129
22,qwen2-0.5b-instruct,0.1298461538432,0.02303375681450247,13.0,0.01503237374304724,0.009736158029668407,0.011453361391835127
19,qwen1.5-1.8b-chat,0.12636363636140002,0.02310379753820525,11.0,0.014859062404265209,0.010194067307400663,0.010810769041378728
18,qwen1.5-0.5b-chat,0.0416923076902,0.005771887161881193,13.0,0.008939134093374558,0.005388536301534916,0.00713244662555366
