,model_a,model_b,total,accA,accB,sum(A!=B),sum(A-B),SE_signtest,pvalue,SE_pred(A-B),SE_x(A-B),SE(A-B),"corr(A,B)",benchmark_id
0,deepseek_r1_distill_llama_70b,deepseek_r1_distill_llama_8b,800.0,0.468125,0.36041666666525,243.08333333203998,86.1666666678,0.01948891244608874,5.2450578016942276e-08,0.01705462295503738,0.008628799908193345,0.019113250691447686,0.7004465974347671,cruxeval_input_cot
1,deepseek_r1_distill_llama_70b,deepseek_r1_distill_qwen_14b,800.0,0.468125,0.47045454545550003,214.6090909055,-1.8636363644000085,0.01831192793071892,0.9455214144492768,0.01721461933006088,0.0062431404263720985,0.01831174270959231,0.8105083163165552,cruxeval_input_cot
2,deepseek_r1_distill_llama_70b,google_codegemma_1.1_7b_it,800.0,0.468125,0.44673076922987504,270.06923076612003,17.11538461610003,0.02054222901907343,0.3613358826694233,0.017548277425148782,0.010652182456861574,0.020528298314381927,0.5870993891099687,cruxeval_input_cot
3,deepseek_r1_distill_llama_70b,google_gemma_2_27b_it,800.0,0.468125,0.5798749999999999,248.98,-89.4,0.01972387512635385,1.1087917059711847e-08,0.016421107690341046,0.010186677284434913,0.019324108566115026,0.6498975813484246,cruxeval_input_cot
4,deepseek_r1_distill_llama_70b,google_gemma_2_9b_it,800.0,0.468125,0.47937500000012506,237.91666666572,-9.000000000099988,0.019280684419003064,0.6033972369843799,0.016319731890778923,0.010259285528401935,0.019276581349922602,0.6605009715404233,cruxeval_input_cot
5,deepseek_r1_distill_llama_70b,google_gemma_3_12b_it,800.0,0.468125,0.625454545456125,239.00909090838002,-125.86363636490002,0.01932489856491733,6.378588524124993e-17,0.01624499728723748,0.008866286445869098,0.018507051958714417,0.715695717079802,cruxeval_input_cot
6,deepseek_r1_distill_llama_70b,google_gemma_3_4b_it,800.0,0.468125,0.43701923076775,258.31538461304,24.884615385800004,0.020090241124931154,0.15202865125192047,0.017189592918174807,0.010340513655805357,0.02006011783012409,0.6196574471251121,cruxeval_input_cot
7,deepseek_r1_distill_llama_70b,google_gemma_7b_it,800.0,0.468125,0.297499999999625,317.91666666582,136.50000000030002,0.02228777224545656,8.351944879028555e-15,0.017153587986365102,0.012888293043609953,0.02145585417511812,0.37376635499605454,cruxeval_input_cot
8,deepseek_r1_distill_llama_70b,llama-3.1-70B-instruct,800.0,0.468125,0.61375,238.5,-116.5,0.019304306514350625,2.7319603347296508e-14,0.012046639688219193,0.014178378660515885,0.01860505171233743,0.5649637254285421,cruxeval_input_cot
9,deepseek_r1_distill_llama_70b,llama-3.1-8B-instruct,800.0,0.468125,0.419,267.5,39.30000000000004,0.02044428404224516,0.019870551616344007,0.0120577520674724,0.016418367246718385,0.020370374762599484,0.4279518719081291,cruxeval_input_cot
10,deepseek_r1_distill_llama_70b,llama-3.2-3B-instruct,800.0,0.468125,0.32125,299.1,117.50000000000003,0.021618134748400474,1.0788497766634278e-11,0.012046639688219193,0.017183040772545826,0.02098519520921237,0.3231771785945407,cruxeval_input_cot
11,deepseek_r1_distill_llama_70b,mistralai_mathstral_7b_v0.1,800.0,0.468125,0.4397727272715,258.89999999715997,22.681818182799987,0.02011296223820754,0.19097469581451976,0.017286257824868135,0.010232874776750606,0.02008796743785875,0.6185916867834329,cruxeval_input_cot
12,deepseek_r1_distill_llama_70b,mistralai_ministral_8b_instruct_2410,800.0,0.468125,0.4330681818155,256.97272727014,28.045454547600002,0.020037961132799757,0.09131208693228565,0.017331393757795483,0.009980303158988466,0.01999959151415517,0.6303713898850853,cruxeval_input_cot
13,deepseek_r1_distill_llama_70b,mistralai_mistral_7b_instruct_v0.3,800.0,0.468125,0.317159090906375,267.00909090786,120.77272727489999,0.02042551601657915,2.045200682865658e-13,0.01648111675793559,0.010820633660707912,0.019715814018395245,0.5761076374741056,cruxeval_input_cot
14,deepseek_r1_distill_llama_70b,mistralai_mixtral_8x22b_instruct_v0.1,800.0,0.468125,0.5605681818193751,248.48181817894,-73.95454545550001,0.019704132584424865,3.034620085480341e-06,0.017365782199645474,0.008717813496970312,0.019431177616744726,0.6982167866115755,cruxeval_input_cot
15,deepseek_r1_distill_llama_70b,mistralai_mixtral_8x7b_instruct_v0.1,800.0,0.468125,0.34479166666675,267.34999999888,98.66666666660001,0.02043855119616481,1.308221991216644e-09,0.01743557766992616,0.009732477455682034,0.019967986531180024,0.6200532060454563,cruxeval_input_cot
16,deepseek_r1_distill_llama_70b,qwen1.5-14b-chat,800.0,0.468125,0.39562499999825,260.44999999892,58.0000000014,0.020173079214594696,0.00038780629202563255,0.017021970354363026,0.010518333411390872,0.02000956802377291,0.6050462699950462,cruxeval_input_cot
