,model_a,model_b,total,accA,accB,sum(A!=B),sum(A-B),SE_signtest,pvalue,SE_pred(A-B),SE_x(A-B),SE(A-B),"corr(A,B)",benchmark_id
0,deepseek_r1_distill_llama_70b,deepseek_r1_distill_llama_8b,800.0,0.6651250000000001,0.5232291666681249,212.83333333128002,113.51666666550001,0.018236010619927953,1.674663969223283e-15,0.01568000419520454,0.007843565348252604,0.017532371457790328,0.7715580098248378,cruxeval_output_cot
1,deepseek_r1_distill_llama_70b,deepseek_r1_distill_qwen_14b,800.0,0.6651250000000001,0.544772727281375,249.4272727195,96.2818181749,0.01974158336163082,1.643869247295114e-09,0.01789511565009869,0.007168619989798514,0.01927755888821367,0.7417995838125206,cruxeval_output_cot
2,deepseek_r1_distill_llama_70b,google_gemma_2_27b_it,800.0,0.6651250000000001,0.627375,199.2,30.200000000000003,0.01764227876437735,0.0468864676321714,0.014320245963126628,0.010217594013786004,0.01759172168592375,0.678259880465939,cruxeval_output_cot
3,deepseek_r1_distill_llama_70b,google_gemma_2_9b_it,800.0,0.6651250000000001,0.486041666666875,247.36666666550002,143.2666666665,0.019659868175164446,1.2020160927338801e-20,0.014380131934080635,0.011816669237824557,0.018612411620145167,0.6099455971177262,cruxeval_output_cot
4,deepseek_r1_distill_llama_70b,google_gemma_3_12b_it,800.0,0.6651250000000001,0.69727272727375,185.26363636306002,-25.71818181900001,0.017013948154889894,0.055638679233657576,0.01352426037470832,0.0102604565041372,0.016975941398231702,0.6748327479731253,cruxeval_output_cot
5,deepseek_r1_distill_llama_70b,google_gemma_3_27b_it,800.0,0.6651250000000001,0.7595833333335,177.63333333292,-75.56666666679999,0.01665989445742942,1.642014869575487e-08,0.013046058898169075,0.009808132321599904,0.01632173742015565,0.678492345745236,cruxeval_output_cot
6,deepseek_r1_distill_llama_70b,google_gemma_3_4b_it,800.0,0.6651250000000001,0.545288461538625,232.85384615371999,95.8692307691,0.019074436678842902,2.4901315206630154e-10,0.014201409132992985,0.012008460280757279,0.01859793374752103,0.6031080782774362,cruxeval_output_cot
7,deepseek_r1_distill_llama_70b,llama-3.1-70B-instruct,800.0,0.6651250000000001,0.7025,180.1,-29.900000000000006,0.0167751676593708,0.03036953944689131,0.010508759573697448,0.013008693590863466,0.016723042089247697,0.6011206935380247,cruxeval_output_cot
8,deepseek_r1_distill_llama_70b,mistralai_mixtral_8x22b_instruct_v0.1,800.0,0.6651250000000001,0.623295454546625,193.39090908882,33.46363636269999,0.017383132498237516,0.021014080254850215,0.014630173694030264,0.00927060809994367,0.017320108454055252,0.7197858861823261,cruxeval_output_cot
9,deepseek_r1_distill_llama_70b,qwen1.5-32b-chat,800.0,0.6651250000000001,0.483181818181875,246.39090908897998,145.5545454545,0.01962105490159821,5.026773132675416e-21,0.015495855180361324,0.01017276343567328,0.018536629782376895,0.662145591987419,cruxeval_output_cot
