,model_a,model_b,total,accA,accB,sum(A!=B),sum(A-B),SE_signtest,pvalue,SE_pred(A-B),SE_x(A-B),SE(A-B),"corr(A,B)",benchmark_id
0,deepseek_r1_distill_llama_8b,deepseek_r1_distill_qwen_1.5b,1000.0,0.0684615384591,0.0177692307678,73.34319526301243,50.6923076913,0.008564064179057303,9.089007009078587e-10,0.0068771267103883245,0.004845473497317518,0.008412697855262781,0.38357082498209416,ds1000
1,deepseek_r1_distill_llama_8b,deepseek_r1_distill_qwen_14b,1000.0,0.0684615384591,0.16090909090629998,153.0769230733175,-92.4475524472,0.012372425917067255,1.4331428712478283e-14,0.010148168045459748,0.006445545627869636,0.012022078569026227,0.5639772471974426,ds1000
2,deepseek_r1_distill_llama_8b,deepseek_r1_distill_qwen_7b,1000.0,0.0684615384591,0.1476363636342,146.4895104868063,-79.17482517510001,0.012103285111357425,1.9020908976366846e-11,0.009756296155775527,0.0067108526184158105,0.011841488823002733,0.5208826574199656,ds1000
3,deepseek_r1_distill_llama_8b,deepseek_v2_lite_chat,1000.0,0.0684615384591,0.17372727272460003,167.9650349620273,-105.2657342655,0.012960132521005613,6.882928563681391e-17,0.010053667180179141,0.0074704709611751515,0.012525340719979334,0.49083403369520123,ds1000
4,deepseek_r1_distill_llama_8b,google_codegemma_1.1_7b_it,1000.0,0.0684615384591,0.20930769230569998,197.29585798561894,-140.8461538466,0.014046204397830005,9.150920375086123e-26,0.01025508004164115,0.00850244389994854,0.01332134448665895,0.45892794142489723,ds1000
5,deepseek_r1_distill_llama_8b,google_gemma_2_9b_it,1000.0,0.0684615384591,0.10616666666579999,132.5384615371718,-37.70512820670001,0.011512534974416877,0.001195106352671871,0.007786187039909085,0.00839595594459856,0.011450623775327181,0.2899943965202079,ds1000
6,deepseek_r1_distill_llama_8b,google_gemma_2b_it,1000.0,0.0684615384591,0.0038461538459,70.40236686135623,64.6153846132,0.008390611828785562,9.694461487914918e-17,0.006135228246606453,0.005346605773262768,0.008138010747882092,0.11439501434331645,ds1000
7,deepseek_r1_distill_llama_8b,google_gemma_3_1b_it,1000.0,0.0684615384591,0.038307692307099996,83.58579881421656,30.153846151999996,0.009142526938118178,0.0019314374822250477,0.0067974354135797764,0.006039156909260565,0.00909266431671477,0.3108581484830263,ds1000
8,deepseek_r1_distill_llama_8b,google_gemma_3_4b_it,1000.0,0.0684615384591,0.19546153846099998,171.33136094541595,-127.00000000189999,0.013089360601091865,2.2664300128732036e-24,0.008113774296158869,0.009453519324353498,0.012458023958274177,0.5154889681650654,ds1000
9,deepseek_r1_distill_llama_8b,google_gemma_7b_it,1000.0,0.0684615384591,0.0475384615378,88.67455621077457,20.923076921299987,0.00941671684881597,0.04221061162240417,0.006605165033872093,0.00667896518468493,0.009393443514649989,0.3035666435414928,ds1000
10,deepseek_r1_distill_llama_8b,llama-3.1-8B-instruct,1000.0,0.0684615384591,0.2232666666664,210.22051282049694,-154.80512820730002,0.01449898316505323,1.1416791141078371e-29,0.006074717919349252,0.012221034624840706,0.013647559675678957,0.3454426450983857,ds1000
11,deepseek_r1_distill_llama_8b,llama-3.2-1B-instruct,1000.0,0.0684615384591,0.0458333333333,88.19230768987691,22.6282051258,0.00939107596018033,0.024622831581791033,0.0059061226180587515,0.007266222377763872,0.009363774453854687,0.26661109592630594,ds1000
12,deepseek_r1_distill_llama_8b,llama-3.2-3B-instruct,1000.0,0.0684615384591,0.101411764706,120.85972850636244,-32.9502262469,0.010993622174077225,0.002446856762814173,0.005936789966832061,0.009193940177440938,0.010944131354138643,0.32758264035512863,ds1000
13,deepseek_r1_distill_llama_8b,mistralai_mathstral_7b_v0.1,1000.0,0.0684615384591,0.22572727272510001,204.18881118589232,-157.265734266,0.014289465041977336,1.254781684981774e-31,0.010707000519875061,0.00805086578443979,0.013396130038621907,0.5191498288491527,ds1000
14,deepseek_r1_distill_llama_8b,mistralai_ministral_8b_instruct_2410,1000.0,0.0684615384591,0.24745454545270001,223.10489510276642,-178.99300699359998,0.014936696257967036,2.3332842032530035e-37,0.010763737359800407,0.008672275168569808,0.013822676967583214,0.49334170838576746,ds1000
15,deepseek_r1_distill_llama_8b,mistralai_mistral_7b_instruct_v0.1,1000.0,0.0684615384591,0.09227272727100001,106.73426573164127,-23.811188811900003,0.010331227697212043,0.025021349991899068,0.00874298919905171,0.005452286940749767,0.010303751405143922,0.5424355709059362,ds1000
16,deepseek_r1_distill_llama_8b,mistralai_mistral_7b_instruct_v0.2,1000.0,0.0684615384591,0.1357,136.83846153804,-67.2384615409,0.011697797294278953,4.379138784366244e-09,0.008929830924441788,0.007250901356971837,0.011502932270845243,0.4938925628351134,ds1000
17,deepseek_r1_distill_llama_8b,mistralai_mistral_7b_instruct_v0.3,1000.0,0.0684615384591,0.1816363636348,162.32167831940208,-113.17482517569998,0.012740552512328581,1.182276844628418e-20,0.009387798955293288,0.00783469004114688,0.012227556471587112,0.5582285008846128,ds1000
18,deepseek_r1_distill_llama_8b,qwen1.5-0.5b-chat,1000.0,0.0684615384591,0.0035384615381,69.32544378432544,64.92307692099999,0.008326190232292644,8.185726402265558e-18,0.006144624500594516,0.00523010780138698,0.008069103907339115,0.22710495222951013,ds1000
19,deepseek_r1_distill_llama_8b,qwen1.5-1.8b-chat,1000.0,0.0684615384591,0.0136666666657,75.25641025351155,54.794871793400006,0.008675045259450323,5.154208808246549e-11,0.006723129196791116,0.005201294654402039,0.00850023130736196,0.22531209435698096,ds1000
20,deepseek_r1_distill_llama_8b,qwen1.5-14b-chat,1000.0,0.0684615384591,0.2049166666656,190.09615384477823,-136.4551282065,0.013787536177460358,1.1030224948798591e-25,0.00971778342426195,0.008777290991534093,0.013094890294726639,0.471365466331032,ds1000
21,deepseek_r1_distill_llama_8b,qwen1.5-7b-chat,1000.0,0.0684615384591,0.0866666666647,113.20512820168975,-18.205128205600005,0.010639789857026771,0.0899543329449645,0.008698859877318981,0.006099470333027074,0.010624203570560356,0.4135999802536652,ds1000
