,model_a,model_b,total,accA,accB,sum(A!=B),sum(A-B),SE_signtest,pvalue,SE_pred(A-B),SE_x(A-B),SE(A-B),"corr(A,B)",benchmark_id
0,deepseek_r1_distill_llama_70b,deepseek_r1_distill_llama_8b,92.0,0.8310276679858697,0.6680602006684783,28.0139860138979,14.993006993199998,0.05753069577428541,0.012540951371192932,0.04139472863686785,0.03616046441131662,0.05496455899360989,0.38881956050854505,gmat_cot
1,deepseek_r1_distill_llama_70b,deepseek_r1_distill_qwen_14b,92.0,0.8310276679858697,0.8063241106728263,13.29752066080661,2.272727272799999,0.03963670181791961,1.0,0.0331639161467789,0.021554337695893683,0.039552936777175016,0.7462678752706412,gmat_cot
2,deepseek_r1_distill_llama_70b,deepseek_r1_distill_qwen_32b,92.0,0.8310276679858697,0.835968379447826,9.809917355073553,-0.45454545449999983,0.0340443343412851,1.0,0.031605109864159375,0.012643907555955614,0.03404043724468204,0.88165193180354,gmat_cot
3,deepseek_r1_distill_llama_70b,deepseek_r1_distill_qwen_7b,92.0,0.8310276679858697,0.6729249011858697,22.561983470634708,14.545454545599995,0.051629843784529075,0.004343509674072266,0.03992388358376573,0.02828468430629562,0.04892790458130088,0.6216272866377116,gmat_cot
4,deepseek_r1_distill_llama_70b,google_gemma_2_27b_it,92.0,0.8310276679858697,0.75,22.418181818,7.454545454700002,0.05146504610836104,0.28627872467041016,0.036536924086302165,0.035246846721673206,0.050766987555982995,0.4196887950681911,gmat_cot
5,deepseek_r1_distill_llama_70b,google_gemma_2_9b_it,92.0,0.8310276679858697,0.6986166007902175,26.198347107271076,12.181818182,0.05563513146329802,0.028959274291992188,0.03835978052036686,0.037857923426873316,0.05389522360808719,0.37008052739334274,gmat_cot
6,deepseek_r1_distill_llama_70b,google_gemma_3_12b_it,92.0,0.8310276679858697,0.7845849802391305,21.231404958513224,4.272727272700003,0.05008429208468423,0.6636238098144531,0.029857598674542615,0.03991885891570481,0.04984968902352344,0.3477694354947719,gmat_cot
7,deepseek_r1_distill_llama_70b,google_gemma_3_27b_it,92.0,0.8310276679858697,0.8396739130423913,18.189393939425756,-0.7954545452000001,0.0463576366404166,0.8145294189453125,0.028353830081953885,0.03666439979686671,0.046348871537296284,0.3731075069648855,gmat_cot
8,deepseek_r1_distill_llama_70b,google_gemma_3_4b_it,92.0,0.8310276679858697,0.6605351170597826,31.37762237726014,15.685314685199998,0.06088666527783813,0.010673840530216694,0.038846333046590215,0.04338427190560283,0.05823429092850608,0.22473397350762492,gmat_cot
9,deepseek_r1_distill_llama_70b,llama-3.1-8B-instruct,92.0,0.8310276679858697,0.6521739130434783,26.999999999899998,16.454545454699996,0.05647991763801097,0.002493917942047119,0.02188684989416618,0.04861320819006631,0.05331302100632163,0.35052196365298355,gmat_cot
10,deepseek_r1_distill_llama_70b,mistralai_mixtral_8x22b_instruct_v0.1,92.0,0.8310276679858697,0.7401185770793479,24.958677685467762,8.363636363399996,0.054302891952178856,0.15158963203430176,0.038443688270187425,0.03716255896814211,0.05346936465749322,0.3336987645861299,gmat_cot
11,deepseek_r1_distill_llama_70b,qwen1.5-32b-chat,92.0,0.8310276679858697,0.7025691699652173,26.942148760114875,11.818181817899998,0.05641937716823343,0.028959274291992188,0.04064377119188122,0.03676771574693909,0.054806761060527065,0.3462128540102678,gmat_cot
12,deepseek_r1_distill_llama_70b,qwen1.5-72b-chat,92.0,0.8310276679858697,0.7055335968434783,27.181818181354544,11.5454545451,0.05666976663564187,0.052238985896110535,0.04045836364420931,0.03746199497215743,0.05513873643874173,0.3244912362038783,gmat_cot
13,deepseek_r1_distill_llama_70b,qwen2-72b-instruct,92.0,0.8310276679858697,0.8478260869586955,17.42975206600248,-1.5454545454999984,0.04537929843149306,0.629058837890625,0.03277297223579743,0.031339204971898266,0.0453454901554609,0.4500171240652224,gmat_cot
14,deepseek_r1_distill_llama_70b,qwen2-math-72b-instruct,92.0,0.8310276679858697,0.7460474308336956,26.16528925583801,7.818181817999992,0.05560001935390648,0.32693958282470703,0.04273072788506802,0.03445215453250829,0.05488958059158004,0.3001054858085031,gmat_cot
15,deepseek_r1_distill_llama_70b,qwen2.5-coder-14b-instruct,92.0,0.8310276679858697,0.7817028985565218,22.128787878256063,4.537878787499999,0.05113178869826421,0.5234670639038086,0.03748889965674467,0.034388912390621404,0.0508725357426117,0.37862503408571213,gmat_cot
16,deepseek_r1_distill_llama_70b,qwen2.5-coder-32b-instruct,92.0,0.8310276679858697,0.8695652173934783,15.198347106952891,-3.5454545454999993,0.042375062533694385,0.30175781249999994,0.02938622871633254,0.030264709332409066,0.04218415661292537,0.4990155043318904,gmat_cot
17,deepseek_r1_distill_llama_70b,qwen3-14b,92.0,0.8310276679858697,0.9094202898565217,13.848484848095453,-7.212121212099998,0.04044951351596919,0.09228515625,0.02817967458362636,0.027843692707036877,0.0396152152992127,0.5239092092924111,gmat_cot
18,deepseek_r1_distill_llama_70b,qwen3-32b,92.0,0.8310276679858697,0.9416996047423912,13.190082644317354,-10.181818181599997,0.03947625366640886,0.00341796875,0.027262700796901334,0.026114867351331644,0.037752366171129086,0.559469280120423,gmat_cot
19,deepseek_r1_distill_llama_70b,qwen3-4b,92.0,0.8310276679858697,0.7998188405804347,19.340909090730303,2.871212121300001,0.04780250047186104,0.6476058959960938,0.03379750003639865,0.03364849454219335,0.04769163651696576,0.4463463942078988,gmat_cot
20,deepseek_r1_distill_llama_70b,qwen3-8b,92.0,0.8310276679858697,0.8704710144945651,15.780303029898484,-3.6287878788,0.04317872777060271,0.6072387695312499,0.03222490439827239,0.02844375928914983,0.042982460445824794,0.5128244147217047,gmat_cot
21,deepseek_r1_distill_llama_8b,deepseek_r1_distill_llama_70b,92.0,0.6680602006684783,0.8310276679858697,28.0139860138979,-14.993006993199998,0.05753069577428541,0.0037191659212112427,0.04139472863686785,0.03616046441131662,0.05496455899360989,0.38881956050854505,gmat_cot
22,deepseek_r1_distill_llama_8b,deepseek_r1_distill_qwen_14b,92.0,0.6680602006684783,0.8063241106728263,25.797202797241958,-12.7202797204,0.05520755090042237,0.01463329792022705,0.04307319928367274,0.031381215604719466,0.053292412118057415,0.5282360162442,gmat_cot
23,deepseek_r1_distill_llama_8b,deepseek_r1_distill_qwen_32b,92.0,0.6680602006684783,0.835968379447826,27.83916083902168,-15.447552447700003,0.05735090067307538,0.005924612283706665,0.041884819826113466,0.0350476864125902,0.05461390349298654,0.40365138227668385,gmat_cot
24,deepseek_r1_distill_llama_8b,deepseek_r1_distill_qwen_7b,92.0,0.6680602006684783,0.6729249011858697,27.846153845766434,-0.44755244760000323,0.05735810329773644,1.0,0.04847031713069848,0.03066468880521487,0.05735586092345883,0.5715048102264452,gmat_cot
25,deepseek_r1_distill_llama_8b,google_gemma_2_27b_it,92.0,0.6680602006684783,0.75,27.584615384420005,-7.5384615385000036,0.057088106573505486,0.24778856337070465,0.045720914076914636,0.03310091005455998,0.05644530299740343,0.49727007879122276,gmat_cot
