,model_a,model_b,total,accA,accB,sum(A!=B),sum(A-B),SE_signtest,pvalue,SE_pred(A-B),SE_x(A-B),SE(A-B),"corr(A,B)",benchmark_id
0,deepseek_r1_distill_llama_70b,deepseek_r1_distill_llama_8b,5000.0,0.73562222222496,0.69103333333562,1304.1851851578872,222.9444444466999,0.007222700838766306,8.54615218810577e-10,0.006721389045831431,0.0025676259264962157,0.007195121514181557,0.7384952169687728,math_cot
1,deepseek_r1_distill_llama_70b,deepseek_r1_distill_qwen_1.5b,5000.0,0.73562222222496,0.625833333334,1710.4074073942259,548.9444444548001,0.008271414407208058,1.2777633516712263e-40,0.0070646437927037314,0.004012029954175239,0.008124381593142134,0.4911729812403098,math_cot
2,deepseek_r1_distill_llama_70b,deepseek_r1_distill_qwen_14b,5000.0,0.73562222222496,0.61338181818698,1406.1111110583483,611.2020201898998,0.007499629620343523,2.9435998287146526e-61,0.006979197082514039,0.0021323013975251574,0.00729766408972489,0.7819777290686206,math_cot
3,deepseek_r1_distill_llama_70b,deepseek_r1_distill_qwen_32b,5000.0,0.73562222222496,0.58017777778104,1451.543209833057,777.2222222196001,0.007619824695708051,3.934561635715732e-97,0.006902656493272741,0.002362724416326659,0.007295829859010316,0.7597000598321618,math_cot
4,deepseek_r1_distill_llama_70b,deepseek_r1_distill_qwen_7b,5000.0,0.73562222222496,0.7184166666695,1273.916666637739,86.02777777729989,0.007138393843541386,0.018521762234453537,0.006709769750097654,0.0024241390920880794,0.007134245610932887,0.7499607667760256,math_cot
5,deepseek_r1_distill_llama_70b,google_gemma_3_12b_it,5000.0,0.73562222222496,0.80130909091086,1254.6161615976132,-328.43434342950013,0.007084112256585473,1.5837517520277927e-20,0.005353275217466186,0.004545782437206509,0.007022940518070247,0.4754218882408188,math_cot
6,deepseek_r1_distill_llama_70b,google_gemma_3_27b_it,5000.0,0.73562222222496,0.861225,1165.374999985775,-628.0138888752001,0.0068275178505391694,1.1826742331192212e-79,0.00500219792950789,0.004293926445166098,0.006592403844006356,0.47928799559246593,math_cot
7,deepseek_r1_distill_llama_70b,google_gemma_3_4b_it,5000.0,0.73562222222496,0.72024615384762,1461.9401709233753,76.88034188670008,0.007647065243407762,0.04673815894264963,0.005530467283537196,0.00527676546445934,0.007643972929124363,0.4052926629757757,math_cot
8,deepseek_r1_distill_llama_70b,llama-3.1-70B-instruct,5000.0,0.73562222222496,0.6292166666664001,1717.324074068326,532.0277777928,0.008288121799462955,4.792294837436047e-38,0.004297685540977322,0.006925202777021215,0.008150370207051203,0.2942689317578179,math_cot
9,deepseek_r1_distill_llama_70b,qwen2-72b-instruct,5000.0,0.73562222222496,0.59312,1763.91111110502,712.5111111248,0.008399788357107625,2.584894384180066e-66,0.006326434839367799,0.00514502575305739,0.008154450795509801,0.4050749319526607,math_cot
