,model_a,model_b,total,accA,accB,sum(A!=B),sum(A-B),SE_signtest,pvalue,SE_pred(A-B),SE_x(A-B),SE(A-B),"corr(A,B)",benchmark_id
0,deepseek_r1_distill_llama_70b,deepseek_r1_distill_qwen_14b,2750.0,0.866909090909091,0.7462252964438182,542.31811593819,331.88043477950004,0.00846826348226423,4.07719989963523e-49,0.006212688090112304,0.005274256613832791,0.00814955680596081,0.6266149923436082,mgsm_cot
1,deepseek_r1_distill_llama_70b,deepseek_r1_distill_qwen_32b,2750.0,0.866909090909091,0.8031454545454546,429.26,175.34999999999994,0.007534032976604362,1.5724568729119092e-17,0.005987924632901486,0.004407713497397419,0.007435265945778117,0.6886093610606345,mgsm_cot
2,deepseek_r1_distill_llama_70b,google_gemma_2_27b_it,2750.0,0.866909090909091,0.8393818181818182,418.32000000000005,75.70000000000002,0.007437408239589518,0.00023545043113567488,0.005649139197232748,0.004809025049589968,0.007418860801854638,0.5910701972141015,mgsm_cot
3,deepseek_r1_distill_llama_70b,google_gemma_2_9b_it,2750.0,0.866909090909091,0.7903140495884001,504.19999999474,210.63636363189997,0.008165235720998492,3.3744007034888054e-21,0.006004566783175356,0.005336934530103761,0.008033535487705688,0.5635938818119215,mgsm_cot
4,deepseek_r1_distill_llama_70b,google_gemma_3_12b_it,2750.0,0.866909090909091,0.8627768595051636,363.98181817911,11.363636360800001,0.006937566374258172,0.5997388497769723,0.005302205378558769,0.004473280240225583,0.00693711885324233,0.6361644838379565,mgsm_cot
5,deepseek_r1_distill_llama_70b,google_gemma_3_27b_it,2750.0,0.866909090909091,0.8922545454545454,317.53000000000003,-69.7,0.006479771447862102,7.920152118934873e-05,0.004946083082302529,0.004158136967986801,0.006461721202711996,0.6504419232807294,mgsm_cot
6,deepseek_r1_distill_llama_70b,google_gemma_3_4b_it,2750.0,0.866909090909091,0.7180979020994909,643.02307691671,409.23076922639996,0.009221054434366409,8.335284354971984e-63,0.006634865541862947,0.005740536605363678,0.008773551235168153,0.5418742850624955,mgsm_cot
7,deepseek_r1_distill_llama_70b,llama-3.1-70B-instruct,2750.0,0.866909090909091,0.8607272727272727,383.9,17.0,0.007124860445204268,0.4136415139402001,0.004055380007230494,0.005856930342938533,0.007123885179105491,0.5135381345385259,mgsm_cot
8,deepseek_r1_distill_llama_70b,mistralai_mixtral_8x22b_instruct_v0.1,2750.0,0.866909090909091,0.7168323232342546,626.84055554912,412.71111110580006,0.009104285108965897,8.35914981989863e-66,0.006710654103076421,0.005446552476010627,0.008642789617078149,0.5858771589618116,mgsm_cot
9,deepseek_r1_distill_llama_70b,qwen2-72b-instruct,2750.0,0.866909090909091,0.8059636363636364,440.72499999999997,167.59999999999997,0.007633982312686689,7.582604472917025e-16,0.0058223669158536644,0.004798651611787673,0.00754499925739822,0.6431692505304347,mgsm_cot
10,deepseek_r1_distill_llama_70b,qwen2-math-72b-instruct,2750.0,0.866909090909091,0.7904,493.4599999999999,210.39999999999995,0.008077803481820356,1.8184486566045333e-21,0.006038761269378972,0.005162913392464576,0.00794495515195911,0.5930203163951937,mgsm_cot
11,deepseek_r1_distill_llama_70b,qwen2.5-coder-14b-instruct,2750.0,0.866909090909091,0.6879008264479636,693.6818181756801,492.2727272681,0.009577396379583554,2.387440897503927e-85,0.006891940895012387,0.005707479608078385,0.008948417333639214,0.5514087820221445,mgsm_cot
12,deepseek_r1_distill_llama_70b,qwen2.5-coder-32b-instruct,2750.0,0.866909090909091,0.7943272727272725,469.07000000000005,199.60000000000002,0.007875645060816729,1.5952404883108484e-20,0.005893767396825368,0.00503722253586983,0.007753070682236593,0.6200098247573341,mgsm_cot
13,deepseek_r1_distill_llama_70b,qwen3-14b,2750.0,0.866909090909091,0.8438347107446544,380.07272727039003,63.454545452199994,0.00708925600563557,0.0017166469908999429,0.005521256541236673,0.004424891760692744,0.007075587670857828,0.654219682423503,mgsm_cot
14,deepseek_r1_distill_llama_70b,qwen3-32b,2750.0,0.866909090909091,0.8944207792210181,314.95333333271,-75.65714285780001,0.00645342713315979,2.1196734371428843e-05,0.00522605609385898,0.003749643403168503,0.006432067159715114,0.6947356223089651,mgsm_cot
15,deepseek_r1_distill_llama_70b,qwen3-4b,2750.0,0.866909090909091,0.7443030303029091,577.19166666532,337.16666666699996,0.00873629584054913,2.9155880435680244e-47,0.005862548327536729,0.006040457003634657,0.00841763587389373,0.5405902087454618,mgsm_cot
16,deepseek_r1_distill_llama_70b,qwen3-8b,2750.0,0.866909090909091,0.8045950413231636,441.25454545147,171.3636363613,0.007638567175161227,2.410290926836059e-16,0.00576161606663274,0.004872317104069412,0.007545574442140762,0.6347730516881971,mgsm_cot
17,deepseek_r1_distill_llama_8b,deepseek_r1_distill_qwen_1.5b,2750.0,0.4476363636366546,0.3336969696957455,734.8888888773612,313.3333333375,0.00985775787209115,8.010383750512195e-32,0.008641451306873322,0.004216623631708941,0.009615331275652906,0.7658503859083726,mgsm_cot
