,model,benchmark_id,temperature,rl_thinking_length,example_id,count,correct,pass1
38065,qwen1.5-0.5b-chat,bbh_cot,0.7,-1,0,12,3,0.25
38066,qwen1.5-0.5b-chat,bbh_cot,0.7,-1,1,12,6,0.5
38067,qwen1.5-0.5b-chat,bbh_cot,0.7,-1,2,12,3,0.25
38068,qwen1.5-0.5b-chat,bbh_cot,0.7,-1,3,12,10,0.8333333333
38069,qwen1.5-0.5b-chat,bbh_cot,0.7,-1,4,12,3,0.25
38070,qwen1.5-0.5b-chat,bbh_cot,0.7,-1,5,12,4,0.3333333333
38071,qwen1.5-0.5b-chat,bbh_cot,0.7,-1,6,12,3,0.25
38072,qwen1.5-0.5b-chat,bbh_cot,0.7,-1,7,12,9,0.75
38073,qwen1.5-0.5b-chat,bbh_cot,0.7,-1,8,12,4,0.3333333333
38074,qwen1.5-0.5b-chat,bbh_cot,0.7,-1,9,12,9,0.75
38075,qwen1.5-0.5b-chat,bbh_cot,0.7,-1,10,12,5,0.4166666667
38076,qwen1.5-0.5b-chat,bbh_cot,0.7,-1,11,12,7,0.5833333333
38077,qwen1.5-0.5b-chat,bbh_cot,0.7,-1,12,12,5,0.4166666667
38078,qwen1.5-0.5b-chat,bbh_cot,0.7,-1,13,12,2,0.1666666667
38079,qwen1.5-0.5b-chat,bbh_cot,0.7,-1,14,12,6,0.5
38080,qwen1.5-0.5b-chat,bbh_cot,0.7,-1,15,12,2,0.1666666667
38081,qwen1.5-0.5b-chat,bbh_cot,0.7,-1,16,12,4,0.3333333333
38082,qwen1.5-0.5b-chat,bbh_cot,0.7,-1,17,12,3,0.25
38083,qwen1.5-0.5b-chat,bbh_cot,0.7,-1,18,12,2,0.1666666667
38084,qwen1.5-0.5b-chat,bbh_cot,0.7,-1,19,12,5,0.4166666667
38085,qwen1.5-0.5b-chat,bbh_cot,0.7,-1,20,12,6,0.5
38086,qwen1.5-0.5b-chat,bbh_cot,0.7,-1,21,12,6,0.5
38087,qwen1.5-0.5b-chat,bbh_cot,0.7,-1,22,12,3,0.25
38088,qwen1.5-0.5b-chat,bbh_cot,0.7,-1,23,12,4,0.3333333333
38089,qwen1.5-0.5b-chat,bbh_cot,0.7,-1,24,12,2,0.1666666667
38090,qwen1.5-0.5b-chat,bbh_cot,0.7,-1,25,12,4,0.3333333333
38091,qwen1.5-0.5b-chat,bbh_cot,0.7,-1,26,12,4,0.3333333333
38092,qwen1.5-0.5b-chat,bbh_cot,0.7,-1,27,12,4,0.3333333333
38093,qwen1.5-0.5b-chat,bbh_cot,0.7,-1,28,12,3,0.25
38094,qwen1.5-0.5b-chat,bbh_cot,0.7,-1,29,12,4,0.3333333333
38095,qwen1.5-0.5b-chat,bbh_cot,0.7,-1,30,12,5,0.4166666667
38096,qwen1.5-0.5b-chat,bbh_cot,0.7,-1,31,12,3,0.25
38097,qwen1.5-0.5b-chat,bbh_cot,0.7,-1,32,12,8,0.6666666667
38098,qwen1.5-0.5b-chat,bbh_cot,0.7,-1,33,12,6,0.5
38099,qwen1.5-0.5b-chat,bbh_cot,0.7,-1,34,12,4,0.3333333333
38100,qwen1.5-0.5b-chat,bbh_cot,0.7,-1,35,12,6,0.5
38101,qwen1.5-0.5b-chat,bbh_cot,0.7,-1,36,12,1,0.0833333333
38102,qwen1.5-0.5b-chat,bbh_cot,0.7,-1,37,12,3,0.25
38103,qwen1.5-0.5b-chat,bbh_cot,0.7,-1,38,12,1,0.0833333333
38104,qwen1.5-0.5b-chat,bbh_cot,0.7,-1,39,12,7,0.5833333333
38105,qwen1.5-0.5b-chat,bbh_cot,0.7,-1,40,12,3,0.25
38106,qwen1.5-0.5b-chat,bbh_cot,0.7,-1,41,12,3,0.25
38107,qwen1.5-0.5b-chat,bbh_cot,0.7,-1,42,12,9,0.75
38108,qwen1.5-0.5b-chat,bbh_cot,0.7,-1,43,12,4,0.3333333333
38109,qwen1.5-0.5b-chat,bbh_cot,0.7,-1,44,12,3,0.25
38110,qwen1.5-0.5b-chat,bbh_cot,0.7,-1,45,12,2,0.1666666667
38111,qwen1.5-0.5b-chat,bbh_cot,0.7,-1,46,12,4,0.3333333333
38112,qwen1.5-0.5b-chat,bbh_cot,0.7,-1,47,12,5,0.4166666667
38113,qwen1.5-0.5b-chat,bbh_cot,0.7,-1,48,12,4,0.3333333333
38114,qwen1.5-0.5b-chat,bbh_cot,0.7,-1,49,12,7,0.5833333333
38115,qwen1.5-0.5b-chat,bbh_cot,0.7,-1,50,12,6,0.5
