,model,pass1,pass@count,win_rate,count,SE(A),SE_x(A),SE_pred(A)
9,llama-3.1-70B-instruct,0.8336661035171249,0.8336661035171249,0.3695927048793179,12.0,0.004614903294380034,0.004614903294380034,0.0
41,qwen3-14b,0.8251909356197205,0.9038550145906927,0.3618226612977777,11.0,0.004706904110435381,0.0041779436302109615,0.0021678868345956477
7,google_gemma_3_12b_it,0.818499462448779,0.9258178467209338,0.3604416766048579,12.0,0.004776659778464567,0.004004672086845751,0.002603666667613131
28,qwen2-72b-instruct,0.7900783289817234,0.9242819843342036,0.3424845195074077,10.0,0.005047076233464292,0.003950585032507588,0.0031409960852135954
31,qwen2-math-72b-instruct,0.7851942865919213,0.9259714329596068,0.33962777476966255,10.0,0.005089646645775621,0.003981000392824578,0.0031711415690860566
36,qwen2.5-coder-32b-instruct,0.782567961910613,0.9338043311319306,0.3387152982591732,10.0,0.005112095433453041,0.003912024096768452,0.003290833813341905
18,mistralai_mixtral_8x22b_instruct_v0.1,0.7742111640153894,0.9161419136845339,0.32990655824815324,9.0,0.005181519052477567,0.004044547107436995,0.003238792736022338
42,qwen3-32b,0.7624191539125633,0.9053908769774228,0.33112775129427274,9.0,0.005274469238723482,0.004206256828517467,0.003182362211124067
43,qwen3-4b,0.7515742589465674,0.8596221778528644,0.3187974989317317,12.0,0.005355011378569751,0.004734197241373373,0.0025027032074107884
44,qwen3-8b,0.7294787841555522,0.8577791429887882,0.30565951460805285,11.0,0.0055053273876853265,0.004823428546679555,0.0026538965128043144
35,qwen2.5-coder-14b-instruct,0.7135477024921824,0.9219781907541085,0.2991340483930855,11.0,0.0056029121533734275,0.004097968213902163,0.0038209005635147283
24,qwen1.5-72b-chat,0.6829519275072955,0.8818921824604515,0.2817294547880115,10.0,0.005766785243482068,0.0044539594282010505,0.0036630666737559534
10,llama-3.1-8B-instruct,0.6628782061127323,0.6628782061127323,0.27104967223336246,15.0,0.005858500040683881,0.005858500040683881,0.0
23,qwen1.5-32b-chat,0.661734841893964,0.8748272154814929,0.268280272698894,9.0,0.005863363062626046,0.0043868249795729905,0.003890346128914741
8,google_gemma_3_4b_it,0.6440150235269083,0.8431884503148518,0.2707488144017133,11.0,0.005933896768166071,0.004892983970877917,0.00335705804477425
13,mistralai_mathstral_7b_v0.1,0.6221138585991092,0.9090769467055752,0.24822758605722517,12.0,0.006008852905919374,0.004198095408598364,0.004299105509903314
19,mistralai_mixtral_8x7b_instruct_v0.1,0.6187849932289817,0.8381201044386423,0.24594212086090372,11.0,0.006019092713837492,0.004780251633297306,0.0036576866213673936
14,mistralai_ministral_8b_instruct_2410,0.6015972968855783,0.9017048072492705,0.2384814411907237,11.0,0.00606722678527893,0.004055897503901637,0.0045123094200033055
38,qwen2.5-coder-7b-instruct,0.5987943480273844,0.9078482567961911,0.23634296954401912,12.0,0.006074331925356207,0.004126556505714329,0.004457470105850221
