,model,pass1,pass@count,win_rate,count,SE(A),SE_x(A),SE_pred(A)
43,qwen2.5-coder-32b-instruct,0.7607499999999999,0.9275,0.4458446267927544,10.0,0.015083494186527206,0.011553528426295675,0.009696792138525905
13,google_gemma_3_27b_it,0.6897222222237499,0.87,0.3870754725497107,9.0,0.01635563658171404,0.012873512889245481,0.010088583343737266
42,qwen2.5-coder-14b-instruct,0.6611458333341251,0.91,0.37007953791665255,12.0,0.016734396478475494,0.012297979898881832,0.011348996251013186
11,google_gemma_3_12b_it,0.625454545456125,0.85625,0.3374759360894561,11.0,0.01711217245940726,0.01319272667782976,0.010898550779097894
16,llama-3.1-70B-instruct,0.61375,0.61375,0.3294143166204828,13.0,0.017214127101744078,0.01721412710174408,0.0
8,google_gemma_2_27b_it,0.5798749999999999,0.85,0.3062977913564615,10.0,0.017450644127617466,0.013416174211329773,0.011159357060332822
35,qwen2-72b-instruct,0.569125,0.8425,0.29827330240586863,10.0,0.01750791729386308,0.012914626771045948,0.011821149831269941
38,qwen2-math-72b-instruct,0.565625,0.84875,0.2978991784361576,10.0,0.017524745339626193,0.012837744016803428,0.011929334758391927
25,mistralai_mixtral_8x22b_instruct_v0.1,0.5605681818193751,0.8675,0.2958974661946819,11.0,0.017547488971042805,0.012307132304526638,0.012507952015727665
45,qwen2.5-coder-7b-instruct,0.549318181819875,0.85375,0.2878644182987409,11.0,0.01759146515152951,0.012645718312534826,0.012228877893637607
9,google_gemma_2_9b_it,0.47937500000012506,0.77,0.2342276875717927,12.0,0.01766262329663282,0.01381144961651845,0.011009637651127707
3,deepseek_r1_distill_qwen_14b,0.47045454545550003,0.7825,0.23800327559093368,11.0,0.01764677966782321,0.012656509856337598,0.012297218827894698
31,qwen1.5-72b-chat,0.47025,0.795,0.23277649096546327,10.0,0.01764635010065821,0.012570824011155533,0.012384185704177549
0,deepseek_r1_distill_llama_70b,0.468125,0.79125,0.23640860699768654,10.0,0.0176417113815171,0.012888306820175109,0.012046639688219193
7,google_codegemma_1.1_7b_it,0.44673076922987504,0.82625,0.22201831379194595,13.0,0.017577058522871482,0.012088526523288123,0.012760114137898945
20,mistralai_mathstral_7b_v0.1,0.4397727272715,0.7825,0.21240710867189502,11.0,0.017548955653388855,0.012420654681399515,0.012397305425375182
14,google_gemma_3_4b_it,0.43701923076775,0.7975,0.21605229087564112,13.0,0.017536869115769856,0.012537192726797132,0.012262160368988315
21,mistralai_ministral_8b_instruct_2410,0.4330681818155,0.77875,0.20844233772698129,11.0,0.017518566283892822,0.012314401440312553,0.012460163795471327
44,qwen2.5-coder-3b-instruct,0.43302083333175,0.82875,0.21672996628120614,12.0,0.017518340076632076,0.011242240776599112,0.013435187433061947
17,llama-3.1-8B-instruct,0.419,0.42,0.20482854811317694,15.0,0.01744416091418558,0.017436481665093533,0.0005175491695067657
30,qwen1.5-32b-chat,0.41443181817999997,0.7725,0.19811973758332152,11.0,0.017416877097373808,0.01235235047991276,0.012278723282427344
