,model,pass1,pass@count,win_rate,count,SE(A),SE_x(A),SE_pred(A)
43,qwen2.5-coder-32b-instruct,0.824375,0.9225,0.44424327008814773,10.0,0.01345273482302948,0.011359973190347619,0.007206044916133491
48,qwen3-14b,0.7865625000015,0.92375,0.41253911737210935,12.0,0.014486283753644788,0.011611068238095962,0.008662304044617231
42,qwen2.5-coder-14b-instruct,0.7654166666669999,0.895,0.3945008216755204,12.0,0.0149814048513223,0.012734031549468519,0.007892207030759116
13,google_gemma_3_27b_it,0.7595833333335,0.87,0.3893642968780163,9.0,0.015108627214917186,0.012980947242887073,0.007730823047820895
16,llama-3.1-70B-instruct,0.7025,0.7025,0.3457753858344044,13.0,0.016162988198349958,0.016162988198349958,0.0
11,google_gemma_3_12b_it,0.69727272727375,0.83625,0.34251799584418385,11.0,0.016243593778547616,0.013834115365188443,0.008513024780013732
49,qwen3-32b,0.6946590909114999,0.84,0.34385660821329755,11.0,0.016282960354520475,0.013608512633396689,0.008941095112656401
0,deepseek_r1_distill_llama_70b,0.6651250000000001,0.87,0.32337212452598557,10.0,0.01668583734694636,0.012960830999244308,0.010508759573697448
35,qwen2-72b-instruct,0.6409999999999999,0.855,0.3048647718704037,10.0,0.016960210788784437,0.012958646834364217,0.010941765041446566
8,google_gemma_2_27b_it,0.627375,0.8175,0.2915844105649713,10.0,0.017094429259812978,0.014056460971812334,0.009728073635960342
25,mistralai_mixtral_8x22b_instruct_v0.1,0.623295454546625,0.83,0.28827110566476166,11.0,0.01713177715854886,0.013780052034388661,0.0101787992680727
38,qwen2-math-72b-instruct,0.5945,0.82,0.27318510262886764,10.0,0.0173590664351514,0.013371703903309322,0.01106954028956136
50,qwen3-4b,0.5738541666679999,0.775,0.26099481015545223,12.0,0.017483762540775345,0.014310631310160433,0.010044291119181831
45,qwen2.5-coder-7b-instruct,0.561590909091125,0.80625,0.25054525388878296,11.0,0.017543038502399206,0.01384378002416518,0.010775340112459843
14,google_gemma_3_4b_it,0.545288461538625,0.745,0.2399355336927358,13.0,0.01760500480159919,0.014788177726800952,0.009552276879617697
3,deepseek_r1_distill_qwen_14b,0.544772727281375,0.8825,0.2670842257271233,11.0,0.017606653674526983,0.010009651205816577,0.014484513673321216
1,deepseek_r1_distill_llama_8b,0.5232291666681249,0.78625,0.2278160527631533,12.0,0.017658581689079127,0.013281453364975777,0.011637375296167696
44,qwen2.5-coder-3b-instruct,0.501041666666875,0.79125,0.2130405793252313,12.0,0.017677631166623936,0.01338172684535292,0.011551105154899896
9,google_gemma_2_9b_it,0.486041666666875,0.69625,0.19912676427996456,12.0,0.017670779727086233,0.014693613901944404,0.009816015824344819
30,qwen1.5-32b-chat,0.483181818181875,0.755,0.2005298953115015,11.0,0.017667666397982944,0.01350773615220043,0.011388041973620977
31,qwen1.5-72b-chat,0.46575000000000005,0.75625,0.19626673113094067,10.0,0.017636146741139346,0.01274451100528729,0.012190615698606494
26,mistralai_mixtral_8x7b_instruct_v0.1,0.45693181818175005,0.73625,0.18531045292728357,11.0,0.017611967937842372,0.013478081739556216,0.011336786461137432
17,llama-3.1-8B-instruct,0.4425,0.4425,0.17919682781797058,15.0,0.017560386883551285,0.017560386883551285,0.0
21,mistralai_ministral_8b_instruct_2410,0.4423863636355,0.74375,0.17683735225018624,11.0,0.017559921301961292,0.013134952322025197,0.011654349558392302
20,mistralai_mathstral_7b_v0.1,0.4086363636345,0.72375,0.15783281195446813,11.0,0.017380041928533742,0.01319081785282821,0.01131672133663719
36,qwen2-7b-instruct,0.39340909090687504,0.69375,0.15108282069730883,11.0,0.01727130489058011,0.012931296422867375,0.011448997573906368
7,google_codegemma_1.1_7b_it,0.38211538461475003,0.67625,0.14778764307847078,13.0,0.017179319597101034,0.013164881996440643,0.01103697892718531
29,qwen1.5-14b-chat,0.37760416666712504,0.6875,0.14318282156921153,12.0,0.01713983882591779,0.0128405475780099,0.011353167526082888
24,mistralai_mistral_7b_instruct_v0.3,0.34170454545287504,0.62375,0.1243091368899783,11.0,0.01676836862479916,0.012576439190297342,0.011091048806578303
47,qwen3-1.7b,0.339374999999875,0.74375,0.1482881746065598,12.0,0.01674065445909149,0.009385397485534347,0.013862316752881729
46,qwen3-0.6b,0.313653846151625,0.645,0.1198159326300765,13.0,0.016404081464147794,0.011325571428220544,0.011866984474021682
4,deepseek_r1_distill_qwen_32b,0.305,0.75125,0.13366836083305295,10.0,0.01627786073168093,0.008281295859411807,0.014013882006385273
19,llama-3.2-3B-instruct,0.30125,0.30125,0.10476249009675734,18.0,0.016221067994278304,0.016221067994278304,0.0
51,qwen3-8b,0.29520833333262503,0.625,0.1131648599329191,12.0,0.016126855446102893,0.01102208924977562,0.01177238357978023
41,qwen2.5-coder-1.5b-instruct,0.28979166666600004,0.6825,0.10725382485506452,12.0,0.01603950032719777,0.010289256068632168,0.012304339896975115
6,deepseek_v2_lite_chat,0.28056818181550003,0.59625,0.09994989954842257,11.0,0.015884334939187904,0.011369798755464667,0.011092329454201213
12,google_gemma_3_1b_it,0.275104166666375,0.52625,0.10344705491903837,12.0,0.015788518935811173,0.012125033609720294,0.010112412676983727
39,qwen2-math-7b-instruct,0.26302083333125,0.59125,0.09525447632292487,12.0,0.015566023679997116,0.010486844862894132,0.011503355077012185
32,qwen1.5-7b-chat,0.261874999998,0.575,0.09226819587768428,12.0,0.015544150200881339,0.011040831559728894,0.010941692919162638
15,google_gemma_7b_it,0.255312499999375,0.47125,0.09255983397863074,12.0,0.015416226327454628,0.012142871712435449,0.009497931393447743
22,mistralai_mistral_7b_instruct_v0.1,0.23613636363337498,0.54125,0.08259000059660794,11.0,0.015015657719668054,0.010113760852380999,0.011098730475827965
23,mistralai_mistral_7b_instruct_v0.2,0.22727272726887499,0.59,0.08240388839418114,11.0,0.014816369102644654,0.008691807675384494,0.011999052992629475
37,qwen2-math-1.5b-instruct,0.216249999998,0.51375,0.07644741001197462,12.0,0.014555322802108556,0.010308748743865085,0.010275559411021927
40,qwen2.5-coder-0.5b-instruct,0.20480769230524998,0.53125,0.07572477552639957,13.0,0.014268036895358452,0.009020051661750135,0.01105511396895883
5,deepseek_r1_distill_qwen_7b,0.19329545453912503,0.58875,0.074490826782218,11.0,0.01396121062952807,0.007105180086909314,0.012017978955491433
2,deepseek_r1_distill_qwen_1.5b,0.14114583333075,0.51625,0.04941911677251796,12.0,0.012309736342836417,0.005933482845838665,0.01078533217607534
10,google_gemma_2b_it,0.125384615380875,0.37875,0.04607802389951918,13.0,0.011708080201652673,0.007288677183759167,0.009162659380293467
34,qwen2-1.5b-instruct,0.12510416666500002,0.43375,0.04117048041239459,12.0,0.011696853965279292,0.006376790500065616,0.009805760327651437
18,llama-3.2-1B-instruct,0.11375,0.11375,0.03767474804597794,21.0,0.011225581137518004,0.011225581137518004,0.0
27,qwen1.5-0.5b-chat,0.062307692303250006,0.28625,0.02320649806240964,13.0,0.00854586477361226,0.004285363086736407,0.007393745190612395
33,qwen2-0.5b-instruct,0.01836538461175,0.1625,0.006655958293681796,13.0,0.004747117185699719,0.001149425626608247,0.004605859561869191
28,qwen1.5-1.8b-chat,0.011666666664500001,0.10375,0.00377698649306936,12.0,0.003796471314497096,0.001006763742033249,0.003660549304343067
