,model,pass1,pass@count,win_rate,count,SE(A),SE_x(A),SE_pred(A)
31,qwen2.5-coder-14b-instruct,0.4322500000016,0.626,0.30902865652115674,12.0,0.01566556534250254,0.012992163066197689,0.008752921590048975
36,qwen3-14b,0.38016666666699994,0.56,0.2617722864515987,12.0,0.015350569117211978,0.013281473863308415,0.0076969100449828295
33,qwen2.5-coder-7b-instruct,0.3569,0.576,0.24450164030805713,10.0,0.015149996369636529,0.01199908102962704,0.009249023972530532
8,google_gemma_3_12b_it,0.3275454545455,0.424,0.2149478362127795,11.0,0.014841139772675203,0.013721428918744942,0.005655246960116934
38,qwen3-8b,0.3115833333329,0.503,0.20345408883117613,12.0,0.014645789829232802,0.012310653517437337,0.00793391263473872
37,qwen3-4b,0.2889999999991,0.473,0.18531295154092095,12.0,0.014334538708993051,0.011985859092399532,0.007862453930978779
16,mistralai_ministral_8b_instruct_2410,0.24745454545270001,0.495,0.15267890606713824,11.0,0.013646273974513982,0.010251513091477784,0.009007067931505639
32,qwen2.5-coder-3b-instruct,0.23824999999879998,0.483,0.14574997245509388,12.0,0.013471708781716291,0.010099983404671739,0.00891500267665284
26,qwen2-7b-instruct,0.2355454545443,0.429,0.1436589232995292,11.0,0.013418785093585005,0.010828001273231868,0.007925792188463447
15,mistralai_mathstral_7b_v0.1,0.22572727272510001,0.482,0.1365074293706314,11.0,0.013220229614994906,0.009739886044948845,0.008939188492508651
12,llama-3.1-8B-instruct,0.2232666666664,0.226,0.13633899220842663,15.0,0.013168851970543015,0.01308614663109112,0.0014735767953035711
5,google_codegemma_1.1_7b_it,0.20930769230569998,0.439,0.12679023197991127,13.0,0.01286460190784629,0.00974997870843324,0.008392609691416664
22,qwen1.5-14b-chat,0.2049166666656,0.405,0.12290315835391728,12.0,0.01276424014143652,0.010159787445385106,0.0077268716472356745
28,qwen2-math-7b-instruct,0.2018333333338,0.354,0.12182744370434558,6.0,0.012692385074885145,0.00995975094503307,0.007867655305240565
10,google_gemma_3_4b_it,0.19546153846099998,0.294,0.11188285147773785,13.0,0.01254018841339551,0.011231819146623419,0.0055769672852727555
19,mistralai_mistral_7b_instruct_v0.3,0.1816363636348,0.36,0.10475125260901304,11.0,0.012191988969824683,0.009759333739724587,0.007307530362372776
4,deepseek_v2_lite_chat,0.17372727272460003,0.398,0.10169725583774737,11.0,0.011981072883355334,0.00878639020841136,0.00814527191331299
2,deepseek_r1_distill_qwen_14b,0.16090909090629998,0.392,0.09817509940825153,11.0,0.011619696870831357,0.008170851235894797,0.008261630919551208
35,qwen3-1.7b,0.15233333333229998,0.286,0.0808262762770406,12.0,0.011363445291291298,0.009747136849780355,0.005841336501163432
3,deepseek_r1_distill_qwen_7b,0.1476363636342,0.357,0.08417571719301122,11.0,0.011217837036036415,0.008086119113386577,0.0077752521149602955
30,qwen2.5-coder-1.5b-instruct,0.14118181817930003,0.385,0.0813997424918149,11.0,0.011011335631742732,0.007041078406460502,0.00846597467920633
18,mistralai_mistral_7b_instruct_v0.2,0.1357,0.291,0.07553291806499027,10.0,0.010829843489173792,0.00850143510760912,0.00670903205470887
6,google_gemma_2_9b_it,0.10616666666579999,0.226,0.05598782201583531,12.0,0.009741422152584956,0.008306706095825858,0.005088608787521636
14,llama-3.2-3B-instruct,0.101411764706,0.102,0.05183243845954218,17.0,0.009546068231749388,0.009519071005247457,0.0007174300539230698
17,mistralai_mistral_7b_instruct_v0.1,0.09227272727100001,0.247,0.04575782853847648,11.0,0.009151965421316433,0.0064845493418002895,0.006458257575130392
23,qwen1.5-7b-chat,0.0866666666647,0.262,0.045442551751337594,12.0,0.008896940797483693,0.0061819221619740196,0.006398389948824957
34,qwen3-0.6b,0.07415384615229999,0.196,0.03475320647327848,13.0,0.008285834493466605,0.006318566611571429,0.005360109068690279
0,deepseek_r1_distill_llama_8b,0.0684615384591,0.221,0.037121864927942984,13.0,0.007985897332855787,0.0053892287929635544,0.005893281702753209
25,qwen2-1.5b-instruct,0.05776923076630001,0.211,0.026845819376565945,13.0,0.007377800942216454,0.004674935686049744,0.00570761973805794
11,google_gemma_7b_it,0.0475384615378,0.088,0.019391599356369464,13.0,0.006728934255320014,0.0060316764100653095,0.002982857002385594
13,llama-3.2-1B-instruct,0.0458333333333,0.046,0.021589749784084348,12.0,0.00661306577079486,0.006601600089169234,0.0003892494721119014
29,qwen2.5-coder-0.5b-instruct,0.0454615384592,0.173,0.02074210016833342,13.0,0.006587471971866194,0.0038443988303427396,0.005349334969263193
27,qwen2-math-1.5b-instruct,0.04075,0.106,0.022103868164895395,4.0,0.006252154628606046,0.003440848369225242,0.005220153254455275
9,google_gemma_3_1b_it,0.038307692307099996,0.082,0.016515531322726738,13.0,0.006069613910060882,0.005036452525679346,0.003387382318809421
24,qwen2-0.5b-instruct,0.0219999999982,0.097,0.009059605238577503,13.0,0.00463853425106242,0.002736852019021164,0.0037450822453263927
1,deepseek_r1_distill_qwen_1.5b,0.0177692307678,0.091,0.0097079103074563,13.0,0.004177736852139046,0.002211194845098437,0.003544587784599328
21,qwen1.5-1.8b-chat,0.0136666666657,0.079,0.005998350662000014,12.0,0.0036714968184581947,0.001734990466604716,0.0032356911114535323
7,google_gemma_2b_it,0.0038461538459,0.022,0.0016989425552711688,13.0,0.0019573862537817285,0.0009597419114229333,0.0017059473643556307
20,qwen1.5-0.5b-chat,0.0035384615381,0.024,0.0012965669618696803,13.0,0.0018777488724649489,0.0007073187419705107,0.0017394369851479647
