,model,pass1,pass@count,win_rate,count,SE(A),SE_x(A),SE_pred(A)
48,qwen3-32b,0.9416996047423912,1.0,0.40738714677900545,11.0,0.024428569155453533,0.01823552397193929,0.01625486562391712
47,qwen3-14b,0.9094202898565217,0.9891304347826086,0.38209678938318015,12.0,0.029922912962310658,0.02408984970481765,0.017749925671656078
50,qwen3-8b,0.8704710144945651,1.0,0.3628115878695644,12.0,0.03500795366449939,0.025809815082400378,0.02365185542802157
42,qwen2.5-coder-32b-instruct,0.8695652173934783,0.9565217391304348,0.35460168882624704,11.0,0.035111863177457736,0.029126048408832723,0.019609085646170376
34,qwen2-72b-instruct,0.8478260869586955,0.967391304347826,0.3480440725293881,11.0,0.03744808191973806,0.028413470900064717,0.0243933087316704
13,google_gemma_3_27b_it,0.8396739130423913,0.9239130434782609,0.3327258918607563,12.0,0.03825282495940233,0.03373978564466767,0.01802513472977528
4,deepseek_r1_distill_qwen_32b,0.835968379447826,0.9239130434782609,0.34560295106837785,11.0,0.03860688832590258,0.031155144919786368,0.02280019235085139
0,deepseek_r1_distill_llama_70b,0.8310276679858697,0.9239130434782609,0.34374942185706564,11.0,0.03906804028924032,0.032361668278256976,0.02188684989416618
3,deepseek_r1_distill_qwen_14b,0.8063241106728263,0.9239130434782609,0.3271789551036469,11.0,0.04120013972386898,0.03281219860609019,0.024916081872975546
49,qwen3-4b,0.7998188405804347,0.9347826086956522,0.31289481140836817,12.0,0.04171704151222436,0.032818816890802835,0.025753384445944282
11,google_gemma_3_12b_it,0.7845849802391305,0.8695652173913043,0.30652287699214903,11.0,0.04286117491926364,0.037744381239323915,0.020308668107984998
41,qwen2.5-coder-14b-instruct,0.7817028985565218,0.967391304347826,0.3065045416572684,12.0,0.043067625910589734,0.03047026423237566,0.030436547096931162
8,google_gemma_2_27b_it,0.75,0.9456521739130435,0.2941347040640065,10.0,0.04514469490716345,0.03438212987676046,0.02925598440316862
37,qwen2-math-72b-instruct,0.7460474308336956,1.0,0.29920035563983555,11.0,0.04538011700457948,0.026692210699965548,0.03669987612101665
24,mistralai_mixtral_8x22b_instruct_v0.1,0.7401185770793479,0.9347826086956522,0.29716356173624725,11.0,0.04572401482778631,0.03304243578258175,0.031605109864159375
30,qwen1.5-72b-chat,0.7055335968434783,0.9239130434782609,0.2707845204880057,11.0,0.047520698072636515,0.033171851845101505,0.03402712139569428
29,qwen1.5-32b-chat,0.7025691699652173,0.9347826086956522,0.2683965398911451,11.0,0.04765885694632705,0.033143396129881354,0.034247363962912995
9,google_gemma_2_9b_it,0.6986166007902175,0.8913043478260869,0.2634521338337321,11.0,0.04783934231073055,0.036002279225658754,0.031502992925767456
5,deepseek_r1_distill_qwen_7b,0.6729249011858697,0.9239130434782609,0.2584809419823971,11.0,0.048911741560676895,0.03574179878486995,0.03338985298141214
1,deepseek_r1_distill_llama_8b,0.6680602006684783,0.9239130434782609,0.2550007620570906,13.0,0.04909571053512308,0.03429139006104055,0.03513530077614486
14,google_gemma_3_4b_it,0.6605351170597826,0.8695652173913043,0.24826424912965386,13.0,0.049368674739656726,0.037513499605784255,0.03209366593078523
16,llama-3.1-8B-instruct,0.6521739130434783,0.6521739130434783,0.2422916033240652,15.0,0.04965567310610093,0.04965567310610094,0.0
44,qwen2.5-coder-7b-instruct,0.6250000000000001,0.9565217391304348,0.23337253217782172,10.0,0.050473303317953015,0.03235864271000913,0.038735934089577095
46,qwen3-1.7b,0.6032608695684782,0.9021739130434783,0.22082069018079228,12.0,0.051004815716365975,0.03558183583168187,0.03654345611881412
