,model_a,model_b,total,accA,accB,sum(A!=B),sum(A-B),SE_signtest,pvalue,SE_pred(A-B),SE_x(A-B),SE(A-B),"corr(A,B)",benchmark_id
0,deepseek_r1_distill_llama_70b,deepseek_r1_distill_llama_8b,448.0,0.26316964285714284,0.2380952380924107,78.41666666562,11.233333334599997,0.019766336054608008,0.3081682319436807,0.017840506770797643,0.008427393039285759,0.01973080422277507,0.8263397199975132,gpqa_cot
1,deepseek_r1_distill_llama_70b,deepseek_r1_distill_qwen_1.5b,448.0,0.26316964285714284,0.10918898809352677,99.9166666657,68.9833333341,0.022312126037650773,8.222851373157007e-13,0.016880581521616658,0.012647242182655028,0.0210928131678701,0.6560095703791715,gpqa_cot
2,deepseek_r1_distill_llama_70b,deepseek_r1_distill_qwen_14b,448.0,0.26316964285714284,0.28632305194709823,72.44545454422,-10.372727272299997,0.018998860626866045,0.2887842804141049,0.017344885867706526,0.007675612771997892,0.01896734291326602,0.8582432949139832,gpqa_cot
3,deepseek_r1_distill_llama_70b,deepseek_r1_distill_qwen_32b,448.0,0.26316964285714284,0.3145089285714286,70.58,-23.0,0.0187526571246502,0.005582667351023373,0.01728690205646317,0.00685141284072932,0.018595129486611836,0.8813070510953723,gpqa_cot
4,deepseek_r1_distill_llama_70b,deepseek_r1_distill_qwen_7b,448.0,0.26316964285714284,0.24350649350513393,77.49999999879999,8.809090909700004,0.019650465247235155,0.36203179773966154,0.017637510024727864,0.008613709426878162,0.019628493318720762,0.8208745453194112,gpqa_cot
5,deepseek_r1_distill_llama_70b,deepseek_v2_lite_chat,448.0,0.26316964285714284,0.24472402596272325,155.99090908872,8.263636368700006,0.02787864299951952,0.5206333734262375,0.021180125206009856,0.018106947995721986,0.027865018741462105,0.17370552664081315,gpqa_cot
6,deepseek_r1_distill_llama_70b,google_codegemma_1.1_7b_it,448.0,0.26316964285714284,0.2807348901053571,167.25384615296,-7.86923076719998,0.028867557715149716,0.5360050623796352,0.020884474937819527,0.01991195355345967,0.028855626621918075,0.11001013012875353,gpqa_cot
7,deepseek_r1_distill_llama_70b,google_gemma_2_9b_it,448.0,0.26316964285714284,0.3065476190482143,138.9499999999,-19.433333333599997,0.026311842543524314,0.10545402577641196,0.018600784627408277,0.01849658780181553,0.026231907080223868,0.37065173403839025,gpqa_cot
8,deepseek_r1_distill_llama_70b,google_gemma_2b_it,448.0,0.26316964285714284,0.12053571428191964,141.48333333290003,63.90000000170001,0.02655061759033324,1.1042203333800955e-07,0.017844737754466804,0.01846859328356777,0.025681191627327914,0.03434630253146389,gpqa_cot
9,deepseek_r1_distill_llama_70b,google_gemma_3_12b_it,448.0,0.26316964285714284,0.37388392856874997,156.14999999876,-49.5999999988,0.027892855713717638,7.671768672595146e-05,0.020031206127095483,0.018692280445024877,0.02739800297725451,0.34776284585558154,gpqa_cot
10,deepseek_r1_distill_llama_70b,google_gemma_3_1b_it,448.0,0.26316964285714284,0.2455357142854911,162.26666666648,7.900000000099993,0.028433913861479976,0.5824757301133331,0.02092877796625046,0.01922965453054612,0.028421705798997422,0.09406947299547612,gpqa_cot
11,deepseek_r1_distill_llama_70b,google_gemma_3_27b_it,448.0,0.26316964285714284,0.43399234694084815,163.41428571534,-76.52857142949999,0.028534285087925607,1.3043589948660307e-09,0.01960896729953427,0.019093428553048547,0.027369154398055002,0.35950632448109365,gpqa_cot
12,deepseek_r1_distill_llama_70b,google_gemma_3_4b_it,448.0,0.26316964285714284,0.3044299450506696,155.85384615222,-18.484615382699985,0.027866392386857376,0.147997631023415,0.019708998976596507,0.019603345531164308,0.02779812577627675,0.24371002709140205,gpqa_cot
