,model_a,model_b,total,accA,accB,sum(A!=B),sum(A-B),SE_signtest,pvalue,SE_pred(A-B),SE_x(A-B),SE(A-B),"corr(A,B)",benchmark_id
0,deepseek_r1_distill_llama_70b,deepseek_r1_distill_llama_8b,75.0,0.18181818181333337,0.11282051281466667,15.524475523915386,5.174825174900002,0.052534814740390776,0.30175781249999994,0.048547085151143476,0.018428553174484705,0.051927170621719664,0.5583325260105422,gre_physics_cot
1,deepseek_r1_distill_llama_70b,deepseek_r1_distill_qwen_1.5b,75.0,0.18181818181333337,0.039999999992,14.552447551914687,10.6363636366,0.05086356050265313,0.012939453125,0.042994852812793104,0.02168822559236223,0.04815533716774226,0.41108674062267925,gre_physics_cot
2,deepseek_r1_distill_llama_70b,deepseek_r1_distill_qwen_14b,75.0,0.18181818181333337,0.14666666666133335,16.190082643971902,2.6363636364000014,0.053649202365775146,0.803619384765625,0.05163977794808959,0.013967648133793904,0.05349543775797593,0.6592115104359446,gre_physics_cot
3,deepseek_r1_distill_llama_70b,deepseek_r1_distill_qwen_32b,75.0,0.18181818181333337,0.12848484847466668,16.082644627482647,4.000000000400001,0.05347089696894546,0.454498291015625,0.05110496229889733,0.014473898063699116,0.05311507221806321,0.6357668685798636,gre_physics_cot
4,deepseek_r1_distill_llama_70b,deepseek_r1_distill_qwen_7b,75.0,0.18181818181333337,0.06787878787200001,14.710743801238017,8.545454545600002,0.05113944996225824,0.057373046875,0.046082929198498865,0.017846881306609594,0.04941808915656362,0.5749662108427397,gre_physics_cot
5,deepseek_r1_distill_llama_70b,google_codegemma_1.1_7b_it,75.0,0.18181818181333337,0.23384615384533333,24.06993006960979,-3.9020979023999978,0.0654148200260594,0.5412561893463135,0.05141983045325058,0.039987592870170834,0.06513836463553237,0.06818541736421006,gre_physics_cot
6,deepseek_r1_distill_llama_70b,google_gemma_2b_it,75.0,0.18181818181333337,0.171282051276,21.559440558681818,0.7902097903000005,0.06190952618664228,1.0,0.047141770672838486,0.04011187799802017,0.06189757102422154,0.024726802614669134,gre_physics_cot
7,deepseek_r1_distill_llama_70b,google_gemma_3_1b_it,75.0,0.18181818181333337,0.17948717948266665,21.321678321513286,0.17482517480000226,0.06156720385474113,1.0,0.04800414382371695,0.0385493231927394,0.061566615489779666,0.08673024955501507,gre_physics_cot
8,deepseek_r1_distill_llama_70b,google_gemma_3_4b_it,75.0,0.18181818181333337,0.3702564102586667,29.349650349606993,-14.132867133400001,0.07223375677415589,0.008130058646202087,0.050367414632175325,0.04698282964853827,0.06887860871499246,0.14163248626957584,gre_physics_cot
9,deepseek_r1_distill_llama_70b,google_gemma_7b_it,75.0,0.18181818181333337,0.244102564104,20.643356642716086,-4.6713286717999996,0.060579947753495074,0.26317596435546875,0.046533498527940184,0.038116125120504885,0.06015152100696868,0.3645413727790477,gre_physics_cot
10,deepseek_r1_distill_llama_70b,llama-3.1-8B-instruct,75.0,0.18181818181333337,0.37333333333333335,27.4545454542,-14.363636364000001,0.06986278036799472,0.005924612283706665,0.03688913228497773,0.05505414870699302,0.06627041097345245,0.23302016838812142,gre_physics_cot
11,deepseek_r1_distill_llama_70b,llama-3.2-1B-instruct,75.0,0.18181818181333337,0.18666666666666668,21.636363636000002,-0.36363636399999777,0.06201987299567777,1.0,0.03688913228497773,0.04985321582662888,0.062017346033146466,0.06574153566485018,gre_physics_cot
12,deepseek_r1_distill_llama_70b,llama-3.2-3B-instruct,75.0,0.18181818181333337,0.37333333333333335,27.818181818,-14.363636364,0.07032392583909279,0.005924612283706665,0.03688913228497773,0.05563816814496373,0.0667563767385996,0.21183651670828293,gre_physics_cot
13,deepseek_r1_distill_llama_70b,mistralai_mistral_7b_instruct_v0.1,75.0,0.18181818181333337,0.19999999998800003,21.90909090860909,-1.3636363630999995,0.06240953048103982,1.0,0.05462082334851478,0.030118224351694887,0.06237420766124957,0.16140606952122352,gre_physics_cot
14,deepseek_r1_distill_llama_70b,mistralai_mistral_7b_instruct_v0.2,75.0,0.18181818181333337,0.24,20.636363636139997,-4.363636363999998,0.0605696860537275,0.5034446716308594,0.05030100194616374,0.033066011032867645,0.06019594573070261,0.3902144678892023,gre_physics_cot
15,deepseek_r1_distill_llama_70b,mistralai_mixtral_8x7b_instruct_v0.1,75.0,0.18181818181333337,0.2977777777733333,23.78787878720303,-8.696969696999997,0.06503042540869693,0.0931396484375,0.05456161376678256,0.032752071080535544,0.06363700069063602,0.36550133263785317,gre_physics_cot
16,deepseek_r1_distill_llama_70b,qwen1.5-0.5b-chat,75.0,0.18181818181333337,0.19487179486533332,22.82517482439091,-0.9790209788999995,0.06370093294190828,0.8318119049072266,0.057587877510970886,0.027187741059800426,0.06368309744471719,0.021495230538962018,gre_physics_cot
17,deepseek_r1_distill_llama_70b,qwen1.5-1.8b-chat,75.0,0.18181818181333337,0.18303030302133336,20.81818181738182,-0.09090909060000207,0.060835927714368576,1.0,0.055849726221591706,0.02412050148739642,0.06083576670865783,0.25429078409537004,gre_physics_cot
18,deepseek_r1_distill_llama_70b,qwen2-0.5b-instruct,75.0,0.18181818181333337,0.181538461532,21.01398601336154,0.02097902110000227,0.06112135253500791,1.0,0.056549492638724046,0.023194257366119814,0.06112134400079,0.247826123005256,gre_physics_cot
19,deepseek_r1_distill_llama_70b,qwen2-1.5b-instruct,75.0,0.18181818181333337,0.24307692306800002,24.608391607890205,-4.594405594099998,0.06614246120863691,0.5412561893463135,0.05451792450212693,0.03677751991341553,0.06576313604901525,0.06589316895204364,gre_physics_cot
20,deepseek_r1_distill_llama_70b,qwen2-math-1.5b-instruct,75.0,0.18181818181333337,0.37333333333333335,28.59090909075,-14.363636363999998,0.07129395684628537,0.012540951371192932,0.05359029008924748,0.041495401923513434,0.06777748573563068,0.20906903635337273,gre_physics_cot
21,deepseek_r1_distill_llama_70b,qwen2.5-coder-0.5b-instruct,75.0,0.18181818181333337,0.182564102552,22.99300699225315,-0.05594405539999947,0.0639346986190728,1.0,0.05687101506135077,0.029211742754697796,0.06393464060175068,-0.12971716072744743,gre_physics_cot
22,deepseek_r1_distill_llama_70b,qwen2.5-coder-1.5b-instruct,75.0,0.18181818181333337,0.25575757574133334,24.421487602294217,-5.545454544600002,0.06589080205888692,0.30745625495910645,0.061153887689999985,0.022997957083976363,0.06533531977144942,0.2387632519062636,gre_physics_cot
23,deepseek_r1_distill_llama_70b,qwen2.5-coder-3b-instruct,75.0,0.18181818181333337,0.353333333336,27.363636363459094,-12.863636364199998,0.06974701760372948,0.0191572904586792,0.05826214992938909,0.032831931421444374,0.0668761081048908,0.2967756606472885,gre_physics_cot
