,model,benchmark_id,temperature,rl_thinking_length,example_id,count,correct,pass1
4798,qwen1.5-0.5b-chat,gsm8k_cot,0.7,-1,0,13,0,0.0
4799,qwen1.5-0.5b-chat,gsm8k_cot,0.7,-1,1,13,5,0.3846153846
4800,qwen1.5-0.5b-chat,gsm8k_cot,0.7,-1,2,13,0,0.0
4801,qwen1.5-0.5b-chat,gsm8k_cot,0.7,-1,3,13,5,0.3846153846
4802,qwen1.5-0.5b-chat,gsm8k_cot,0.7,-1,4,13,0,0.0
4803,qwen1.5-0.5b-chat,gsm8k_cot,0.7,-1,5,13,1,0.0769230769
4804,qwen1.5-0.5b-chat,gsm8k_cot,0.7,-1,6,13,0,0.0
4805,qwen1.5-0.5b-chat,gsm8k_cot,0.7,-1,7,13,0,0.0
4806,qwen1.5-0.5b-chat,gsm8k_cot,0.7,-1,8,13,0,0.0
4807,qwen1.5-0.5b-chat,gsm8k_cot,0.7,-1,9,13,0,0.0
4808,qwen1.5-0.5b-chat,gsm8k_cot,0.7,-1,10,13,0,0.0
4809,qwen1.5-0.5b-chat,gsm8k_cot,0.7,-1,11,13,0,0.0
4810,qwen1.5-0.5b-chat,gsm8k_cot,0.7,-1,12,13,0,0.0
4811,qwen1.5-0.5b-chat,gsm8k_cot,0.7,-1,13,13,0,0.0
4812,qwen1.5-0.5b-chat,gsm8k_cot,0.7,-1,14,13,0,0.0
4813,qwen1.5-0.5b-chat,gsm8k_cot,0.7,-1,15,13,0,0.0
4814,qwen1.5-0.5b-chat,gsm8k_cot,0.7,-1,16,13,5,0.3846153846
4815,qwen1.5-0.5b-chat,gsm8k_cot,0.7,-1,17,13,0,0.0
4816,qwen1.5-0.5b-chat,gsm8k_cot,0.7,-1,18,13,0,0.0
4817,qwen1.5-0.5b-chat,gsm8k_cot,0.7,-1,19,13,0,0.0
4818,qwen1.5-0.5b-chat,gsm8k_cot,0.7,-1,20,13,0,0.0
4819,qwen1.5-0.5b-chat,gsm8k_cot,0.7,-1,21,13,0,0.0
4820,qwen1.5-0.5b-chat,gsm8k_cot,0.7,-1,22,13,0,0.0
4821,qwen1.5-0.5b-chat,gsm8k_cot,0.7,-1,23,13,1,0.0769230769
4822,qwen1.5-0.5b-chat,gsm8k_cot,0.7,-1,24,13,0,0.0
4823,qwen1.5-0.5b-chat,gsm8k_cot,0.7,-1,25,13,0,0.0
4824,qwen1.5-0.5b-chat,gsm8k_cot,0.7,-1,26,13,1,0.0769230769
4825,qwen1.5-0.5b-chat,gsm8k_cot,0.7,-1,27,13,0,0.0
4826,qwen1.5-0.5b-chat,gsm8k_cot,0.7,-1,28,13,1,0.0769230769
4827,qwen1.5-0.5b-chat,gsm8k_cot,0.7,-1,29,13,0,0.0
4828,qwen1.5-0.5b-chat,gsm8k_cot,0.7,-1,30,13,0,0.0
4829,qwen1.5-0.5b-chat,gsm8k_cot,0.7,-1,31,13,0,0.0
4830,qwen1.5-0.5b-chat,gsm8k_cot,0.7,-1,32,13,2,0.1538461538
4831,qwen1.5-0.5b-chat,gsm8k_cot,0.7,-1,33,13,0,0.0
4832,qwen1.5-0.5b-chat,gsm8k_cot,0.7,-1,34,13,1,0.0769230769
4833,qwen1.5-0.5b-chat,gsm8k_cot,0.7,-1,35,13,0,0.0
4834,qwen1.5-0.5b-chat,gsm8k_cot,0.7,-1,36,13,0,0.0
4835,qwen1.5-0.5b-chat,gsm8k_cot,0.7,-1,37,13,1,0.0769230769
4836,qwen1.5-0.5b-chat,gsm8k_cot,0.7,-1,38,13,1,0.0769230769
4837,qwen1.5-0.5b-chat,gsm8k_cot,0.7,-1,39,13,0,0.0
4838,qwen1.5-0.5b-chat,gsm8k_cot,0.7,-1,40,13,3,0.2307692308
4839,qwen1.5-0.5b-chat,gsm8k_cot,0.7,-1,41,13,0,0.0
4840,qwen1.5-0.5b-chat,gsm8k_cot,0.7,-1,42,13,6,0.4615384615
4841,qwen1.5-0.5b-chat,gsm8k_cot,0.7,-1,43,13,0,0.0
4842,qwen1.5-0.5b-chat,gsm8k_cot,0.7,-1,44,13,0,0.0
