,model,pass1,pass@count,win_rate,count,SE(A),SE_x(A),SE_pred(A)
49,qwen3-32b,0.8214177407126612,0.9001137225170583,0.3130408390119683,10.0,0.003728497055306591,0.0032727051558996945,0.001786362576292248
48,qwen3-14b,0.8120451099317666,0.8711144806671721,0.3059873109746379,10.0,0.003803202948754568,0.0034781071229030773,0.0015385459080009029
51,qwen3-8b,0.7887414708112206,0.8738627748294162,0.2910384265059137,10.0,0.003973809764939873,0.0035176623180547457,0.001848571303485261
16,llama-3.1-70B-instruct,0.7830742987111448,0.7830742987111448,0.290073260983054,12.0,0.004012264903506866,0.004012264903506866,0.0
0,deepseek_r1_distill_llama_70b,0.7811473338402768,0.9025777103866566,0.29083590440617885,9.0,0.004025084545499353,0.003283207905722121,0.002328486943536834
35,qwen2-72b-instruct,0.765163002272119,0.8880780894617134,0.2772076753744653,7.0,0.004126604522020907,0.0033531050934005355,0.002405317258445294
13,google_gemma_3_27b_it,0.751014025777104,0.813874147081122,0.2649782158013379,10.0,0.004209631439884459,0.0039322823213977925,0.0015027150776132164
4,deepseek_r1_distill_qwen_32b,0.7509855951478394,0.9110121304018196,0.2855461505821617,10.0,0.004209792086922367,0.003051660117395171,0.002899951713910748
38,qwen2-math-72b-instruct,0.7485121304018196,0.8876042456406369,0.266154165052995,10.0,0.004223675564839612,0.0034741136555675807,0.00240207609896566
43,qwen2.5-coder-32b-instruct,0.7472232752084913,0.864764973464746,0.26306883593373115,10.0,0.004230837504882513,0.0036933778210160475,0.0020637214598746697
3,deepseek_r1_distill_qwen_14b,0.7448193075588704,0.9086429112964367,0.27473865962619,12.0,0.004244064519691956,0.0031875609430969116,0.0028020597569201207
8,google_gemma_2_27b_it,0.7434609552694654,0.8648597422289613,0.26335137105172335,9.0,0.0042514632371536245,0.0036382154208759476,0.0021996200144955096
11,google_gemma_3_12b_it,0.7421341925703657,0.8315011372251706,0.2590326482778506,11.0,0.0042586378437189714,0.0038629507802485047,0.0017926537739711007
50,qwen3-4b,0.7355635582514595,0.8269522365428355,0.25713205508800413,12.0,0.004293419886724532,0.0038906091375740678,0.0018156582449202446
5,deepseek_r1_distill_qwen_7b,0.7326178291659117,0.9055155420773313,0.26451104713524953,12.0,0.004308613848281925,0.0032730026540517955,0.0028020718977529255
42,qwen2.5-coder-14b-instruct,0.7092210007581502,0.8871304018195603,0.24244923491446935,10.0,0.004420841261182421,0.0035145493303609084,0.002681749514968293
9,google_gemma_2_9b_it,0.7061220621686979,0.8588893100833965,0.2424951230084652,11.0,0.004434615708163082,0.003732245655209052,0.002395027943106283
25,mistralai_mixtral_8x22b_instruct_v0.1,0.6962092494313874,0.9075056861258529,0.24175724901384796,10.0,0.004477027649760731,0.003288158284617499,0.003038386359899512
30,qwen1.5-32b-chat,0.6711050037907506,0.8892153146322972,0.22715281500702256,10.0,0.0045735821087330335,0.0034398043356614243,0.0030141996346771337
31,qwen1.5-72b-chat,0.6690539369639595,0.8559514783927218,0.22461441228384874,7.0,0.004580804776788702,0.003592180299614397,0.0028425363846593795
1,deepseek_r1_distill_llama_8b,0.6684356836009666,0.9063684609552691,0.23533734936748718,12.0,0.004582962610973582,0.0032008422054489657,0.0032799627237818413
39,qwen2-math-7b-instruct,0.6554602602994978,0.8688400303260045,0.21359475869841826,12.0,0.004626211165181044,0.0036444684166622634,0.002849505168410299
21,mistralai_ministral_8b_instruct_2410,0.6463660486608226,0.8756633813495072,0.21013467666001523,11.0,0.004654240851488001,0.0035733305057276867,0.0029821581112502516
14,google_gemma_3_4b_it,0.6433341109234932,0.7921721000758151,0.20448302261128407,13.0,0.004663174703724248,0.0040986467011716946,0.0022240264243997003
36,qwen2-7b-instruct,0.6415134571662054,0.8881728582259287,0.2091110169481882,12.0,0.004668441520687203,0.0034941538680053046,0.0030960030650469027
17,llama-3.1-8B-instruct,0.6413949962092494,0.6413949962092494,0.21216226347706002,16.0,0.004668781669248673,0.004668781669248673,0.0
37,qwen2-math-1.5b-instruct,0.6153177912567949,0.8423995451099318,0.19201025466773766,12.0,0.004736236664144278,0.003788644840474864,0.0028422012616153196
45,qwen2.5-coder-7b-instruct,0.6141568738953658,0.8815390447308568,0.19609628858928135,12.0,0.004738901164191575,0.003470983651762201,0.0032263689704024553
47,qwen3-1.7b,0.5879612079856614,0.7692380591357089,0.18433333120131215,12.0,0.004791549710154023,0.004104910605082154,0.0024715698552056267
20,mistralai_mathstral_7b_v0.1,0.5765494692961809,0.8727255496588324,0.1776458919675434,12.0,0.004810079316964363,0.003478733336146138,0.0033219388030898325
2,deepseek_r1_distill_qwen_1.5b,0.5702473464752938,0.8825815011372252,0.19176584501817553,12.0,0.004819184226653166,0.003183962608582226,0.0036175846524404837
29,qwen1.5-14b-chat,0.5572213798332069,0.8291319181197877,0.16946541322694103,10.0,0.004835482497801156,0.003659575393337858,0.0031606010388875987
19,llama-3.2-3B-instruct,0.5526914329037149,0.5526914329037149,0.16900244826531946,18.0,0.004840359106434275,0.004840359106434275,0.0
6,deepseek_v2_lite_chat,0.4993081880212283,0.8056292645943897,0.1453268260311323,10.0,0.0048674578269499846,0.003617394689139367,0.00325677775725071
44,qwen2.5-coder-3b-instruct,0.4929002400807525,0.8250568612585292,0.14093276074313063,12.0,0.00486697175700658,0.003497495316717143,0.0033845148238767354
26,mistralai_mixtral_8x7b_instruct_v0.1,0.49235216072782406,0.8308377558756633,0.14816120082982528,10.0,0.004866893062453278,0.0033767105551252468,0.003504921384034398
32,qwen1.5-7b-chat,0.4297418843460293,0.7913191811978771,0.12226754248469897,11.0,0.004819169348872435,0.0033341963779877437,0.0034795872924996405
7,google_codegemma_1.1_7b_it,0.3745698956069087,0.7142721758908264,0.09582179650337927,13.0,0.004711817214860575,0.003456788921313174,0.0032018481881161964
24,mistralai_mistral_7b_instruct_v0.3,0.3626010866809515,0.7674374526156179,0.0999318855258646,12.0,0.004680075063333978,0.0031384112026665053,0.003471811878748317
41,qwen2.5-coder-1.5b-instruct,0.34885961586943703,0.740049279757392,0.08956070277391417,12.0,0.004639757404870291,0.0031665265261314633,0.0033912325982383613
