,model_a,model_b,total,accA,accB,sum(A!=B),sum(A-B),SE_signtest,pvalue,SE_pred(A-B),SE_x(A-B),SE(A-B),"corr(A,B)",benchmark_id
0,deepseek_r1_distill_llama_70b,deepseek_r1_distill_llama_8b,180.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,leetcode
1,deepseek_r1_distill_llama_70b,deepseek_r1_distill_qwen_1.5b,180.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,leetcode
2,deepseek_r1_distill_llama_70b,deepseek_r1_distill_qwen_14b,180.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,leetcode
3,deepseek_r1_distill_llama_70b,deepseek_r1_distill_qwen_32b,180.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,leetcode
4,deepseek_r1_distill_llama_70b,deepseek_r1_distill_qwen_7b,180.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,leetcode
5,deepseek_r1_distill_llama_70b,deepseek_v2_lite_chat,180.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,leetcode
6,deepseek_r1_distill_llama_70b,google_codegemma_1.1_7b_it,180.0,0.0,0.06282051281722222,11.3076923071,-11.3076923071,0.01868161794343755,0.0009765625,0.013924455883441513,0.01154070359149635,0.018085306495514136,,leetcode
7,deepseek_r1_distill_llama_70b,google_gemma_2_9b_it,180.0,0.0,0.16818181818055555,30.2727272725,-30.2727272725,0.030567031820842857,1.862645149230957e-09,0.0196347112406349,0.019790956804599965,0.027878376149708867,,leetcode
8,deepseek_r1_distill_llama_70b,google_gemma_2b_it,180.0,0.0,0.006410256409444444,1.1538461537,-1.1538461537,0.005967623949950658,1.0,0.005447670420169173,0.0023889615142568994,0.005948466199230418,,leetcode
9,deepseek_r1_distill_llama_70b,google_gemma_3_12b_it,180.0,0.0,0.06969696969444446,12.545454545000002,-12.545454545000002,0.01967753508931843,0.00048828125,0.011891767799878576,0.014792031762017257,0.018979418986227063,,leetcode
10,deepseek_r1_distill_llama_70b,google_gemma_3_1b_it,180.0,0.0,0.0069444444438888885,1.2499999999,-1.2499999999,0.0062112999372509635,1.0,0.005659796455566551,0.0025057997946261973,0.006189695350273096,,leetcode
11,deepseek_r1_distill_llama_70b,google_gemma_3_4b_it,180.0,0.0,0.17478632478666667,31.4615384616,-31.4615384616,0.031161436707952087,9.313225746154785e-10,0.01320989873126759,0.0250361748327378,0.028307445570834512,,leetcode
12,deepseek_r1_distill_llama_70b,google_gemma_7b_it,180.0,0.0,0.024999999998333328,4.499999999699999,-4.499999999699999,0.011785113019382953,0.125,0.007736784709021239,0.008692458169247956,0.011636866702762833,,leetcode
