,model,pass1,pass@count,win_rate,count,SE(A),SE_x(A),SE_pred(A)
13,google_gemma_3_27b_it,0.8534545454558,0.942,0.42159736554470356,11.0,0.015815807554256205,0.012878232002378927,0.00918100806481352
4,deepseek_r1_distill_qwen_32b,0.839,0.952,0.4134940001113808,10.0,0.016436483808892947,0.011891275980501187,0.011347050522296776
48,qwen3-32b,0.8191111111124,0.928,0.3943547522117166,9.0,0.017214418303539016,0.01349496110824856,0.01068747969430014
0,deepseek_r1_distill_llama_70b,0.8114,0.942,0.3936513794874964,10.0,0.01749457287275114,0.012956940310977057,0.011754904413808637
47,qwen3-14b,0.8096363636375999,0.93,0.3870482177024476,11.0,0.017557068224124662,0.01396995832283679,0.010634420956722134
38,qwen2-math-72b-instruct,0.803714285712,0.914,0.38110604728528974,7.0,0.017762749373587957,0.014543564394529722,0.010198039027728157
50,qwen3-8b,0.7921818181824001,0.934,0.3729626821464012,11.0,0.018145511021937462,0.014633259976039741,0.01072973777502914
11,google_gemma_3_12b_it,0.7895000000027999,0.92,0.3728290418490235,12.0,0.01823127806811025,0.014976267589449449,0.010396677790812008
3,deepseek_r1_distill_qwen_14b,0.7885000000024,0.942,0.3789171786377899,12.0,0.0182629543063884,0.0131974188248761,0.012623931097642935
49,qwen3-4b,0.7723333333337999,0.922,0.36019771998380345,12.0,0.018752842747450395,0.015010179037928744,0.011241158141398389
5,deepseek_r1_distill_qwen_7b,0.7706666666701999,0.93,0.364526058629028,12.0,0.018801040160248736,0.01393579505582833,0.012620329919191351
42,qwen2.5-coder-32b-instruct,0.7607999999999999,0.902,0.3496623622824492,10.0,0.01907791183541847,0.01513678550933307,0.011612254063894935
41,qwen2.5-coder-14b-instruct,0.7134545454558,0.89,0.31657351672621237,11.0,0.02022064079223296,0.016171853929325793,0.01213859359798595
1,deepseek_r1_distill_llama_8b,0.7041666666690001,0.912,0.3268737623496965,12.0,0.020411563988154822,0.014520470572991379,0.014345308598333823
37,qwen2-math-1.5b-instruct,0.68,0.68,0.296912724164964,1.0,0.020861447696648477,,
2,deepseek_r1_distill_qwen_1.5b,0.6758333333356,0.896,0.3005485460841975,12.0,0.02093239780283624,0.015295527338767882,0.01429028065522815
46,qwen3-1.7b,0.6668333333345999,0.87,0.29094189714061913,12.0,0.021079214353882655,0.01645010653620505,0.013180564203570208
16,llama-3.1-70B-instruct,0.6556666666674,0.658,0.28674692921950484,12.0,0.021249371232517,0.02114071231469314,0.0021461734796383615
14,google_gemma_3_4b_it,0.650833333335,0.848,0.29105778247739633,12.0,0.02131897303131897,0.017216495056322008,0.012573420739231846
35,qwen2-72b-instruct,0.6447999999999999,0.836,0.2723961422800964,10.0,0.021402474623276626,0.017148350357979045,0.012806248474865698
44,qwen2.5-coder-7b-instruct,0.6103333333345999,0.868,0.25749850821431497,12.0,0.021809472967280804,0.01605346433567932,0.014762770537186583
8,google_gemma_2_27b_it,0.523,0.742,0.20384426850921522,10.0,0.022337009647667702,0.018570221084066585,0.012413254564733975
36,qwen2-7b-instruct,0.5166666666672,0.802,0.2014069739332791,12.0,0.022348253722481518,0.016765464744080038,0.014777132210257109
21,mistralai_ministral_8b_instruct_2410,0.4934999999986,0.792,0.18893084842832533,12.0,0.022358790217718926,0.016715272910941673,0.014849752574124022
25,mistralai_mixtral_8x22b_instruct_v0.1,0.48133333333299994,0.778,0.18401682223824595,9.0,0.022345091432148724,0.016501609349485774,0.01506651917292279
17,llama-3.1-8B-instruct,0.4764615384622,0.586,0.1799020162233423,13.0,0.022335887751707275,0.019623888754879998,0.010667467918534443
20,mistralai_mathstral_7b_v0.1,0.470499999999,0.766,0.17710471163927743,12.0,0.022321727083715586,0.016707432115195254,0.014802743398303717
43,qwen2.5-coder-3b-instruct,0.4689090909108,0.8,0.18372654545400466,11.0,0.022317408244328332,0.015372743938946902,0.016178549209727843
9,google_gemma_2_9b_it,0.4638181818178,0.678,0.16949574958311425,11.0,0.02230205712632941,0.01900430399292861,0.01167125450885286
19,llama-3.2-3B-instruct,0.4412222222206,0.556,0.16621427657440055,18.0,0.02220563770033707,0.01932535719324268,0.01093713468108601
31,qwen1.5-72b-chat,0.4034,0.73,0.147213266644382,10.0,0.02193939105809457,0.015984825860101755,0.015027382414187183
30,qwen1.5-32b-chat,0.389111111111,0.704,0.14057489039232265,9.0,0.021803837016496113,0.01580669962701359,0.01501850710101688
45,qwen3-0.6b,0.3369230769196,0.714,0.12212326792606498,13.0,0.021137924077762667,0.014852834952396131,0.015040117293230744
