,model_a,model_b,total,accA,accB,sum(A!=B),sum(A-B),SE_signtest,pvalue,SE_pred(A-B),SE_x(A-B),SE(A-B),"corr(A,B)",benchmark_id
0,deepseek_r1_distill_llama_70b,deepseek_r1_distill_llama_8b,500.0,0.8114,0.7041666666690001,108.76666666496,53.616666665500006,0.020858251764226073,1.9074127708662278e-07,0.018546311130766897,0.00825245627350289,0.020299475143591404,0.7630723399546069,math500_cot
1,deepseek_r1_distill_llama_70b,deepseek_r1_distill_qwen_1.5b,500.0,0.8114,0.6758333333356,113.44999999862,67.78333333219999,0.021302582002998605,1.4884906475803411e-10,0.01850378066728434,0.00864022330675089,0.020421639448719265,0.7660731155591041,math500_cot
2,deepseek_r1_distill_llama_70b,deepseek_r1_distill_qwen_14b,500.0,0.8114,0.7885000000024,83.84999999906,11.449999998800003,0.01831392912501957,0.272268945972048,0.017249388804703027,0.006067105229073062,0.018285272215541663,0.8269798312693022,math500_cot
3,deepseek_r1_distill_llama_70b,deepseek_r1_distill_qwen_32b,500.0,0.8114,0.839,73.66,-13.799999999999997,0.017165080832900265,0.10064367752023572,0.016338094544142326,0.005116947006435249,0.017120644847668565,0.8454399556928418,math500_cot
4,deepseek_r1_distill_llama_70b,deepseek_r1_distill_qwen_7b,500.0,0.8114,0.7706666666701999,86.23333333214,20.366666664900002,0.018572380927833674,0.03985362856053515,0.017246753463971535,0.006645631602280753,0.018482827825856276,0.8187078111305234,math500_cot
5,deepseek_r1_distill_llama_70b,google_gemma_3_12b_it,500.0,0.8114,0.7895000000027999,93.31666666556,10.9499999986,0.019320110420549878,0.29973169689703033,0.015692950228167468,0.011226698526225059,0.019295270059330225,0.64630268320022,math500_cot
6,deepseek_r1_distill_llama_70b,google_gemma_3_27b_it,500.0,0.8114,0.8534545454558,83.15454545392,-21.027272727899998,0.018237822836503267,0.027534178012294533,0.014915384234539473,0.010325324467770658,0.018140590184133814,0.6395599433011097,math500_cot
7,deepseek_r1_distill_llama_70b,google_gemma_3_4b_it,500.0,0.8114,0.650833333335,144.48333333226,80.2833333325,0.024040244036386983,1.3287018911424091e-11,0.01721245731624405,0.015169091521172197,0.02294275538032042,0.4937083895661677,math500_cot
8,deepseek_r1_distill_llama_70b,llama-3.1-70B-instruct,500.0,0.8114,0.6556666666674,130.83333333312,77.8666666663,0.022876479915679333,3.025786266290503e-12,0.011949219153671958,0.01822206774019441,0.02179053902753933,0.4959262367561203,math500_cot
9,deepseek_r1_distill_llama_70b,qwen2-72b-instruct,500.0,0.8114,0.6447999999999999,129.33999999999997,83.3,0.022745549015137007,6.260285489771429e-14,0.017383261425226792,0.012636103126447735,0.02149066960334182,0.636342241801143,math500_cot
