,model_a,model_b,total,accA,accB,sum(A!=B),sum(A-B),SE_signtest,pvalue,SE_pred(A-B),SE_x(A-B),SE(A-B),"corr(A,B)",benchmark_id
0,deepseek_r1_distill_llama_70b,deepseek_r1_distill_qwen_14b,500.0,0.663272727273,0.570545454547,102.69421487353058,46.363636363,0.020267630830813017,5.907834472853354e-06,0.016809088450294545,0.010537300923381324,0.019838854938723612,0.7989861539448314,mbpp
1,deepseek_r1_distill_llama_70b,google_gemma_3_12b_it,500.0,0.663272727273,0.6930909090903999,89.80165289155619,-14.909090908699994,0.0189527468079491,0.137367971355652,0.012845940285111797,0.013871199725466271,0.01890577593309605,0.7134826294454734,mbpp
2,deepseek_r1_distill_llama_70b,google_gemma_3_4b_it,500.0,0.663272727273,0.5995384615394,101.83916083775384,31.8671328668,0.020183078143608705,0.002653786057228506,0.013312804708987413,0.01489972351670244,0.019980804040223534,0.6932172070330602,mbpp
3,deepseek_r1_distill_llama_70b,llama-3.1-8B-instruct,500.0,0.663272727273,0.562,106.8181818177,50.63636363650001,0.020670576365229877,1.2512242751511518e-06,0.010583005243957881,0.017168587498642314,0.020168301780075018,0.6458455135385546,mbpp
4,deepseek_r1_distill_llama_70b,llama-3.2-3B-instruct,500.0,0.663272727273,0.488,121.9999999995,87.6363636365,0.022090722034329255,1.9786177986614588e-16,0.010583005243957881,0.017735809599590573,0.020653303419709133,0.6261123674723178,mbpp
5,deepseek_r1_distill_llama_70b,mistralai_mathstral_7b_v0.1,500.0,0.663272727273,0.4870909090912,132.4380165268471,88.09090909089997,0.023016343456496047,2.8607361972411904e-15,0.017358257138675795,0.012898174642146449,0.02162572542116677,0.7120961258293633,mbpp
6,deepseek_r1_distill_llama_70b,mistralai_ministral_8b_instruct_2410,500.0,0.663272727273,0.5201818181818001,116.09090908943637,71.5454545456,0.021549098272497284,3.5971461923291597e-11,0.01671363080032778,0.01200283988475177,0.02057701678642104,0.7550860808177913,mbpp
7,deepseek_r1_distill_llama_70b,mistralai_mixtral_8x22b_instruct_v0.1,500.0,0.663272727273,0.638727272729,91.47933884084298,12.272727272000004,0.01912896639558374,0.29446978456853373,0.015851584376923106,0.010650806045887607,0.019097444768497923,0.7996006704546614,mbpp
8,deepseek_r1_distill_llama_70b,mistralai_mixtral_8x7b_instruct_v0.1,500.0,0.663272727273,0.5209999999993999,123.89393939288333,71.1363636368,0.022261530890114754,7.967669169699199e-11,0.01598294545581872,0.014129336653789541,0.021332901811985095,0.6890818999424148,mbpp
9,deepseek_r1_distill_llama_70b,qwen2-7b-instruct,500.0,0.663272727273,0.510727272727,126.15702479215703,76.272727273,0.022463928845342887,5.027865916342063e-12,0.01653426194804539,0.013590660381186587,0.021402987356052346,0.6997882307315001,mbpp
