,model,benchmark_id,temperature,rl_thinking_length,example_id,count,correct,pass1
7731,qwen1.5-0.5b-chat,mgsm_cot,0.7,-1,0,13,0,0.0
7732,qwen1.5-0.5b-chat,mgsm_cot,0.7,-1,1,13,0,0.0
7733,qwen1.5-0.5b-chat,mgsm_cot,0.7,-1,2,13,0,0.0
7734,qwen1.5-0.5b-chat,mgsm_cot,0.7,-1,3,13,0,0.0
7735,qwen1.5-0.5b-chat,mgsm_cot,0.7,-1,4,13,3,0.2307692308
7736,qwen1.5-0.5b-chat,mgsm_cot,0.7,-1,5,13,0,0.0
7737,qwen1.5-0.5b-chat,mgsm_cot,0.7,-1,6,13,0,0.0
7738,qwen1.5-0.5b-chat,mgsm_cot,0.7,-1,7,13,0,0.0
7739,qwen1.5-0.5b-chat,mgsm_cot,0.7,-1,8,13,0,0.0
7740,qwen1.5-0.5b-chat,mgsm_cot,0.7,-1,9,13,0,0.0
7741,qwen1.5-0.5b-chat,mgsm_cot,0.7,-1,10,13,0,0.0
7742,qwen1.5-0.5b-chat,mgsm_cot,0.7,-1,11,13,0,0.0
7743,qwen1.5-0.5b-chat,mgsm_cot,0.7,-1,12,13,0,0.0
7744,qwen1.5-0.5b-chat,mgsm_cot,0.7,-1,13,13,0,0.0
7745,qwen1.5-0.5b-chat,mgsm_cot,0.7,-1,14,13,0,0.0
7746,qwen1.5-0.5b-chat,mgsm_cot,0.7,-1,15,13,0,0.0
7747,qwen1.5-0.5b-chat,mgsm_cot,0.7,-1,16,13,0,0.0
7748,qwen1.5-0.5b-chat,mgsm_cot,0.7,-1,17,13,0,0.0
7749,qwen1.5-0.5b-chat,mgsm_cot,0.7,-1,18,13,0,0.0
7750,qwen1.5-0.5b-chat,mgsm_cot,0.7,-1,19,13,0,0.0
7751,qwen1.5-0.5b-chat,mgsm_cot,0.7,-1,20,13,1,0.0769230769
7752,qwen1.5-0.5b-chat,mgsm_cot,0.7,-1,21,13,0,0.0
7753,qwen1.5-0.5b-chat,mgsm_cot,0.7,-1,22,13,0,0.0
7754,qwen1.5-0.5b-chat,mgsm_cot,0.7,-1,23,13,0,0.0
7755,qwen1.5-0.5b-chat,mgsm_cot,0.7,-1,24,13,0,0.0
7756,qwen1.5-0.5b-chat,mgsm_cot,0.7,-1,25,13,0,0.0
7757,qwen1.5-0.5b-chat,mgsm_cot,0.7,-1,26,13,0,0.0
7758,qwen1.5-0.5b-chat,mgsm_cot,0.7,-1,27,13,0,0.0
7759,qwen1.5-0.5b-chat,mgsm_cot,0.7,-1,28,13,0,0.0
7760,qwen1.5-0.5b-chat,mgsm_cot,0.7,-1,29,13,0,0.0
7761,qwen1.5-0.5b-chat,mgsm_cot,0.7,-1,30,13,0,0.0
7762,qwen1.5-0.5b-chat,mgsm_cot,0.7,-1,31,13,0,0.0
7763,qwen1.5-0.5b-chat,mgsm_cot,0.7,-1,32,13,0,0.0
7764,qwen1.5-0.5b-chat,mgsm_cot,0.7,-1,33,13,0,0.0
7765,qwen1.5-0.5b-chat,mgsm_cot,0.7,-1,34,13,0,0.0
7766,qwen1.5-0.5b-chat,mgsm_cot,0.7,-1,35,13,0,0.0
7767,qwen1.5-0.5b-chat,mgsm_cot,0.7,-1,36,13,0,0.0
7768,qwen1.5-0.5b-chat,mgsm_cot,0.7,-1,37,13,0,0.0
7769,qwen1.5-0.5b-chat,mgsm_cot,0.7,-1,38,13,0,0.0
7770,qwen1.5-0.5b-chat,mgsm_cot,0.7,-1,39,13,0,0.0
7771,qwen1.5-0.5b-chat,mgsm_cot,0.7,-1,40,13,0,0.0
7772,qwen1.5-0.5b-chat,mgsm_cot,0.7,-1,41,13,0,0.0
7773,qwen1.5-0.5b-chat,mgsm_cot,0.7,-1,42,13,0,0.0
7774,qwen1.5-0.5b-chat,mgsm_cot,0.7,-1,43,13,0,0.0
7775,qwen1.5-0.5b-chat,mgsm_cot,0.7,-1,44,13,0,0.0
7776,qwen1.5-0.5b-chat,mgsm_cot,0.7,-1,45,13,0,0.0
7777,qwen1.5-0.5b-chat,mgsm_cot,0.7,-1,46,13,0,0.0
7778,qwen1.5-0.5b-chat,mgsm_cot,0.7,-1,47,13,0,0.0
7779,qwen1.5-0.5b-chat,mgsm_cot,0.7,-1,48,13,1,0.0769230769
7780,qwen1.5-0.5b-chat,mgsm_cot,0.7,-1,49,13,0,0.0
7781,qwen1.5-0.5b-chat,mgsm_cot,0.7,-1,50,13,0,0.0
7782,qwen1.5-0.5b-chat,mgsm_cot,0.7,-1,51,13,0,0.0
7783,qwen1.5-0.5b-chat,mgsm_cot,0.7,-1,52,13,1,0.0769230769
7784,qwen1.5-0.5b-chat,mgsm_cot,0.7,-1,53,13,0,0.0
7785,qwen1.5-0.5b-chat,mgsm_cot,0.7,-1,54,13,0,0.0
7786,qwen1.5-0.5b-chat,mgsm_cot,0.7,-1,55,13,0,0.0
7787,qwen1.5-0.5b-chat,mgsm_cot,0.7,-1,56,13,0,0.0
