,model,pass1,pass@count,win_rate,count,SE(A),SE_x(A),SE_pred(A)
49,qwen3-32b,0.8944207792210181,0.956,0.4064475846110345,11.0,0.005859948771686873,,
13,google_gemma_3_27b_it,0.8922545454545454,0.9418181818181818,0.4054006998412087,10.0,0.005912586622705773,0.005190476829444936,0.002831542133536863
0,deepseek_r1_distill_llama_70b,0.866909090909091,0.956,0.38982999407619073,10.909090909090908,0.0064773091778008735,,
11,google_gemma_3_12b_it,0.8627768595051636,0.9370909090909091,0.3829251162989794,12.0,0.0065614009093837656,,
16,llama-3.1-70B-instruct,0.8607272727272727,0.8607272727272727,0.38622642635217824,12.0,0.0066023641691509765,0.006602364169150976,0.0
48,qwen3-14b,0.8438347107446544,0.9341818181818182,0.3673968025361995,11.0,0.0069223666916384445,0.005820738254070647,0.0037467541674233115
8,google_gemma_2_27b_it,0.8393818181818182,0.9290909090909091,0.3680911483886446,10.0,0.00700181746503534,0.005792994143532967,0.0039327683210007
35,qwen2-72b-instruct,0.8059636363636364,0.9109090909090909,0.33988088038405395,10.909090909090908,0.007541069449672131,,
51,qwen3-8b,0.8045950413231636,0.9156363636363636,0.33917335117447395,11.0,0.007561189439892503,0.006357788377235135,0.004092690153949567
4,deepseek_r1_distill_qwen_32b,0.8031454545454546,0.9207272727272727,0.339000247091957,10.909090909090908,0.007582343926120368,,
43,qwen2.5-coder-32b-instruct,0.7943272727272725,0.9112727272727272,0.3321633878027368,10.909090909090908,0.007707645708914935,,
38,qwen2-math-72b-instruct,0.7904,0.9225454545454546,0.3322826353488992,10.909090909090908,0.00776162682104022,,
9,google_gemma_2_9b_it,0.7903140495884001,0.9127272727272727,0.3342909118286892,11.0,0.0077627959492483686,0.006375914499042381,0.004428172902063338
3,deepseek_r1_distill_qwen_14b,0.7462252964438182,0.9003636363636364,0.3014641943946322,13.0,0.008298370122360914,,
50,qwen3-4b,0.7443030303029091,0.8716363636363637,0.298052380771338,12.0,0.00831900407904731,0.007161177485410264,0.0042335996373841145
14,google_gemma_3_4b_it,0.7180979020994909,0.9007272727272727,0.2905293414970463,13.0,0.008579750051451507,0.006785040691832779,0.0052512221201883565
25,mistralai_mixtral_8x22b_instruct_v0.1,0.7168323232342546,0.8952727272727272,0.2853956276984709,10.0,0.008591406776559,,
42,qwen2.5-coder-14b-instruct,0.6879008264479636,0.8803636363636363,0.26737531216855503,11.0,0.00883573898581874,0.006856933799317143,0.005572498748075172
31,qwen1.5-72b-chat,0.6529090909090909,0.8603636363636363,0.2463046213743589,10.909090909090908,0.009077821322869679,,
21,mistralai_ministral_8b_instruct_2410,0.6457355371908,0.8796363636363637,0.24172268161066227,12.0,0.009120629029338013,,
17,llama-3.1-8B-instruct,0.6421818181818182,0.6421818181818182,0.2505234754621269,15.0,0.009141003139272314,0.009141003139272316,0.0
5,deepseek_r1_distill_qwen_7b,0.6167957839274181,0.8410909090909091,0.2263552374068375,13.0,0.009270848639330408,,
20,mistralai_mathstral_7b_v0.1,0.600963109354691,0.8992727272727272,0.22617695788709094,13.0,0.009338219619089025,,
30,qwen1.5-32b-chat,0.5915252525270546,0.8207272727272727,0.21680297864154335,10.0,0.00937352418735119,,
45,qwen2.5-coder-7b-instruct,0.5730645586309454,0.8298181818181818,0.20080608884714418,13.0,0.00943227669946638,,
36,qwen2-7b-instruct,0.5698708827418182,0.8407272727272728,0.20314006378187568,13.0,0.009441071968120397,,
47,qwen3-1.7b,0.5464545454547637,0.7654545454545455,0.18886404964085968,12.0,0.009493384782077395,0.007793839804208947,0.005420370441852372
19,llama-3.2-3B-instruct,0.5105454545454545,0.5105454545454545,0.18252512513477648,18.0,0.009532505029699549,0.009532505029699547,0.0
