,model,pass1,pass@count,win_rate,count,SE(A),SE_x(A),SE_pred(A)
42,qwen3-32b,0.6999205821521277,0.85546875,0.3644840351516118,9.0,0.0041780494424567575,0.003492523568552457,0.0022931149702356485
41,qwen3-14b,0.6733377659574469,0.816156914893617,0.3439100412308616,10.0,0.004275599712321859,0.003703565044256374,0.0021364360189270915
9,llama-3.1-70B-instruct,0.6387134308510638,0.6387134308510638,0.32278062504540184,12.0,0.004379353685790473,0.004379353685790473,0.0
44,qwen3-8b,0.6261552526595744,0.7821642287234043,0.31019145384147995,10.0,0.004410803839532844,0.0038088864310839767,0.002224314426051776
28,qwen2-72b-instruct,0.6222365359042553,0.781000664893617,0.30976486551354815,4.0,0.004419964879432437,0.0034903325881357767,0.0027117647316117982
36,qwen2.5-coder-32b-instruct,0.6049077460106383,0.7998670212765957,0.29472716029972373,8.0,0.004456818199084198,0.0036252821699481867,0.002592403835814143
7,google_gemma_3_12b_it,0.5867761726301447,0.7756815159574468,0.28177613950484887,11.0,0.00448910745693901,0.0038298319359856814,0.00234189519450585
0,deepseek_r1_distill_llama_70b,0.5770260786062167,0.7582280585106383,0.2755850972016614,9.0,0.004503867494512253,0.0037422089729108013,0.0025061313635142833
43,qwen3-4b,0.5757676499033993,0.7437666223404256,0.2777852216602772,11.0,0.004505641255952005,0.0039029854169968675,0.002251112605367966
18,mistralai_mixtral_8x22b_instruct_v0.1,0.5180075354597324,0.8218085106382979,0.23976492094975851,9.0,0.0045553237853582194,0.003354705054932001,0.0030817087441651625
4,deepseek_r1_distill_qwen_32b,0.5151574966755319,0.734624335106383,0.23644987075404172,8.0,0.004556185975443721,0.0036186021597354964,0.002768492198361349
31,qwen2-math-72b-instruct,0.5106486868351063,0.7984541223404256,0.23803658558839424,8.0,0.004557247098787334,0.003359065036535955,0.0030798024611535186
3,deepseek_r1_distill_qwen_14b,0.4814453124999501,0.7547373670212766,0.2148656472593593,12.0,0.004555141285620319,0.003518972017647984,0.002892429440967091
24,qwen1.5-72b-chat,0.4748171542553192,0.4748171542553192,0.21726572928620308,1.0,0.004552495810914519,,
35,qwen2.5-coder-14b-instruct,0.4737616356382979,0.8193982712765957,0.21277273636086605,10.0,0.0045520003442382,0.0032760198120811317,0.003160443216511982
23,qwen1.5-32b-chat,0.46051155252659576,0.7495844414893617,0.20638512764818842,8.0,0.0045440429508797385,0.003351523845477761,0.0030684872906097897
10,llama-3.1-8B-instruct,0.4496343085106383,0.4496343085106383,0.19947442067141202,15.0,0.004535096011975085,0.004535096011975085,0.0
29,qwen2-7b-instruct,0.4422373670207779,0.78125,0.19543270060545173,12.0,0.004527761204892865,0.0033557308288956825,0.0030396861898117017
