,benchmark_id,size,models,total_pairs,close_pairs,no_solve,tau-,SE(A),SE_x(A),SE_pred(A),SE(A-B),SE_x(A-B),SE_pred(A-B),SE_signtest,"corr(A,B)",sum(A!=B),sig_noise
0,gsm8k_cot,1319,52,1306,471,2,13,"{'count': 50.0, 'mean': 0.0106229768, 'std': 0.0023399886, 'min': 0.0064520591, '25%': 0.0091667121, '50%': 0.0108547355, '75%': 0.0128531892, 'max': 0.013767208}","{'count': 50.0, 'mean': 0.0080929151, 'std': 0.0018663406, 'min': 0.0052542484, '25%': 0.0066453324, '50%': 0.0078809252, '75%': 0.0094633128, 'max': 0.0133637494}","{'count': 50.0, 'mean': 0.006455073, 'std': 0.0027915446, 'min': 0.0, '25%': 0.0046670136, '50%': 0.0070397879, '75%': 0.0086073381, 'max': 0.0103112654}","{'count': 471.0, 'mean': 0.0113600001, 'std': 0.0025951809, 'min': 0.0062133359, '25%': 0.0086866733, '50%': 0.0116792524, '75%': 0.0131970449, 'max': 0.0161735284}","{'count': 471.0, 'mean': 0.0063717784, 'std': 0.0018635408, 'min': 0.0033334539, '25%': 0.0050874568, '50%': 0.0059296376, '75%': 0.0071332129, 'max': 0.0124577092}","{'count': 471.0, 'mean': 0.0091760638, 'std': 0.0027424655, 'min': 0.0026989215, '25%': 0.0068873869, '50%': 0.0094978093, '75%': 0.0111187634, 'max': 0.0147298388}","{'count': 471.0, 'mean': 0.0113961522, 'std': 0.0026094328, 'min': 0.0062145229, '25%': 0.0087254515, '50%': 0.01175818, '75%': 0.0132368894, 'max': 0.0161833465}","{'count': 471.0, 'mean': 0.6064230579, 'std': 0.0886754838, 'min': 0.3223344419, '25%': 0.5493048313, '50%': 0.6231927331, '75%': 0.6705861976, 'max': 0.7881330173}","{'count': 471.0, 'mean': 237.7678599277, 'std': 101.8567761298, 'min': 67.1900826427, '25%': 132.4545454518, '50%': 240.5303030228, '75%': 304.8333333279, 'max': 455.6446280899}",
1,gmat_cot,92,51,1090,1074,0,1,"{'count': 50.0, 'mean': 0.0455750559, 'std': 0.0066489748, 'min': 0.0244285692, '25%': 0.0413293652, '50%': 0.0477490996, '75%': 0.0508719376, 'max': 0.0520491702}","{'count': 50.0, 'mean': 0.0330929458, 'std': 0.0073343656, 'min': 0.0113336461, '25%': 0.0300321924, '50%': 0.0342638829, '75%': 0.0363488761, 'max': 0.0516832632}","{'count': 50.0, 'mean': 0.0294193685, 'std': 0.0104515913, 'min': 0.0, '25%': 0.0233827185, '50%': 0.0333388447, '75%': 0.0366082001, 'max': 0.0411000679}","{'count': 1074.0, 'mean': 0.0576768058, 'std': 0.0080804861, 'min': 0.0292112806, '25%': 0.0531135724, '50%': 0.0600945456, '75%': 0.0637254642, 'max': 0.0696659697}","{'count': 1074.0, 'mean': 0.0339208261, 'std': 0.0080259943, 'min': 0.0088440854, '25%': 0.0284822668, '50%': 0.0331009101, '75%': 0.0372905729, 'max': 0.0566249688}","{'count': 1074.0, 'mean': 0.0456502632, 'std': 0.0096440867, 'min': 0.0, '25%': 0.0387359341, '50%': 0.0471903372, '75%': 0.0541124425, 'max': 0.0600201891}","{'count': 1074.0, 'mean': 0.058847382, 'std': 0.0081686499, 'min': 0.0294044981, '25%': 0.0543478261, '50%': 0.0613272133, '75%': 0.0647278168, 'max': 0.0718743447}","{'count': 1074.0, 'mean': 0.4282221619, 'std': 0.1510626358, 'min': -0.1451266382, '25%': 0.3342145428, '50%': 0.424841263, '75%': 0.5354278445, 'max': 0.8816519318}","{'count': 1074.0, 'mean': 29.8752036973, 'std': 7.573951631, 'min': 7.3181818179, '25%': 24.9999999997, '50%': 31.8333333334, '75%': 35.4615384617, 'max': 43.7243589743}",
2,aime2024_cot,30,52,2188,222,6,0,"{'count': 16.0, 'mean': 0.0727875017, 'std': 0.0100199061, 'min': 0.056744228, '25%': 0.0673944234, '50%': 0.0723083375, '75%': 0.0801233347, 'max': 0.0885640299}","{'count': 16.0, 'mean': 0.05829773, 'std': 0.0090841034, 'min': 0.0461729839, '25%': 0.0524916753, '50%': 0.0556397654, '75%': 0.0664935037, 'max': 0.0730296743}","{'count': 16.0, 'mean': 0.0417644097, 'std': 0.0135406313, 'min': 0.0, '25%': 0.038166078, '50%': 0.0435956292, '75%': 0.0472827103, 'max': 0.0586032715}","{'count': 222.0, 'mean': 0.0807759491, 'std': 0.0087691757, 'min': 0.0560716766, '25%': 0.0746805529, '50%': 0.081435172, '75%': 0.0873412753, 'max': 0.0987044948}","{'count': 222.0, 'mean': 0.0473101556, 'std': 0.0145552393, 'min': 0.0150286828, '25%': 0.0382969846, '50%': 0.0454583294, '75%': 0.0566061261, 'max': 0.0869190672}","{'count': 222.0, 'mean': 0.0635756307, 'std': 0.0105258128, 'min': 0.0344509606, '25%': 0.0586068066, '50%': 0.0635906522, '75%': 0.0706094014, 'max': 0.0852802865}","{'count': 222.0, 'mean': 0.0825962284, 'std': 0.0094053021, 'min': 0.0561083608, '25%': 0.0765780486, '50%': 0.0818555844, '75%': 0.0886803182, 'max': 0.10396192}","{'count': 222.0, 'mean': 0.6106028586, 'std': 0.1567793726, 'min': 0.0785120998, '25%': 0.5103088408, '50%': 0.6252122865, '75%': 0.7249621677, 'max': 0.9368576133}","{'count': 222.0, 'mean': 6.2191783695, 'std': 1.3898410029, 'min': 2.8333333334, '25%': 5.2777777779, '50%': 6.0303030302, '75%': 7.0777972026, 'max': 9.7272727272}",
3,mbpp,500,35,640,362,15,12,"{'count': 34.0, 'mean': 0.0209263197, 'std': 0.0019879178, 'min': 0.0148590624, '25%': 0.0206788607, '50%': 0.0214989312, '75%': 0.0221868253, 'max': 0.0223555329}","{'count': 34.0, 'mean': 0.0177347828, 'std': 0.0027698264, 'min': 0.0102412647, '25%': 0.0169826574, '50%': 0.0182920522, '75%': 0.0191014079, 'max': 0.022354239}","{'count': 34.0, 'mean': 0.0102939846, 'std': 0.0037722726, 'min': 0.0, '25%': 0.0096651472, '50%': 0.0114602237, '75%': 0.0126951247, 'max': 0.0139917331}","{'count': 362.0, 'mean': 0.0214151409, 'std': 0.0012455106, 'min': 0.0166074655, '25%': 0.0208429741, '50%': 0.0215601607, '75%': 0.0222853095, 'max': 0.0239078738}","{'count': 362.0, 'mean': 0.0135929872, 'std': 0.0028955998, 'min': 0.0052683676, '25%': 0.0114329349, '50%': 0.0132472573, '75%': 0.0159806068, 'max': 0.0200414375}","{'count': 362.0, 'mean': 0.0160424872, 'std': 0.0031128772, 'min': 0.0, '25%': 0.013758964, '50%': 0.0169267584, '75%': 0.018358055, 'max': 0.0206664712}","{'count': 362.0, 'mean': 0.021595027, 'std': 0.0012790982, 'min': 0.0166081958, '25%': 0.0210244058, '50%': 0.0217384908, '75%': 0.0224957909, 'max': 0.0241600722}","{'count': 362.0, 'mean': 0.6924561378, 'std': 0.0757028602, 'min': 0.505578694, '25%': 0.641235345, '50%': 0.7012787924, '75%': 0.7438977999, 'max': 0.8777750514}","{'count': 362.0, 'mean': 116.9941907047, 'std': 13.4702877963, 'min': 68.9580419555, '25%': 110.5064102553, '50%': 118.1404958655, '75%': 126.5151515119, 'max': 145.9272727259}",
4,ap_cot,711,52,1262,651,0,22,"{'count': 52.0, 'mean': 0.0160129552, 'std': 0.0024878544, 'min': 0.0098579957, '25%': 0.014426888, '50%': 0.016945603, '75%': 0.0182242719, 'max': 0.018747475}","{'count': 52.0, 'mean': 0.0122029637, 'std': 0.0023890864, 'min': 0.0057180392, '25%': 0.0106395368, '50%': 0.0123107691, '75%': 0.0136945047, 'max': 0.018346313}","{'count': 52.0, 'mean': 0.0096509585, 'std': 0.003889048, 'min': 0.0, '25%': 0.0072138262, '50%': 0.010787043, '75%': 0.0126885513, 'max': 0.0150767451}","{'count': 651.0, 'mean': 0.0186364959, 'std': 0.0037928024, 'min': 0.0099767821, '25%': 0.0151320896, '50%': 0.019320126, '75%': 0.0222518762, 'max': 0.0251051407}","{'count': 651.0, 'mean': 0.0114571119, 'std': 0.0027244958, 'min': 0.005423275, '25%': 0.009396129, '50%': 0.0109291291, '75%': 0.0131328274, 'max': 0.0201279429}","{'count': 651.0, 'mean': 0.0144162213, 'std': 0.0038988789, 'min': 0.0056002485, '25%': 0.0109948799, '50%': 0.0143168799, '75%': 0.0180828478, 'max': 0.0218211003}","{'count': 651.0, 'mean': 0.0187442738, 'std': 0.0038146286, 'min': 0.0100124137, '25%': 0.0151804256, '50%': 0.0193543545, '75%': 0.0223064424, 'max': 0.0251739872}","{'count': 651.0, 'mean': 0.5053461595, 'std': 0.1424003879, 'min': -0.020635906, '25%': 0.4330967909, '50%': 0.5287756714, '75%': 0.602989009, 'max': 0.7904622063}","{'count': 651.0, 'mean': 184.9584252758, 'std': 70.6660536525, 'min': 50.6776859489, '25%': 116.4949494931, '50%': 189.3636363619, '75%': 251.5358126674, 'max': 320.3636363608}",
5,leetcode,180,51,2376,14,52,0,"{'count': 5.0, 'mean': 0.0302772702, 'std': 0.0035732954, 'min': 0.0278783761, '25%': 0.0283074456, '50%': 0.028795499, '75%': 0.0298761733, 'max': 0.0365288568}","{'count': 5.0, 'mean': 0.0250645038, 'std': 0.0050527601, 'min': 0.0198293474, '25%': 0.02065743, '50%': 0.0253028306, '75%': 0.0274192361, 'max': 0.0321136747}","{'count': 5.0, 'mean': 0.0159928379, 'std': 0.0053036924, 'min': 0.008795809, '25%': 0.0126916602, '50%': 0.0174088849, '75%': 0.0187209626, 'max': 0.0223468726}","{'count': 14.0, 'mean': 0.0336761142, 'std': 0.0032415468, 'min': 0.0292563786, '25%': 0.03172256, '50%': 0.0336038272, '75%': 0.0348317981, 'max': 0.0400089987}","{'count': 14.0, 'mean': 0.0220582126, 'std': 0.0043334849, 'min': 0.0137413838, '25%': 0.0203188213, '50%': 0.022348984, '75%': 0.0257135395, 'max': 0.0270463439}","{'count': 14.0, 'mean': 0.024862145, 'std': 0.004835178, 'min': 0.0160434984, '25%': 0.0221483637, '50%': 0.0252539522, '75%': 0.0290696148, 'max': 0.0306658046}","{'count': 14.0, 'mean': 0.034088021, 'std': 0.0040806627, 'min': 0.0292760894, '25%': 0.0317275274, '50%': 0.0336650165, '75%': 0.0348869051, 'max': 0.0426911099}","{'count': 14.0, 'mean': 0.5381313662, 'std': 0.0854708506, 'min': 0.4511641282, '25%': 0.4697153926, '50%': 0.4964830905, '75%': 0.630601647, 'max': 0.6624597665}","{'count': 14.0, 'mean': 38.1495604394, 'std': 9.6477210719, 'min': 27.7696969696, '25%': 32.622377622, '50%': 36.7199999999, '75%': 39.4493006993, 'max': 59.05}",
6,human_eval_plus,164,51,1150,1051,10,2,"{'count': 45.0, 'mean': 0.0361889095, 'std': 0.003021703, 'min': 0.0270387826, '25%': 0.0345980155, '50%': 0.0371984656, '75%': 0.0386231041, 'max': 0.0390434405}","{'count': 45.0, 'mean': 0.0285185873, 'std': 0.0049123962, 'min': 0.0136040265, '25%': 0.0247480611, '50%': 0.0286430835, '75%': 0.0320482289, 'max': 0.0386231041}","{'count': 45.0, 'mean': 0.0204444029, 'std': 0.0080705365, 'min': 0.0, '25%': 0.0157274264, '50%': 0.0216541297, '75%': 0.0272240114, 'max': 0.0308833443}","{'count': 1051.0, 'mean': 0.0427830008, 'std': 0.0045542279, 'min': 0.0274702879, '25%': 0.0400668771, '50%': 0.0435306421, '75%': 0.0461826836, 'max': 0.0509806409}","{'count': 1051.0, 'mean': 0.026076579, 'std': 0.0057614603, 'min': 0.0094480451, '25%': 0.0221031647, '50%': 0.0257053837, '75%': 0.0303035992, 'max': 0.0401447702}","{'count': 1051.0, 'mean': 0.0328718269, 'std': 0.0075797932, 'min': 0.0, '25%': 0.027832832, '50%': 0.0339414851, '75%': 0.0385921064, 'max': 0.0459216308}","{'count': 1051.0, 'mean': 0.0436500317, 'std': 0.0046239447, 'min': 0.0274749293, '25%': 0.0412513186, '50%': 0.0443874528, '75%': 0.046935379, 'max': 0.052100287}","{'count': 1051.0, 'mean': 0.5311724569, 'std': 0.1142430611, 'min': 0.196580208, '25%': 0.4540434004, '50%': 0.5312440109, '75%': 0.6136824923, 'max': 0.8597540551}","{'count': 1051.0, 'mean': 51.8201409708, 'std': 10.4258287872, 'min': 20.3030303021, '25%': 45.7681623925, '50%': 52.9917355362, '75%': 59.2499999997, 'max': 73.0075757576}",
7,gre_physics_cot,75,51,1222,1160,0,4,"{'count': 49.0, 'mean': 0.0517851107, 'std': 0.005838125, 'min': 0.0365316383, '25%': 0.0475946562, '50%': 0.0539178257, '75%': 0.0567492731, 'max': 0.0576985211}","{'count': 49.0, 'mean': 0.0385765787, 'std': 0.0108984284, 'min': 0.0161370419, '25%': 0.0331259294, '50%': 0.0420691181, '75%': 0.0461528051, 'max': 0.0558516554}","{'count': 49.0, 'mean': 0.0317739805, 'std': 0.010153811, 'min': 0.0, '25%': 0.0295128094, '50%': 0.0333333333, '75%': 0.0384072231, 'max': 0.046505033}","{'count': 1160.0, 'mean': 0.0662533615, 'std': 0.0055094702, 'min': 0.0421219081, '25%': 0.0627976489, '50%': 0.067055526, '75%': 0.070537026, 'max': 0.0788352538}","{'count': 1160.0, 'mean': 0.0422823626, 'std': 0.01124353, 'min': 0.0017141983, '25%': 0.0355191885, '50%': 0.0428230799, '75%': 0.0503770891, 'max': 0.0705533683}","{'count': 1160.0, 'mean': 0.0493122403, 'std': 0.0086079412, 'min': 0.0, '25%': 0.0444213984, '50%': 0.050387945, '75%': 0.0553645179, 'max': 0.0666181642}","{'count': 1160.0, 'mean': 0.0674985815, 'std': 0.0058259769, 'min': 0.0421344116, '25%': 0.0637191328, '50%': 0.068381962, '75%': 0.0719076286, 'max': 0.0793152513}","{'count': 1160.0, 'mean': 0.3231317495, 'std': 0.1986238351, 'min': -0.2889849243, '25%': 0.2014654251, '50%': 0.3373879052, '75%': 0.4617182602, 'max': 0.9023175148}","{'count': 1160.0, 'mean': 25.8185883072, 'std': 4.2934142203, 'min': 9.986111111, '25%': 22.8382194719, '50%': 26.3030303027, '75%': 29.0852272722, 'max': 35.3863636366}",
8,cruxeval_output_cot,800,52,1244,578,20,9,"{'count': 49.0, 'mean': 0.016010948, 'std': 0.0017134731, 'min': 0.0112255811, '25%': 0.0151086272, '50%': 0.0162829604, '75%': 0.0173800419, 'max': 0.0176776312}","{'count': 49.0, 'mean': 0.0124365841, 'std': 0.0023292904, 'min': 0.0067007339, '25%': 0.0110000536, '50%': 0.0132342592, '75%': 0.0138729657, 'max': 0.0175603869}","{'count': 49.0, 'mean': 0.0094550778, 'std': 0.0031701159, 'min': 0.0, '25%': 0.0091775308, '50%': 0.0104758734, '75%': 0.011013624, 'max': 0.0138104419}","{'count': 578.0, 'mean': 0.0179901798, 'std': 0.0014286653, 'min': 0.0128078222, '25%': 0.0172752269, '50%': 0.0178758882, '75%': 0.0184966636, 'max': 0.0212911863}","{'count': 578.0, 'mean': 0.0092983607, 'std': 0.0021565979, 'min': 0.0045294857, '25%': 0.0077702869, '50%': 0.0090183735, '75%': 0.0102571523, 'max': 0.0153044601}","{'count': 578.0, 'mean': 0.0151455064, 'std': 0.0022813117, 'min': 0.007730823, '25%': 0.0143586166, '50%': 0.0156628968, '75%': 0.016469741, 'max': 0.0197117405}","{'count': 578.0, 'mean': 0.0180933051, 'std': 0.0014424454, 'min': 0.0129763407, '25%': 0.0173756915, '50%': 0.0179930606, '75%': 0.0186245805, 'max': 0.0214658459}","{'count': 578.0, 'mean': 0.6454794157, 'std': 0.1111753317, 'min': 0.28366367, '25%': 0.5818095549, '50%': 0.6496557562, '75%': 0.7212792798, 'max': 0.8611973885}","{'count': 578.0, 'mean': 210.844632012, 'std': 33.3734186666, 'min': 107.7666666657, '25%': 193.2253787858, '50%': 207.2003030285, '75%': 222.0, 'max': 294.9008264405}",
9,gpqa_cot,448,51,2232,1763,0,96,"{'count': 49.0, 'mean': 0.0209060991, 'std': 0.0021952993, 'min': 0.0147347646, '25%': 0.0202777082, '50%': 0.0213569871, '75%': 0.0220794767, 'max': 0.0236211434}","{'count': 49.0, 'mean': 0.014284615, 'std': 0.0042506973, 'min': 0.0050198312, '25%': 0.0118330136, '50%': 0.0148827915, '75%': 0.0174288447, 'max': 0.0234375}","{'count': 49.0, 'mean': 0.0141093699, 'std': 0.0046258447, 'min': 0.0, '25%': 0.0134112919, '50%': 0.015378712, '75%': 0.0167141814, 'max': 0.0187374104}","{'count': 1763.0, 'mean': 0.0275475104, 'std': 0.0014895427, 'min': 0.0185951295, '25%': 0.0270577506, '50%': 0.0277881578, '75%': 0.0284181986, 'max': 0.0304793205}","{'count': 1763.0, 'mean': 0.0157206059, 'std': 0.0041837588, 'min': 0.0033701197, '25%': 0.0128996422, '50%': 0.0156845408, '75%': 0.0181578347, 'max': 0.0285409882}","{'count': 1763.0, 'mean': 0.0220323286, 'std': 0.0033217774, 'min': 0.0, '25%': 0.0208068642, '50%': 0.0227677908, '75%': 0.024309347, 'max': 0.0273180275}","{'count': 1763.0, 'mean': 0.027768947, 'std': 0.0015309434, 'min': 0.0187526571, '25%': 0.0272620104, '50%': 0.0279323322, '75%': 0.0286372891, 'max': 0.0313662966}","{'count': 1763.0, 'mean': 0.3078145571, 'std': 0.163971533, 'min': -0.1250432269, '25%': 0.2061945512, '50%': 0.302977495, '75%': 0.4215722992, 'max': 0.8964780652}","{'count': 1763.0, 'mean': 155.2358885057, 'std': 16.056706969, 'min': 70.58, '25%': 149.1666666662, '50%': 156.5923076894, '75%': 164.5962121189, 'max': 197.4615384616}",
