,model_a,model_b,total,accA,accB,sum(A!=B),sum(A-B),SE_signtest,pvalue,SE_pred(A-B),SE_x(A-B),SE(A-B),"corr(A,B)",benchmark_id
0,deepseek_r1_distill_llama_70b,deepseek_r1_distill_qwen_14b,30.0,0.38333333333333336,0.21666666666666667,7.0,5.0,0.08819171036881969,0.125,0.08713548411865624,0.0,0.08277591347639632,0.7479058830330755,aime2024_cot
1,deepseek_r1_distill_llama_70b,deepseek_r1_distill_qwen_32b,30.0,0.38333333333333336,0.35,7.0,1.0,0.08819171036881969,1.0,0.09428090415820634,0.0,0.08798147953257403,0.70103442097233,aime2024_cot
2,deepseek_r1_distill_llama_70b,deepseek_r1_distill_qwen_7b,30.0,0.38333333333333336,0.25833333333333336,7.0,3.75,0.08819171036881969,0.453125,0.08766518798921945,0.0,0.08518770125108698,0.722589812516912,aime2024_cot
3,deepseek_r1_distill_llama_70b,google_gemma_3_12b_it,30.0,0.38333333333333336,0.19166666666666668,8.75,5.75,0.09860132971832694,0.0703125,0.07993052538854532,0.04592163211707849,0.09218288987217306,0.48268240302858867,aime2024_cot
4,deepseek_r1_distill_llama_70b,google_gemma_3_27b_it,30.0,0.38333333333333336,0.27777777777999996,7.5,3.1666666666000007,0.09128709291752768,0.453125,0.09329364235315565,0.0,0.08922967082979877,0.6932721962474264,aime2024_cot
5,deepseek_r1_distill_llama_70b,qwen3-14b,30.0,0.38333333333333336,0.23333333333333334,7.833333333300001,4.5,0.09329364235394964,0.125,0.08050764858948128,0.03836954811122044,0.08918353942105384,0.5691374483133135,aime2024_cot
6,deepseek_r1_distill_llama_70b,qwen3-32b,30.0,0.38333333333333336,0.2555555555533333,8.166666666700001,3.8333333334000006,0.09525793444176243,0.2890625,0.08923543557810885,0.023809082891825022,0.09235710796124254,0.587158249760909,aime2024_cot
7,deepseek_r1_distill_llama_8b,deepseek_r1_distill_qwen_1.5b,30.0,0.13333333333333333,0.13333333333333333,4.5,0.0,0.07071067811865475,1.0,0.057735026918962574,0.040824829046386304,0.07071067811865477,0.5203148031833273,aime2024_cot
8,deepseek_r1_distill_llama_8b,deepseek_r1_distill_qwen_14b,30.0,0.13333333333333333,0.21666666666666667,5.5,-2.5,0.07817359599705716,0.375,0.06666666666666667,0.037883838047182934,0.07667874301023478,0.6001268623812541,aime2024_cot
9,deepseek_r1_distill_llama_8b,deepseek_r1_distill_qwen_7b,30.0,0.13333333333333333,0.25833333333333336,6.25,-3.75,0.08333333333333334,0.21875,0.06735753140545633,0.043434710475310806,0.08014743359029727,0.5812198241947582,aime2024_cot
