,model,pass1,pass@count,win_rate,count,SE(A),SE_x(A),SE_pred(A)
0,deepseek_r1_distill_llama_70b,0.26666666666666666,0.3333333333333333,0.22218954248362746,2.0,0.08073734277593311,0.065546138683345,0.04714045207910317
3,deepseek_r1_distill_qwen_14b,0.23333333333333334,0.26666666666666666,0.1905473856208987,4.0,0.07722022379508468,0.07353507603455241,0.023570226039551584
5,deepseek_r1_distill_qwen_7b,0.23333333333333334,0.26666666666666666,0.19058006535949346,4.0,0.07722022379508468,0.07353507603455241,0.023570226039551584
4,deepseek_r1_distill_qwen_32b,0.21666666666666667,0.23333333333333334,0.1783660130718954,2.0,0.07521573909367246,0.07142724866500076,0.023570226039551584
51,qwen3-8b,0.21111111111,0.3,0.17115468409494441,3.0,0.07450798835827409,0.060824242514292345,0.043033148290117694
13,google_gemma_3_27b_it,0.21111111110999997,0.26666666666666666,0.17327160493727306,3.0,0.07450798835827409,0.06663579532159238,0.0333333333325
48,qwen3-14b,0.18888888888999997,0.26666666666666666,0.15579883805475236,3.0,0.07146324849037236,0.0570538695711119,0.043033148290117694
43,qwen2.5-coder-32b-instruct,0.18333333333333332,0.23333333333333334,0.15442265795202614,2.0,0.07064517492894147,0.05765478361830936,0.040824829046386304
11,google_gemma_3_12b_it,0.175,0.26666666666666666,0.1404084967320098,4.0,0.06937218462755804,0.0600732577466571,0.034694433324435545
49,qwen3-32b,0.16666666667,0.23333333333333334,0.1374328249844604,3.0,0.0680413817445215,0.052704627671054126,0.043033148290117694
1,deepseek_r1_distill_llama_8b,0.15833333333333333,0.16666666666666666,0.12400599128535948,4.0,0.06664930329440533,0.0645317894672994,0.016666666666666666
50,qwen3-4b,0.14166666666666666,0.23333333333333334,0.11020152505444446,4.0,0.06366506687926073,0.051617359985298074,0.03726779962499649
39,qwen2-math-7b-instruct,0.13333333333333333,0.2,0.10674291938993465,2.0,0.06206328908341752,0.04036867138796657,0.04714045207910317
2,deepseek_r1_distill_qwen_1.5b,0.11666666666666667,0.16666666666666666,0.09508169934640523,4.0,0.058610452866235264,0.05366218062685889,0.023570226039551584
14,google_gemma_3_4b_it,0.10666666666666667,0.16666666666666666,0.08299564270147713,5.0,0.056358639943635054,0.044204910067480896,0.03496029493900505
47,qwen3-1.7b,0.075,0.16666666666666666,0.060694444444411765,4.0,0.048088460154178364,0.027173993558656885,0.03967460238079361
38,qwen2-math-72b-instruct,0.05,0.1,0.03942265795205882,2.0,0.039791121287711076,0.0,0.040824829046386304
19,llama-3.2-3B-instruct,0.03333333333333333,0.03333333333333333,0.03300653594771242,10.0,0.032773069341672505,0.032773069341672505,0.0
8,google_gemma_2_27b_it,0.03333333333333333,0.06666666666666667,0.02633442265797386,2.0,0.032773069341672505,0.0,0.03333333333333333
42,qwen2.5-coder-14b-instruct,0.03333333333333333,0.03333333333333333,0.02376906318078431,3.0,0.032773069341672505,0.0327730693416725,0.0
37,qwen2-math-1.5b-instruct,0.03333333333333333,0.03333333333333333,0.024183006535947713,3.0,0.032773069341672505,0.0327730693416725,0.0
45,qwen2.5-coder-7b-instruct,0.016666666666666666,0.06666666666666667,0.013104575163398694,4.0,0.023372982186625143,0.0,0.023570226039551584
7,google_codegemma_1.1_7b_it,0.013333333333333334,0.03333333333333333,0.013333333333333334,5.0,0.020940833758915107,0.010255982897079402,0.018257418583505537
26,mistralai_mixtral_8x7b_instruct_v0.1,0.011111111109999999,0.03333333333333333,0.011111111109999999,3.0,0.0191377936031484,0.0,0.0192450089725064
25,mistralai_mixtral_8x22b_instruct_v0.1,0.011111111109999999,0.03333333333333333,0.009796659403508351,3.0,0.0191377936031484,0.0,0.0192450089725064
21,mistralai_ministral_8b_instruct_2410,0.008333333333333333,0.03333333333333333,0.00821078431372549,4.0,0.01659707694032184,0.0,0.016666666666666666
9,google_gemma_2_9b_it,0.008333333333333333,0.03333333333333333,0.00821078431372549,4.0,0.01659707694032184,0.0,0.016666666666666666
46,qwen3-0.6b,0.006666666666666667,0.03333333333333333,0.005860566448797386,5.0,0.014857346355952691,0.0,0.0149071198499986
18,llama-3.2-1B-instruct,0.0,0.0,0.0,13.0,0.0,0.0,0.0
17,llama-3.1-8B-instruct,0.0,0.0,0.0,7.0,0.0,0.0,0.0
16,llama-3.1-70B-instruct,0.0,0.0,0.0,4.0,0.0,0.0,0.0
15,google_gemma_7b_it,0.0,0.0,0.0,4.0,0.0,0.0,0.0
12,google_gemma_3_1b_it,0.0,0.0,0.0,4.0,0.0,0.0,0.0
10,google_gemma_2b_it,0.0,0.0,0.0,4.0,0.0,0.0,0.0
6,deepseek_v2_lite_chat,0.0,0.0,0.0,3.0,0.0,0.0,0.0
20,mistralai_mathstral_7b_v0.1,0.0,0.0,0.0,4.0,0.0,0.0,0.0
35,qwen2-72b-instruct,0.0,0.0,0.0,2.0,0.0,0.0,0.0
34,qwen2-1.5b-instruct,0.0,0.0,0.0,4.0,0.0,0.0,0.0
33,qwen2-0.5b-instruct,0.0,0.0,0.0,5.0,0.0,0.0,0.0
32,qwen1.5-7b-chat,0.0,0.0,0.0,3.0,0.0,0.0,0.0
31,qwen1.5-72b-chat,0.0,0.0,0.0,2.0,0.0,0.0,0.0
30,qwen1.5-32b-chat,0.0,0.0,0.0,3.0,0.0,0.0,0.0
29,qwen1.5-14b-chat,0.0,0.0,0.0,3.0,0.0,0.0,0.0
28,qwen1.5-1.8b-chat,0.0,0.0,0.0,3.0,0.0,0.0,0.0
27,qwen1.5-0.5b-chat,0.0,0.0,0.0,5.0,0.0,0.0,0.0
24,mistralai_mistral_7b_instruct_v0.3,0.0,0.0,0.0,4.0,0.0,0.0,0.0
22,mistralai_mistral_7b_instruct_v0.1,0.0,0.0,0.0,4.0,0.0,0.0,0.0
23,mistralai_mistral_7b_instruct_v0.2,0.0,0.0,0.0,4.0,0.0,0.0,0.0
40,qwen2.5-coder-0.5b-instruct,0.0,0.0,0.0,5.0,0.0,0.0,0.0
41,qwen2.5-coder-1.5b-instruct,0.0,0.0,0.0,4.0,0.0,0.0,0.0
36,qwen2-7b-instruct,0.0,0.0,0.0,4.0,0.0,0.0,0.0
44,qwen2.5-coder-3b-instruct,0.0,0.0,0.0,4.0,0.0,0.0,0.0
