,model,pass1,pass@count,win_rate,count,SE(A),SE_x(A),SE_pred(A)
49,qwen3-32b,0.919831223628692,0.9423347398030942,0.33733487769215553,2.0,0.010184082314224028,0.008489111706749219,0.005625879043600563
48,qwen3-14b,0.8973277074551337,0.9282700421940928,0.32110792433889224,3.0,0.011383278684033847,0.009829025746630212,0.005741888754622459
13,google_gemma_3_27b_it,0.8874824191293952,0.9254571026722925,0.3155733585829847,3.0,0.01185100747410872,0.009911896461787327,0.006496205560339714
35,qwen2-72b-instruct,0.8874824191279888,0.919831223628692,0.31585151172502,2.0,0.011851007474173397,0.009744165578509238,0.006745192015910998
16,llama-3.1-70B-instruct,0.8776371308016878,0.8776371308016878,0.312288225182102,4.0,0.01228987653787748,0.012289876537877482,0.0
0,deepseek_r1_distill_llama_70b,0.8741209563994374,0.9184247538677919,0.3104487833575301,2.0,0.01244020918137915,0.009614928655179163,0.007893791955219286
51,qwen3-8b,0.8706047819974685,0.929676511954993,0.30457562302918756,3.0,0.012587365328297632,0.010086356784232775,0.00753041650436355
43,qwen2.5-coder-32b-instruct,0.8579465541490858,0.9043600562587905,0.2963052590936405,2.0,0.013092458419727226,0.01030210076913985,0.008079553651952221
11,google_gemma_3_12b_it,0.8499765588374121,0.8931082981715893,0.29041731397961706,3.0,0.013392086179619952,0.011767160108496762,0.006393896716664277
8,google_gemma_2_27b_it,0.8389592123769339,0.8846694796061885,0.2867603393911007,2.0,0.013784898295577714,0.01121308665795508,0.008018111287617005
50,qwen3-4b,0.8340365682137834,0.9029535864978903,0.2876382339150844,4.0,0.013952882894342399,0.011816269828283873,0.007420155551497616
4,deepseek_r1_distill_qwen_32b,0.8284106891701828,0.8860759493670886,0.28554002003973966,2.0,0.014139471004233425,0.010900467676121574,0.009005800615236073
3,deepseek_r1_distill_qwen_14b,0.8241912798874824,0.9184247538677919,0.27944520283485147,4.0,0.01427576576258451,0.011076689188868378,0.009005800615236073
31,qwen1.5-72b-chat,0.819268635724332,0.8874824191279888,0.27521028101799316,2.0,0.014430956832771562,0.010597730487018484,0.009794928464967734
9,google_gemma_2_9b_it,0.8012189404604783,0.870604781997187,0.26446656799946794,3.0,0.014966777550634082,0.012414086471939428,0.008360316221135112
42,qwen2.5-coder-14b-instruct,0.7909048288814347,0.909985935302391,0.2616691027095134,3.0,0.015251034897603143,0.01057953103715027,0.010984879993968211
30,qwen1.5-32b-chat,0.790436005625879,0.8565400843881856,0.2599229659044207,2.0,0.015263596997421568,0.011832328826074405,0.009642270886640006
25,mistralai_mixtral_8x22b_instruct_v0.1,0.7742616033755274,0.870604781997187,0.2696512782326591,2.0,0.01567876240639488,0.010503324387821986,0.011640608549400034
38,qwen2-math-72b-instruct,0.7510548523206751,0.8677918424753868,0.2522285191618516,2.0,0.016216340716246017,0.009938946603854906,0.012813549337755694
26,mistralai_mixtral_8x7b_instruct_v0.1,0.7205813408353023,0.8466947960618847,0.2303314856178917,3.0,0.01682807379400435,0.012696365923986062,0.011044743543455476
47,qwen3-1.7b,0.7137834036568214,0.8382559774964838,0.23009535037628237,4.0,0.016951019714706278,0.013750948901129628,0.009912036808188454
29,qwen1.5-14b-chat,0.6994842944229255,0.8030942334739803,0.2171943226427024,3.0,0.01719442948908501,0.013765438715138557,0.010303450996383724
17,llama-3.1-8B-instruct,0.6905766526019691,0.6905766526019691,0.21177757554012025,7.0,0.01733595158264201,0.01733595158264201,0.0
36,qwen2-7b-instruct,0.6856540084388185,0.8860759493670886,0.21452857983307616,4.0,0.017410918101261386,0.0118436393881533,0.012761985549757335
14,google_gemma_3_4b_it,0.6827004219409283,0.8326300984528833,0.21381888714212846,5.0,0.017454806253690624,0.01429607260424078,0.01001461778842076
45,qwen2.5-coder-7b-instruct,0.669831223628692,0.8748241912798875,0.20990929189289112,4.0,0.01763664176889585,0.011597439537510931,0.013287231805690003
21,mistralai_ministral_8b_instruct_2410,0.6652601969078762,0.8509142053445851,0.20633845974709433,3.0,0.017697611117486467,0.011368237363840298,0.013563503179679134
1,deepseek_r1_distill_llama_8b,0.6068917018284107,0.8509142053445851,0.18971760293415516,4.0,0.018317951509676692,0.011011220887901694,0.01463900140271542
24,mistralai_mistral_7b_instruct_v0.3,0.5988045007032349,0.790436005625879,0.18060910252508,4.0,0.018381703380953324,0.013421213932290647,0.012560176581921063
32,qwen1.5-7b-chat,0.5982184716357243,0.7665260196905767,0.17826896972149378,3.0,0.018386120087062863,0.013506827152048923,0.01247457542927095
39,qwen2-math-7b-instruct,0.5872011251758087,0.849507735583685,0.189118129670904,4.0,0.018464089287155233,0.011513327177680489,0.014434884499147354
19,llama-3.2-3B-instruct,0.5850914205344585,0.5850914205344585,0.17607484625343484,10.0,0.018477928071370137,0.018477928071370137,0.0
6,deepseek_v2_lite_chat,0.5464135021097046,0.6694796061884669,0.16254906557075371,2.0,0.01867050091806651,0.013247597916337655,0.013156319925365477
20,mistralai_mathstral_7b_v0.1,0.5291842475386779,0.8185654008438819,0.1588161753214004,4.0,0.01871949575635395,0.010763040839981185,0.015315889567669605
7,google_codegemma_1.1_7b_it,0.5234880450070324,0.7623066104078763,0.15526019690567058,5.0,0.018730763662284555,0.013560421847332147,0.012921163519387739
23,mistralai_mistral_7b_instruct_v0.2,0.5218002812939522,0.739803094233474,0.1543692488714852,4.0,0.018733633184361838,0.013237171729258698,0.0132561795739322
44,qwen2.5-coder-3b-instruct,0.5175808720112518,0.8213783403656821,0.15933475359190108,4.0,0.01873986975997189,0.010866915995943978,0.015267378797875087
5,deepseek_r1_distill_qwen_7b,0.4936708860759494,0.7637130801687764,0.14823363944723533,4.0,0.0187499626747659,0.011574273609570477,0.014751179299158248
15,google_gemma_7b_it,0.4785513361462729,0.6765119549929677,0.1436041247252689,4.0,0.018734204028705247,0.01378098095829563,0.012690743257045629
46,qwen3-0.6b,0.47172995780590715,0.7679324894514767,0.1435317099178219,5.0,0.018721468858578016,0.012664615684043866,0.013787708504250318
22,mistralai_mistral_7b_instruct_v0.1,0.4166666666666667,0.720112517580872,0.12028522379407766,4.0,0.018489193846884536,0.01088500681024772,0.01494546472507743
12,google_gemma_3_1b_it,0.3484528832630098,0.5893108298171589,0.10125904323280245,4.0,0.017869407159962818,0.012275089080886393,0.01298606562068874
10,google_gemma_2b_it,0.3217299578059072,0.4542897327707454,0.09900869161534018,4.0,0.01751911923462034,0.014462558707470931,0.00988705893528511
34,qwen2-1.5b-instruct,0.3118846694796062,0.6258790436005626,0.09150694501892737,4.0,0.017373720492333083,0.009929275534759157,0.014256775620754775
41,qwen2.5-coder-1.5b-instruct,0.3111814345991561,0.6877637130801688,0.09978305433748517,4.0,0.01736298783325739,0.006864058665653185,0.015948606369595924
18,llama-3.2-1B-instruct,0.29254571026722925,0.29254571026722925,0.08738773521593172,13.0,0.017061266190955406,0.017061266190955406,0.0
28,qwen1.5-1.8b-chat,0.24003750585597747,0.46554149085794655,0.07021915188765826,3.0,0.0160177249587109,0.008083665710817273,0.013828299299938049
2,deepseek_r1_distill_qwen_1.5b,0.21835443037974683,0.5035161744022504,0.06344913727323641,4.0,0.01549355717071086,0.007321816632661149,0.013654351504182557
37,qwen2-math-1.5b-instruct,0.21765119549929676,0.5232067510548524,0.07793577581053128,4.0,0.015475544547427547,0.007146538102558148,0.013726597254531035
33,qwen2-0.5b-instruct,0.18509142053445854,0.559774964838256,0.06143956316701526,5.0,0.014565077136140012,0.004900890059148284,0.013715784651628577
40,qwen2.5-coder-0.5b-instruct,0.18115330520393813,0.5864978902953587,0.06470689354033095,5.0,0.014444071546407243,0.003549059801493249,0.014001263420247332
27,qwen1.5-0.5b-chat,0.15133614627285513,0.48523206751054854,0.05341294136030336,5.0,0.013440158410265055,0.005015446449774502,0.012469288472180875
