,model,pass1,win_rate,count,SE(A),SE_x(A),SE_pred(A)
43,qwen2.5-coder-32b-instruct,0.741875,0.4878045343139057,2.0,0.015471606428188059,0.011838574891799689,0.009960860906568267
13,google_gemma_3_27b_it,0.689166666668375,0.4411998910688815,3.0,0.016363678231894257,0.012606180968705229,0.010433320021029929
42,qwen2.5-coder-14b-instruct,0.627083333334125,0.39677151416136147,3.0,0.017097142538619124,0.0114163530221911,0.012727103624099543
11,google_gemma_3_12b_it,0.6125,0.37675142973864156,4.0,0.017224392224400836,0.013221372375816363,0.011039701082909808
35,qwen2-72b-instruct,0.5375,0.32236254084972304,2.0,0.017627880970213068,0.012111138984422565,0.012808688457449499
16,llama-3.1-70B-instruct,0.53125,0.32118423202621565,4.0,0.017643109047869088,0.017643109047869088,0.0
8,google_gemma_2_27b_it,0.5275,0.31428431372553434,2.0,0.01765091180364346,0.012586885536144357,0.012374368670764581
25,mistralai_mixtral_8x22b_instruct_v0.1,0.484583333333,0.2873484477112562,3.0,0.01766926450042837,0.011579201526659966,0.013346347814705482
45,qwen2.5-coder-7b-instruct,0.466875,0.27554534313728735,4.0,0.017638832670240683,0.011975812483310547,0.01295022522326671
14,google_gemma_3_4b_it,0.43825000000000003,0.25407442810459757,5.0,0.017542339407131537,0.012478077651425319,0.012330095295657695
31,qwen1.5-72b-chat,0.43625,0.2518625408496789,2.0,0.01753339447668363,0.011092561556060889,0.01357847561400027
9,google_gemma_2_9b_it,0.42708333333200005,0.24107189542313853,3.0,0.017488680614973065,0.012813558560874155,0.011902380713940524
7,google_codegemma_1.1_7b_it,0.40549999999999997,0.2325508986927946,5.0,0.0173590664351514,0.011274681259352746,0.013199195051214297
50,qwen3-4b,0.3903125,0.22163664215687254,4.0,0.01724705236930901,0.012977841002892357,0.011359421566846321
44,qwen2.5-coder-3b-instruct,0.389375,0.22332393790850427,4.0,0.017239566024664022,0.010449009684435013,0.01371206889325361
30,qwen1.5-32b-chat,0.37541666666525,0.20615400326601216,3.0,0.017120126790389236,0.01160885041653938,0.01258305739180334
47,qwen3-1.7b,0.3721875,0.20992892156861828,4.0,0.017090346867594218,0.011936104098686786,0.01223149111923808
