,model,pass1,win_rate,count,SE(A),SE_x(A),SE_pred(A)
43,qwen2.5-coder-32b-instruct,0.815,0.48544873366013974,2.0,0.013728392112698414,0.010941606372009551,0.0082915619758885
42,qwen2.5-coder-14b-instruct,0.7616666666682499,0.4393436819183031,3.0,0.015063638154290907,0.011895231304224934,0.009242113755110129
48,qwen3-14b,0.761666666667,0.44040904139410725,3.0,0.015063638154318047,0.011938936068529941,0.009185586535207279
13,google_gemma_3_27b_it,0.758750000000125,0.43600789760346303,3.0,0.015126484947763611,0.012713105320034068,0.008196798155172581
11,google_gemma_3_12b_it,0.694375,0.3858950163398505,4.0,0.0162872020070591,0.01344983082491189,0.009185586535436918
49,qwen3-32b,0.669375,0.3706924019607537,2.0,0.016632502419021318,0.0134367550665609,0.009802741963348826
16,llama-3.1-70B-instruct,0.65375,0.35429125816988727,4.0,0.016821152513279224,0.016821152513279224,0.0
35,qwen2-72b-instruct,0.60375,0.32117442810452573,2.0,0.0172929153665598,0.012014883348372552,0.01243734296383275
8,google_gemma_2_27b_it,0.599375,0.31585743464047306,2.0,0.017325003945706623,0.013727236128177809,0.010569709078304852
25,mistralai_mixtral_8x22b_instruct_v0.1,0.571875,0.29532250816988725,2.0,0.017494069865778804,0.013309253565423946,0.011353688827865594
50,qwen3-4b,0.569375,0.2961881127450521,4.0,0.017506681202293886,0.013880987118552363,0.010667805928743423
0,deepseek_r1_distill_llama_70b,0.554375,0.29003288398688726,2.0,0.017572825590062343,0.012694406217651536,0.012151388809514737
14,google_gemma_3_4b_it,0.5489999999999999,0.27996781045746766,5.0,0.017592576559446887,0.014376586868933807,0.010139649895336623
45,qwen2.5-coder-7b-instruct,0.50875,0.2541330678103922,4.0,0.017674962429238713,0.01352690702051532,0.011376602451230039
9,google_gemma_2_9b_it,0.46916666666750007,0.2252618464053254,3.0,0.017644025389476993,0.014247045259161354,0.010408329997070457
3,deepseek_r1_distill_qwen_14b,0.45875,0.24085835375813786,4.0,0.017617407495854776,0.009997818772529001,0.014505745987941009
31,qwen1.5-72b-chat,0.45875,0.2227920751633162,2.0,0.017617407495854776,0.012602005668741782,0.01231107225224513
30,qwen1.5-32b-chat,0.44875,0.2146200980391446,2.0,0.01758456132165372,0.01280251135031717,0.012054563451241194
44,qwen2.5-coder-3b-instruct,0.4446875,0.2130604575162408,4.0,0.017569167856779318,0.012725205990985797,0.012113826466755526
26,mistralai_mixtral_8x7b_instruct_v0.1,0.4141666666664999,0.19568504901864925,3.0,0.017415246154191315,0.012296644472592766,0.012332207155482314
1,deepseek_r1_distill_llama_8b,0.3928125,0.18909599673196875,4.0,0.017266689022643788,0.011528407296963769,0.012854352375751957
21,mistralai_ministral_8b_instruct_2410,0.391875,0.17842565359468077,4.0,0.017259380941063617,0.012267452756600154,0.012140668570277888
