,model,pass1,win_rate,count,SE(A),SE_x(A),SE_pred(A)
31,qwen2.5-coder-14b-instruct,0.38633333333380004,0.29014732504349217,3.0,0.01539739877021424,0.011536025697535307,0.01019803902693062
36,qwen3-14b,0.36966666666610004,0.27282123899430283,3.0,0.01526477062461387,0.01272844146883759,0.008426149772965704
8,google_gemma_3_12b_it,0.32225,0.22937324922886385,4.0,0.01477852961224492,0.013184142147544781,0.006677075208003377
38,qwen3-8b,0.30033333333359996,0.2132332272990118,3.0,0.014495972620777424,0.011523883411978013,0.008793937305295431
37,qwen3-4b,0.2855,0.19938643845190593,4.0,0.014282498030806796,0.011510419193061564,0.00845576726264388
33,qwen2.5-coder-7b-instruct,0.28525,0.20422794847698816,4.0,0.014278740753301744,0.010326298344518235,0.00986154146165801
26,qwen2-7b-instruct,0.212,0.1409724877096737,4.0,0.012925014506761685,0.009749666660968466,0.00848528137423857
10,google_gemma_3_4b_it,0.1922,0.12331075862734317,5.0,0.012460303367093436,0.010925161783699133,0.005991660871578097
22,qwen1.5-14b-chat,0.18799999999900002,0.12290579814815819,3.0,0.012355403676099622,0.009415731517124732,0.0079999999998
5,google_codegemma_1.1_7b_it,0.1864,0.12171080489685841,5.0,0.012314830084089672,0.008964097277473063,0.00844393273303382
16,mistralai_ministral_8b_instruct_2410,0.17675,0.11373056439175656,4.0,0.012062729272432503,0.008057673620013821,0.008976822006330154
32,qwen2.5-coder-3b-instruct,0.16825,0.10890832248893355,4.0,0.011829705723305209,0.007617432036673076,0.009050782654923643
15,mistralai_mathstral_7b_v0.1,0.168,0.10657976069984079,4.0,0.011822690049223147,0.008120509015244467,0.00859263250310016
19,mistralai_mistral_7b_instruct_v0.3,0.16525,0.10570764772509342,4.0,0.011744889846226741,0.00859413196120857,0.008005206639015218
35,qwen3-1.7b,0.146,0.08755210261229802,4.0,0.011166198995181842,0.008861000695933463,0.006794605703546503
2,deepseek_r1_distill_qwen_14b,0.1395,0.09239821910547302,4.0,0.010956265330850656,0.006894907541076964,0.0085146931829632
12,llama-3.1-8B-instruct,0.1389999999999,0.08712907268165902,7.0,0.010939789760316595,0.010907094676655658,0.0008451542547947202
4,deepseek_v2_lite_chat,0.136999999999,0.08398335261136347,3.0,0.010873407929406217,0.007674481524435858,0.007702813338668325
28,qwen2-math-7b-instruct,0.1335,0.08575218093311711,2.0,0.01075535912928992,0.006795421252578829,0.008336666000266535
3,deepseek_r1_distill_qwen_7b,0.11775,0.07336778364179672,4.0,0.01019239606275188,0.0065930471584339,0.007772815877574012
18,mistralai_mistral_7b_instruct_v0.2,0.11725,0.07174493927126316,4.0,0.010173614770571961,0.007240103878168233,0.007147260547463855
6,google_gemma_2_9b_it,0.10499999999819999,0.061878799561703016,3.0,0.009694070352466914,0.007787275946498321,0.00577350269175192
30,qwen2.5-coder-1.5b-instruct,0.0855,0.05155344009061316,4.0,0.008842496819337851,0.004710599749501118,0.0074833147735478825
23,qwen1.5-7b-chat,0.06766666666509999,0.039020522458843965,3.0,0.007942788483116886,0.004975395015083483,0.006191391873514119
14,llama-3.2-3B-instruct,0.0631,0.03388516965489684,10.0,0.007688848418326375,0.007651909783402659,0.000752772652709081
34,qwen3-0.6b,0.0592,0.03135024195103211,5.0,0.0074629323995330414,0.005224496147955322,0.005329165037789692
17,mistralai_mistral_7b_instruct_v0.1,0.05825,0.03101309885290395,4.0,0.007406546934975839,0.004612331749415546,0.005795112883571237
0,deepseek_r1_distill_llama_8b,0.04825,0.029772451561598683,4.0,0.006776572695692123,0.003916453008356754,0.005530220007679019
11,google_gemma_7b_it,0.046,0.02215623313090395,4.0,0.006624499981130651,0.005602142447314241,0.0035355339059327377
9,google_gemma_3_1b_it,0.036,0.017444104251013816,4.0,0.005891010100144117,0.004658755198548212,0.003605551275463989
29,qwen2.5-coder-0.5b-instruct,0.0296,0.014858031617504737,5.0,0.00535946265963296,0.0028326383461359838,0.004549725266430931
25,qwen2-1.5b-instruct,0.02925,0.015140742481200658,4.0,0.005328643119969661,0.002410623190518722,0.004752192476461085
13,llama-3.2-1B-instruct,0.0149230769231,0.007856713900135617,13.0,0.0038341072883067893,0.003824062711481771,0.0002773500980744789
1,deepseek_r1_distill_qwen_1.5b,0.01225,0.007301206140351315,4.0,0.0034784964424302636,0.001962125760495489,0.0028722813232690144
27,qwen2-math-1.5b-instruct,0.011333333332799999,0.006055555555246593,3.0,0.00334737044385106,0.0015931799089036712,0.002943920288702351
24,qwen2-0.5b-instruct,0.011200000000000003,0.004471228070175264,5.0,0.0033278461502900046,0.001724691276721721,0.0028460498941515417
21,qwen1.5-1.8b-chat,0.0053333333331,0.0025823099413847953,3.0,0.0023032344406634,0.0009856751775008726,0.0020816659994140913
7,google_gemma_2b_it,0.0045,0.0019655701754394735,4.0,0.002116541991078845,0.0003826443082899139,0.0020816659994661326
20,qwen1.5-0.5b-chat,0.0006000000000000001,0.00037587719298315793,5.0,0.0007743642553733999,0.0,0.0007745966692414834
