,model,pass1,win_rate,count,SE(A),SE_x(A),SE_pred(A)
13,google_gemma_3_27b_it,0.9436441748802881,0.3264785991896573,3.0,0.006349669783895047,0.005629958475946234,0.0029363027642991604
48,qwen3-14b,0.9347990902202424,0.3216400653429598,3.0,0.006797724675280469,0.0058755111832452,0.0034186882128204423
49,qwen3-32b,0.9336618650492797,0.32240655675952073,2.0,0.006852578846507123,0.005317622590230453,0.004322120641012653
16,llama-3.1-70B-instruct,0.9287338893100834,0.319124212737744,4.0,0.007083775317572385,0.007083775317572385,0.0
11,google_gemma_3_12b_it,0.9234268385140257,0.3142440549632572,4.0,0.007321787795140706,0.006148317465477125,0.003975772737566913
51,qwen3-8b,0.9196360879460196,0.3104710606339658,3.0,0.0074854194229413,0.006319599613891885,0.004011753314629943
43,qwen2.5-coder-32b-instruct,0.9128127369219106,0.30835104827864396,2.0,0.007767745182965032,0.005569873776457213,0.005414274775240978
0,deepseek_r1_distill_llama_70b,0.9059893858984079,0.30908082970347484,2.0,0.008035771924992838,0.005741088111929875,0.005622591726380336
8,google_gemma_2_27b_it,0.8976497346474602,0.2963144241773915,2.0,0.008345945456380772,0.0068310425092649105,0.004794962335357663
35,qwen2-72b-instruct,0.8949962092494314,0.3014171956372586,2.0,0.008440937587316892,0.0055947664388091515,0.0063204442761687135
50,qwen3-4b,0.8946171341925702,0.29596161183688996,4.0,0.008454369220084343,0.007556888846348933,0.0037907505686125853
9,google_gemma_2_9b_it,0.867576446804094,0.2797523541470647,3.0,0.009332845946487174,0.007358484582627171,0.005740620010774123
38,qwen2-math-72b-instruct,0.8438210765731615,0.2773790056834909,2.0,0.009995718086447784,0.005243151638243806,0.00851021391988008
14,google_gemma_3_4b_it,0.8326004548900683,0.26333729751676255,5.0,0.010279525326850081,0.008562001760708355,0.005688652458621401
31,qwen1.5-72b-chat,0.8267626990144048,0.2637469215634929,2.0,0.010420504460758874,0.007209018040992491,0.007524425034601671
5,deepseek_r1_distill_qwen_7b,0.8191811978771797,0.2634244600037082,4.0,0.01059715737563805,0.006697576474967939,0.008212320853814466
30,qwen1.5-32b-chat,0.8165276724791509,0.26012675477050057,2.0,0.010657328222791956,0.007014412749141714,0.008023506629460471
3,deepseek_r1_distill_qwen_14b,0.8125473843821076,0.2639092053296953,4.0,0.010746021444631425,0.007205179133672553,0.007972601240509152
42,qwen2.5-coder-14b-instruct,0.8099570381640635,0.2613171660721333,3.0,0.010802754067619037,0.005758742656638807,0.009139823765263101
4,deepseek_r1_distill_qwen_32b,0.8032600454890069,0.2682224848492448,2.0,0.010945912403251518,0.006062640750629354,0.009113582471699248
39,qwen2-math-7b-instruct,0.7975739196360879,0.24770232202037717,4.0,0.011063595965505829,0.007420022943436033,0.008206486166858488
17,llama-3.1-8B-instruct,0.7831690674753601,0.23815749701431715,7.0,0.011346606243998998,0.011346606243998998,0.0
25,mistralai_mixtral_8x22b_instruct_v0.1,0.7831690674753601,0.24433394282639775,2.0,0.011346606243998998,0.0067380035611763036,0.009129336299311824
37,qwen2-math-1.5b-instruct,0.7517058377558756,0.2274190811020875,4.0,0.011895557979807311,0.008107256485295639,0.00870498086916848
21,mistralai_ministral_8b_instruct_2410,0.7386277482941622,0.22281418632638883,4.0,0.012098183052200959,0.007365845509908124,0.009597413875035756
47,qwen3-1.7b,0.7336997725549659,0.2164306738614882,4.0,0.012170896328674144,0.009888809513117713,0.007095221198567833
1,deepseek_r1_distill_llama_8b,0.7302880970432145,0.2248510334129807,4.0,0.012220100282629626,0.007087115075289096,0.009955081658486518
36,qwen2-7b-instruct,0.7168309325246399,0.21596624497648398,4.0,0.012405345845032743,0.0073140736678766905,0.010019826940408899
29,qwen1.5-14b-chat,0.7035633055365428,0.2030733985113295,3.0,0.012574628795303607,0.008735518625950988,0.009044998821190748
19,llama-3.2-3B-instruct,0.6755117513267627,0.19392711848432562,10.0,0.01289120584476407,0.012891205844764069,0.0
45,qwen2.5-coder-7b-instruct,0.653904473085671,0.19226290465629858,4.0,0.013098837350214937,0.007422158941533984,0.01079310412133567
20,mistralai_mathstral_7b_v0.1,0.6336239575435937,0.1820353729056631,4.0,0.013266517390684043,0.00732241580731524,0.011062671938645838
6,deepseek_v2_lite_chat,0.6213040181956028,0.1709967939663686,2.0,0.013355957607602439,0.008901126529229919,0.009957487139168837
26,mistralai_mixtral_8x7b_instruct_v0.1,0.6077836745022744,0.17064984531392063,3.0,0.013443580459854512,0.008400087294570788,0.010496113043606784
2,deepseek_r1_distill_qwen_1.5b,0.5978013646702047,0.17335882798899904,4.0,0.01350132369521059,0.0072243507575888944,0.011405897494462225
32,qwen1.5-7b-chat,0.5519332827913571,0.14515403330870988,3.0,0.013692799116361334,0.009061693471665544,0.010265401067011447
44,qwen2.5-coder-3b-instruct,0.5494692949203942,0.14642932356149269,4.0,0.013699714414052403,0.008092654805612658,0.01105400892092048
7,google_codegemma_1.1_7b_it,0.5032600454890068,0.130195236042248,5.0,0.013766970287235336,0.008888028306837574,0.010513440146140302
12,google_gemma_3_1b_it,0.4456027293404094,0.1089856892970919,4.0,0.013685543994990028,0.010621238326806707,0.00863037721330765
24,mistralai_mistral_7b_instruct_v0.3,0.43442001516300227,0.110435589449224,4.0,0.013648330526026684,0.008238316429377664,0.010881501208800094
46,qwen3-0.6b,0.3815011372251706,0.08873165945671677,5.0,0.013375036423637908,0.009155384728725709,0.00975041177605627
41,qwen2.5-coder-1.5b-instruct,0.3743366186504928,0.08717859142638178,4.0,0.013325365420863752,0.008241593709060758,0.010470983560980389
23,mistralai_mistral_7b_instruct_v0.2,0.36751326762699016,0.08823349784686334,4.0,0.013275161805385,0.008600285830125764,0.010112616110546804
18,llama-3.2-1B-instruct,0.29037149355572406,0.0628930116397776,13.0,0.012498851783077173,0.012498851783077173,0.0
15,google_gemma_7b_it,0.27520849128127367,0.061666344576683164,4.0,0.012297449996953248,0.008524812321655247,0.008863117471190387
22,mistralai_mistral_7b_instruct_v0.1,0.22460197119029568,0.04785717294241701,4.0,0.011490706457652123,0.006333843935992724,0.009587426969235091
34,qwen2-1.5b-instruct,0.20489006823351025,0.044283337545240005,4.0,0.011113520243412583,0.005323008917803222,0.009755814074782723
28,qwen1.5-1.8b-chat,0.11068991659962094,0.02119326881521347,3.0,0.008638895898042615,0.004071433562203389,0.007619314344859472
40,qwen2.5-coder-0.5b-instruct,0.0982562547384382,0.018652078470993178,5.0,0.008195949513818728,0.0038108632010075646,0.0072560946862807564
10,google_gemma_2b_it,0.09173616376042457,0.01771698949984391,4.0,0.007947927573008964,0.00492699923364729,0.00623652397232907
33,qwen2-0.5b-instruct,0.08491281273692192,0.01581966928796623,5.0,0.0076753016536070945,0.003303809512757268,0.006927849462659994
27,qwen1.5-0.5b-chat,0.031235784685367706,0.006224808852015936,5.0,0.004789750115787717,0.0014210179857991568,0.004574102541015423
