,model,pass1,win_rate,count,SE(A),SE_x(A),SE_pred(A)
49,qwen3-32b,0.8139215314632298,0.34343936905047634,2.0,0.0037885405411247327,0.003256289665654119,0.0019363927920491423
48,qwen3-14b,0.8105888299219388,0.33996988252799626,3.0,0.0038144832271678757,0.0034375905091073764,0.0016532555102100617
51,qwen3-8b,0.787212534749185,0.32436958125020887,3.0,0.00398429631467085,0.0034564251124377175,0.0019818533157652278
16,llama-3.1-70B-instruct,0.7728392721758909,0.31952899304763355,4.0,0.004078907211130214,0.004078907211130214,0.0
0,deepseek_r1_distill_llama_70b,0.7616565579984838,0.3142275168847657,1.0,0.004147761776384681,,
13,google_gemma_3_27b_it,0.7506002021734078,0.30109972027703197,3.0,0.004211967348103998,0.003898975001712718,0.0015933181971952558
35,qwen2-72b-instruct,0.7437452615617892,0.2992814607518717,2.0,0.004249919138799228,0.0033102489056945146,0.002665345168768998
11,google_gemma_3_12b_it,0.7422289613347327,0.29454632602754255,3.0,0.004258127071962904,0.0037984775321877272,0.0019243738198303382
8,google_gemma_2_27b_it,0.7399545109931767,0.2952479039376789,1.0,0.004270313722511271,,
50,qwen3-4b,0.736827141774365,0.2919865886711743,3.0,0.004286827074255969,0.0038102492100260945,0.001964405080951869
43,qwen2.5-coder-32b-instruct,0.7347422289613343,0.2915277653894275,2.0,0.004297680911276472,0.003635396373529974,0.0022921506107747964
3,deepseek_r1_distill_qwen_14b,0.7099128127402957,0.28890557149590423,3.0,0.004417732239017827,0.0030606688873594723,0.003185696799384272
9,google_gemma_2_9b_it,0.7011309072534022,0.2715658298106595,3.0,0.00445628201614878,0.003665644494230191,0.0025340678462446352
4,deepseek_r1_distill_qwen_32b,0.7005307050796058,0.2905551467490001,1.0,0.00445884470328039,,
5,deepseek_r1_distill_qwen_7b,0.6860942633339461,0.27169378829032537,3.0,0.004517770123328957,0.003177095409508738,0.0032119015623337894
42,qwen2.5-coder-14b-instruct,0.6676459438985785,0.2553636229994674,3.0,0.004585706001816739,0.003309363139163554,0.0031743999666462323
38,qwen2-math-72b-instruct,0.6629548900682335,0.2570681703308002,2.0,0.0046017032953698045,0.0031832982600988476,0.003322993440539564
31,qwen1.5-72b-chat,0.6572687642153147,0.24988091964076523,2.0,0.004620414615274074,0.0034749426166968836,0.0030451609198369274
30,qwen1.5-32b-chat,0.6477918877937832,0.24592695620047406,2.0,0.004649968796539368,0.003334485196124687,0.0032408977592042446
14,google_gemma_3_4b_it,0.6408500758150114,0.2344441409363022,4.0,0.004670342365920046,0.004032124048626631,0.0023567081854558155
25,mistralai_mixtral_8x22b_instruct_v0.1,0.6317285822592873,0.2414632235252193,2.0,0.004695500368720798,0.003095469430870035,0.0035306929511366865
39,qwen2-math-7b-instruct,0.6202299722022934,0.2290751497713413,3.0,0.004724646572340896,0.003460641056968421,0.00321655851934285
1,deepseek_r1_distill_llama_8b,0.6200009476876421,0.2427179805455909,4.0,0.004725198333864749,0.003035509447900198,0.003621212736924861
17,llama-3.1-8B-instruct,0.6056671721000758,0.22680488040529814,7.0,0.004757525150660903,0.004757525150660904,0.0
21,mistralai_ministral_8b_instruct_2410,0.596664139501213,0.2179565438757423,3.0,0.004775633560436965,0.0033111288231467664,0.0034413808013787927
36,qwen2-7b-instruct,0.5918941117020754,0.21614540749274175,3.0,0.004784549466053102,0.0032909377415405827,0.0034729875286866204
47,qwen3-1.7b,0.5864607025523597,0.21012150016210876,3.0,0.0047941372115254816,0.004029755759525165,0.0025970791519526475
