,model,pass1,win_rate,count,SE(A),SE_x(A),SE_pred(A)
46,qwen3-32b,0.2679611650460194,0.227520676013593,3.0,0.01951638490483791,0.012385857541064584,0.015082433912543386
11,google_gemma_3_12b_it,0.2606796116504854,0.2192696534522148,4.0,0.01934488978055498,0.01377643499124438,0.013580670070134165
45,qwen3-14b,0.2576051779916505,0.21726087738056674,3.0,0.019270418512267525,0.013287056675327823,0.013957190066219241
47,qwen3-4b,0.22281553398058251,0.18527676645106897,4.0,0.0183371219749802,0.012598722664293314,0.013323746828633593
32,qwen2-72b-instruct,0.22135922330097088,0.1854321736787136,2.0,0.01829421456431958,0.01144891130861235,0.014268872288057347
40,qwen2.5-coder-32b-instruct,0.21165048543689322,0.1750583198491262,2.0,0.01799970644049835,0.011310591622205128,0.014002140875588308
48,qwen3-8b,0.1883495145590291,0.1564097896405372,3.0,0.01722912272160514,0.011497938263111929,0.012831215275795083
39,qwen2.5-coder-14b-instruct,0.151456310676699,0.1232380438665822,3.0,0.015797093049094567,0.008795868125163192,0.013121770182657906
27,qwen1.5-32b-chat,0.1456310679584466,0.12109987414370972,3.0,0.015543403683411592,0.009123666222464525,0.012583962520865714
8,google_gemma_2_27b_it,0.13203883495145632,0.11045577130538835,2.0,0.014917545609837737,0.010093606424488154,0.010984183008723067
28,qwen1.5-72b-chat,0.13009708737864079,0.1073159385114199,2.0,0.014824005409374199,0.008302758030663956,0.012280689942401472
14,google_gemma_7b_it,0.11941747572815534,0.10129972357078378,4.0,0.014289444961865932,0.010087590488267966,0.010120709236965625
13,google_gemma_3_4b_it,0.11533980582524272,0.09417880258910681,5.0,0.014075837247162867,0.008716006217579411,0.011052620948161325
9,google_gemma_2_9b_it,0.0912621359223301,0.07573708872716828,4.0,0.012689982171502715,0.007817958886108242,0.009995757418433981
42,qwen2.5-coder-7b-instruct,0.08737864077669903,0.0702090075513127,4.0,0.012443551292237865,0.005738719181831636,0.011041244083645294
26,qwen1.5-14b-chat,0.08608414239106796,0.0709827849662993,3.0,0.012359789392419893,0.006493571730987349,0.010516554568845125
23,mistralai_mixtral_8x22b_instruct_v0.1,0.08478964401029127,0.0671094030901532,3.0,0.012275190883288283,0.006429555643053049,0.010456630693203642
35,qwen2-math-72b-instruct,0.07961165048543689,0.06285497572821602,2.0,0.011928072101683255,0.008404856629877102,0.008463881443768298
44,qwen3-1.7b,0.06990291262135923,0.05504432982745752,4.0,0.011235907715493532,0.007174004929824243,0.008647501110606724
15,llama-3.1-8B-instruct,0.06601941747572816,0.055188106796205505,7.0,0.010942111934014044,0.010942111934014044,0.0
7,google_codegemma_1.1_7b_it,0.06330097087378642,0.051587108953687705,5.0,0.01073004654938124,0.004043494488022805,0.009939016615199789
21,mistralai_mistral_7b_instruct_v0.2,0.06165048543689321,0.052095974919157566,4.0,0.010598562192492585,0.00457140212212392,0.00956199786582146
22,mistralai_mistral_7b_instruct_v0.3,0.06116504854368932,0.04965193500544599,4.0,0.010559483418184228,0.00510300509152342,0.009244567545039288
33,qwen2-7b-instruct,0.06019417475728155,0.04818736515647856,4.0,0.010480757780593847,0.0037015538526185875,0.009805344600351533
31,qwen2-1.5b-instruct,0.05631067961165048,0.04909654800436893,4.0,0.010157955127651797,0.0038183814525024258,0.00941297059692491
36,qwen2-math-7b-instruct,0.05631067961165048,0.04320152373251214,2.0,0.010157955127651797,0.006252002123663438,0.008006030341005166
29,qwen1.5-7b-chat,0.054368932035339795,0.04548116684348789,3.0,0.00999154509220014,0.003056430280106644,0.009512581525133752
6,deepseek_v2_lite_chat,0.053721682844660196,0.045298004312238536,3.0,0.009935291967506926,0.0032763406871369983,0.009379531874321783
3,deepseek_r1_distill_qwen_14b,0.050970873786407765,0.03873280744339502,4.0,0.009691638254797788,0.0056595689496118035,0.0078674729975037
41,qwen2.5-coder-3b-instruct,0.04757281553398058,0.03842165587921623,4.0,0.009379759530334136,0.0038840449543249447,0.008537803209238136
17,llama-3.2-3B-instruct,0.04660194174757282,0.03864010248117314,10.0,0.009288284799172614,0.009288284799172613,0.0
