,model,pass1,win_rate,count,SE(A),SE_x(A),SE_pred(A)
13,google_gemma_3_27b_it,0.8546666666668,0.44888212121206506,3.0,0.01576144381428687,0.012237501560743054,0.009933109616919233
48,qwen3-32b,0.815,0.41616145454553605,2.0,0.01736519507520719,0.011981235328629516,0.012569805089976535
4,deepseek_r1_distill_qwen_32b,0.811,0.417756484848564,2.0,0.01750879778854048,0.012188437143456908,0.012569805089976535
47,qwen3-14b,0.8066666666664001,0.40975836363604373,3.0,0.017661005382237957,0.014044374120996097,0.010708252269204967
0,deepseek_r1_distill_llama_70b,0.789,0.399542969697036,2.0,0.01824713676169497,0.012921222852346445,0.012884098726725126
11,google_gemma_3_12b_it,0.7833333333339999,0.39382834343449236,3.0,0.018424018140560137,0.014632536045286961,0.011195237082217896
50,qwen3-8b,0.7826666666686,0.3923607878801646,3.0,0.018444487282354184,0.014703710794052131,0.011135528725381656
49,qwen3-4b,0.771,0.38343304545459406,4.0,0.018791434218813633,0.014802634900584422,0.011575836902790225
3,deepseek_r1_distill_qwen_14b,0.7626666666675999,0.38501525252558677,3.0,0.019026624620343567,0.013638637925110551,0.01326649916108994
42,qwen2.5-coder-32b-instruct,0.744,0.362627121212162,2.0,0.01951737687293044,0.014997599807969273,0.012489995996796796
5,deepseek_r1_distill_qwen_7b,0.7273333333349999,0.3599210101018831,3.0,0.019915800539009113,0.013685970107622217,0.014468356275778763
38,qwen2-math-7b-instruct,0.707,0.336233787878782,2.0,0.020354409841604353,0.015630163146941236,0.013038404810405298
41,qwen2.5-coder-14b-instruct,0.6720000000015999,0.31228824242473185,3.0,0.020995999618948828,0.01594256357495763,0.0136626010209379
1,deepseek_r1_distill_llama_8b,0.671,0.327156409090927,4.0,0.021012329713765675,0.014543658411830224,0.0151657508881031
46,qwen3-1.7b,0.654,0.304397560606076,4.0,0.021273645667821018,0.016650365361356688,0.013241349377360804
14,google_gemma_3_4b_it,0.6505,0.30978569696971403,4.0,0.021323684015666713,0.017079212511120063,0.012767145334803704
2,deepseek_r1_distill_qwen_1.5b,0.6465,0.30271656060609703,4.0,0.021379324124022256,0.015386428002192929,0.01484362938547488
16,llama-3.1-70B-instruct,0.634,0.293925348484842,4.0,0.021542701780417423,0.021449662001999006,0.002
35,qwen2-72b-instruct,0.63,0.286710484848468,2.0,0.021591665058535898,0.016798809481626965,0.013564659966250536
37,qwen2-math-1.5b-instruct,0.615,0.276569818181854,2.0,0.021761204010807857,0.01635695570697677,0.014352700094407323
44,qwen2.5-coder-7b-instruct,0.5373333333338,0.23355183838339943,3.0,0.022298261018392773,0.016162068074852758,0.015362291495353161
8,google_gemma_2_27b_it,0.528,0.22052684848477203,1.0,0.02232559069767248,,
36,qwen2-7b-instruct,0.4573333333328,0.18508521212032206,3.0,0.0222791182749906,0.01567457956236424,0.015832456115654744
17,llama-3.1-8B-instruct,0.45066666666640004,0.18659724242402947,6.0,0.0222515717297541,0.02211332428900108,0.002476556749575238
9,google_gemma_2_9b_it,0.4493333333326,0.17823945454468995,3.0,0.022245578836650425,0.01862433294872676,0.0121655250602923
25,mistralai_mixtral_8x22b_instruct_v0.1,0.438,0.17900236363632,2.0,0.02218810492133116,0.014570929963458063,0.016733200530681513
43,qwen2.5-coder-3b-instruct,0.408,0.168698999999974,4.0,0.021978898971513564,0.014459322252443231,0.01655294535724685
20,mistralai_mathstral_7b_v0.1,0.398,0.16085539393842507,3.0,0.02189045454073533,0.014301235378353391,0.016573070525793748
21,mistralai_ministral_8b_instruct_2410,0.39799999999939994,0.15835959595839189,3.0,0.02189045454072974,0.015422667301037408,0.015534906929919687
19,llama-3.2-3B-instruct,0.38339999999999996,0.15078454545455322,10.0,0.021744168873516413,0.021574882309451118,0.00270801280154532
31,qwen1.5-72b-chat,0.379,0.146926363636292,2.0,0.02169603650439407,0.01614676438175773,0.014491376746189439
30,qwen1.5-32b-chat,0.371,0.146000545454478,2.0,0.02160365709781564,0.014584855158691153,0.015937377450509226
45,qwen3-0.6b,0.315999999999,0.12261177777683564,3.0,0.020791536739723306,0.013526073586906044,0.015790292376041258
29,qwen1.5-14b-chat,0.2833333333304,0.10100967676579256,3.0,0.02015219866685938,0.014541129407705427,0.013952299690622094
40,qwen2.5-coder-1.5b-instruct,0.262,0.09636890909086,4.0,0.01966499427917537,0.012276481580648422,0.015362291495737215
26,mistralai_mixtral_8x7b_instruct_v0.1,0.2333333333306,0.08162826262444643,3.0,0.018915014612071072,0.012183777921974592,0.014468356275778763
18,llama-3.2-1B-instruct,0.20472727272740002,0.07332490909092855,11.0,0.01804516647354636,0.017976520958892152,0.0015724907861455746
6,deepseek_v2_lite_chat,0.189,0.06456227272721801,2.0,0.01750879778854048,0.011855715921023075,0.012884098726725126
7,google_codegemma_1.1_7b_it,0.186,0.061992272727216004,4.0,0.017401379255679705,0.012033619571849528,0.012569805089976533
32,qwen1.5-7b-chat,0.1593333333312,0.052636707069332524,3.0,0.016367420213385414,0.010640760206987286,0.012436505403807507
12,google_gemma_3_1b_it,0.1355,0.059242606060588,4.0,0.015306191557667114,0.009089160210565843,0.012315302134607445
24,mistralai_mistral_7b_instruct_v0.3,0.10466666666459999,0.03391585858472768,3.0,0.013690256064363552,0.008129561967324951,0.011015141094296826
23,mistralai_mistral_7b_instruct_v0.2,0.08999999999700001,0.030629838382539045,3.0,0.012798437404428716,0.007103989489534265,0.010645812948181397
39,qwen2.5-coder-0.5b-instruct,0.06,0.023776393939389,4.0,0.010620734437881403,0.004412104562073147,0.00966091783079296
15,google_gemma_7b_it,0.0575,0.018575999999967,4.0,0.010410931754650974,0.0063812877488272956,0.008225975119502044
34,qwen2-1.5b-instruct,0.0465,0.015364393939394,4.0,0.009416766961117812,0.004204224066340898,0.008426149773176359
22,mistralai_mistral_7b_instruct_v0.1,0.0413333333316,0.014228525251957511,3.0,0.008902234425951592,0.003905096385212237,0.0079999999998
33,qwen2-0.5b-instruct,0.0205,0.007555484848483,4.0,0.00633715235732896,0.002119630470939059,0.0059721576223896395
28,qwen1.5-1.8b-chat,0.0086666666662,0.0029266666664423333,3.0,0.004145251634122343,0.0015863304965424516,0.00382970843092961
10,google_gemma_2b_it,0.0035,0.001044999999998,4.0,0.002641117187858199,0.0,0.0026457513110645908
27,qwen1.5-0.5b-chat,0.003,0.0014458333333339998,4.0,0.0024458127483517624,0.0,0.002449489742783178
