,model,pass1,win_rate,count,SE(A),SE_x(A),SE_pred(A)
42,qwen3-32b,0.6902842420212766,0.39285540012054476,2.0,0.004215282827011866,0.003447727686923958,0.0024252387735064617
41,qwen3-14b,0.6719996675531915,0.3778586175508004,2.0,0.004280088601998415,0.0036809634190463326,0.0021839566727843937
44,qwen3-8b,0.6246675531914894,0.34246208343461954,2.0,0.004414318017046605,0.003780439415285417,0.0022791404921546025
9,llama-3.1-70B-instruct,0.6029753989361702,0.33168794200365503,3.0,0.004460562142692092,0.004460562142692092,0.0
28,qwen2-72b-instruct,0.6005651595744681,0.3266293041792393,1.0,0.004465130198490844,,
36,qwen2.5-coder-32b-instruct,0.5928357712765957,0.31909588949718104,1.0,0.0044790209816149154,,
7,google_gemma_3_12b_it,0.5843860815601147,0.3115121565556818,3.0,0.004492892855020355,0.003783168237426117,0.002423576756371278
43,qwen3-4b,0.5773215868797872,0.3102804873037796,3.0,0.004503446635552365,0.003857372624681542,0.002324157488989363
18,mistralai_mixtral_8x22b_instruct_v0.1,0.4709109042553192,0.23892229622551275,2.0,0.004550560234360046,0.0031481883574174313,0.003285804089223869
3,deepseek_r1_distill_qwen_32b,0.4660904255319149,0.23233671698729827,1.0,0.004547786139785033,,
24,qwen1.5-72b-chat,0.46534242021276595,0.23653385794478568,1.0,0.004547317460954216,,
2,deepseek_r1_distill_qwen_14b,0.44744570035497844,0.21979702905036108,3.0,0.004533031524223369,0.003447985398759846,0.0029427489681489545
31,qwen2-math-72b-instruct,0.44381648936170215,0.22603030177133518,1.0,0.004529412348686219,,
35,qwen2.5-coder-14b-instruct,0.4330119680851064,0.21465186900613328,2.0,0.004517186112763253,0.0029618655786317386,0.0034106191038369665
23,qwen1.5-32b-chat,0.43251329787234044,0.21544717558758314,2.0,0.004516569165593225,0.0031332128431969695,0.003253056148733532
40,qwen3-1.7b,0.4244791666657164,0.2126338392226213,3.0,0.0045059856369293995,0.003596323865140408,0.0027148409193239304
8,google_gemma_3_4b_it,0.4152468417553192,0.202497490908296,4.0,0.004492318559998906,0.003686223053130405,0.002567622567099884
29,qwen2-7b-instruct,0.4095190602825798,0.20034485059917811,3.0,0.004483024270663436,0.003153315828924629,0.0031865507832781843
