,model_a,model_b,total,accA,accB,sum(A!=B),sum(A-B),SE_signtest,pvalue,SE_pred(A-B),SE_x(A-B),SE(A-B),"corr(A,B)",benchmark_id
0,deepseek_r1_distill_llama_70b,deepseek_r1_distill_llama_8b,30.0,0.26666666666666666,0.15833333333333333,4.25,3.25,0.06871842709362767,0.625,0.05,0.04279040217757386,0.06581047423107143,0.6927870261147763,aime2025_cot
1,deepseek_r1_distill_llama_70b,deepseek_r1_distill_qwen_1.5b,30.0,0.26666666666666666,0.11666666666666667,6.5,4.5,0.08498365855987976,0.21875,0.05270462766947299,0.06078194176270156,0.08045012257431447,0.43086639761375567,aime2025_cot
2,deepseek_r1_distill_llama_70b,deepseek_r1_distill_qwen_14b,30.0,0.26666666666666666,0.23333333333333334,2.75,1.0,0.055277079839256664,1.0,0.05270462766947299,0.015515822270854377,0.05494104584478275,0.8639747801302822,aime2025_cot
3,deepseek_r1_distill_llama_70b,deepseek_r1_distill_qwen_32b,30.0,0.26666666666666666,0.21666666666666667,3.5,1.5,0.06236095644623236,1.0,0.05270462766947299,0.0320589734361189,0.06168918507773915,0.7759682380319112,aime2025_cot
4,deepseek_r1_distill_llama_70b,deepseek_r1_distill_qwen_7b,30.0,0.26666666666666666,0.23333333333333334,3.0,1.0,0.05773502691896258,1.0,0.05270462766947299,0.022771001702132435,0.057413380812283636,0.8386134852145205,aime2025_cot
5,deepseek_r1_distill_llama_70b,google_gemma_3_12b_it,30.0,0.26666666666666666,0.175,4.5,2.75,0.07071067811865475,0.625,0.05853140973807077,0.03597195409595484,0.06870158227732026,0.7189140370289699,aime2025_cot
6,deepseek_r1_distill_llama_70b,google_gemma_3_27b_it,30.0,0.26666666666666666,0.21111111110999997,4.0,1.6666666667000003,0.06666666666666667,1.0,0.05773502691848145,0.03175264481466602,0.06589054398018061,0.7576360899358808,aime2025_cot
7,deepseek_r1_distill_llama_70b,google_gemma_3_4b_it,30.0,0.26666666666666666,0.10666666666666667,6.0,4.800000000000001,0.08164965809277261,0.21875,0.058689389538863365,0.04867123266251727,0.07624521842931092,0.5628697548195286,aime2025_cot
8,deepseek_r1_distill_llama_70b,qwen2-math-7b-instruct,30.0,0.26666666666666666,0.13333333333333333,5.5,4.0,0.07817359599705716,0.375,0.06666666666666667,0.03277306934167251,0.07428673177976347,0.6301573588613115,aime2025_cot
9,deepseek_r1_distill_llama_70b,qwen2.5-coder-32b-instruct,30.0,0.26666666666666666,0.18333333333333332,5.5,2.5,0.07817359599705716,0.375,0.06236095644623236,0.044617717789469484,0.07667874301023478,0.5936684776386525,aime2025_cot
