,model_a,model_b,total,accA,accB,sum(A!=B),sum(A-B),SE_signtest,pvalue,SE_pred(A-B),SE_x(A-B),SE(A-B),"corr(A,B)",benchmark_id
0,deepseek_r1_distill_llama_70b,deepseek_r1_distill_qwen_14b,711.0,0.8741209563994374,0.8241912798874824,94.25,35.5,0.013654351504182559,0.0005879022254125642,0.011975658485180311,0.006286384356229499,0.01352534747900837,0.6605591817826778,ap_cot
1,deepseek_r1_distill_llama_70b,deepseek_r1_distill_qwen_32b,711.0,0.8741209563994374,0.8284106891701828,89.0,32.5,0.01326860918714009,0.0013352623656219375,0.011975658485180311,0.005449850966966095,0.013157403684458892,0.6468210697888908,ap_cot
2,deepseek_r1_distill_llama_70b,google_gemma_2_27b_it,711.0,0.8741209563994374,0.8389592123769339,113.0,25.0,0.014950978639570534,0.023534002126010006,0.011251758087201125,0.009756578078952331,0.014892712172857871,0.4402121163248416,ap_cot
3,deepseek_r1_distill_llama_70b,google_gemma_2_9b_it,711.0,0.8741209563994374,0.8012189404604783,122.16666666559999,51.8333333326,0.015545573962978785,6.909552457823492e-06,0.011498123270762911,0.010098666284513287,0.015303264340513266,0.4881548369110958,ap_cot
4,deepseek_r1_distill_llama_70b,google_gemma_3_12b_it,711.0,0.8741209563994374,0.8499765588374121,105.8333333332,17.16666666660001,0.014469103949368256,0.11799998150585843,0.010158438199627685,0.010263586029027858,0.014440743222940805,0.4579230282440495,ap_cot
5,deepseek_r1_distill_llama_70b,google_gemma_3_27b_it,711.0,0.8741209563994374,0.8874824191293952,97.1666666662,-9.500000001000004,0.013864016017426851,0.30993353423900727,0.010223142281826724,0.009351321126893422,0.01385495741360314,0.43813912128385574,ap_cot
6,deepseek_r1_distill_llama_70b,google_gemma_3_4b_it,711.0,0.8741209563994374,0.6827004219409283,197.5,136.10000000000002,0.01976577963791167,1.6495253745430157e-23,0.012751647771187778,0.013287058010553566,0.018416037344017682,0.3610753399213812,ap_cot
7,deepseek_r1_distill_llama_70b,llama-3.1-70B-instruct,711.0,0.8741209563994374,0.8776371308016878,83.5,-2.5,0.012852086415258132,0.8264047244491923,0.007893791955219286,0.010141340391131976,0.012851409897792909,0.5146602622631771,ap_cot
8,deepseek_r1_distill_llama_70b,llama-3.1-8B-instruct,711.0,0.8741209563994374,0.6905766526019691,169.5,130.5,0.01831113441109921,1.875816089097913e-26,0.007893791955219286,0.015020113825659088,0.016968080939459243,0.43421731677081166,ap_cot
9,deepseek_r1_distill_llama_70b,mistralai_mixtral_8x22b_instruct_v0.1,711.0,0.8741209563994374,0.7742616033755274,151.5,71.0,0.01731158034471332,6.473733481736707e-09,0.014064697609001406,0.009372829504018366,0.016901646421104866,0.3872947842578598,ap_cot
10,deepseek_r1_distill_llama_70b,mistralai_mixtral_8x7b_instruct_v0.1,711.0,0.8741209563994374,0.7205813408353023,172.49999999930003,109.16666666610001,0.018472469109053518,2.5960289994977246e-17,0.013575651416156286,0.011125515890345087,0.01755207723317406,0.4110845798906417,ap_cot
11,deepseek_r1_distill_llama_70b,qwen1.5-14b-chat,711.0,0.8741209563994374,0.6994842944229255,181.4999999979,124.16666666530001,0.018948232890618203,2.5195628210499657e-21,0.012979717017992552,0.01215187278109844,0.01778035618189823,0.4026728677422876,ap_cot
12,deepseek_r1_distill_llama_70b,qwen1.5-32b-chat,711.0,0.8741209563994374,0.790436005625879,129.5,59.5,0.0160053539757258,2.035172733143e-07,0.012461353830287871,0.009541292804566231,0.01569463627058931,0.4657162904526126,ap_cot
