,model_a,model_b,total,accA,accB,sum(A!=B),sum(A-B),SE_signtest,pvalue,SE_pred(A-B),SE_x(A-B),SE(A-B),"corr(A,B)",benchmark_id
0,deepseek_r1_distill_llama_70b,deepseek_r1_distill_llama_8b,1319.0,0.9059893858984079,0.7302880970432145,319.0,231.75,0.013540994010228773,5.48111850229484e-42,0.011433161791416025,0.005407080669078649,0.012647280731865617,0.4460315871978492,gsm8k_cot
1,deepseek_r1_distill_llama_70b,deepseek_r1_distill_qwen_14b,1319.0,0.9059893858984079,0.8125473843821076,209.75,123.25,0.010980097314602153,3.022600904269893e-18,0.009755814074782723,0.004332079301627775,0.010674400186301825,0.5748158421395934,gsm8k_cot
2,deepseek_r1_distill_llama_70b,deepseek_r1_distill_qwen_32b,1319.0,0.9059893858984079,0.8032600454890069,242.0,135.5,0.011794047904551968,1.5049173505780152e-18,0.010708451017305182,0.004053103010327368,0.011449828260823351,0.43122126709234243,gsm8k_cot
3,deepseek_r1_distill_llama_70b,deepseek_r1_distill_qwen_7b,1319.0,0.9059893858984079,0.8191811978771797,219.5,114.5,0.011232397566360162,2.928672996730995e-15,0.009952675596419113,0.00462578003501136,0.010975135190960803,0.5142008495156918,gsm8k_cot
4,deepseek_r1_distill_llama_70b,google_gemma_2_27b_it,1319.0,0.9059893858984079,0.8976497346474602,155.0,11.0,0.009438892796049076,0.4219388330129736,0.007389533240946902,0.005868114392235946,0.009436099196141688,0.42425488469634365,gsm8k_cot
5,deepseek_r1_distill_llama_70b,google_gemma_2_9b_it,1319.0,0.9059893858984079,0.867576446804094,185.6666666656,50.666666665400015,0.01033051980586858,0.00021785347986380465,0.008035437500824763,0.006405676566950474,0.010276232194245092,0.40876358425923986,gsm8k_cot
6,deepseek_r1_distill_llama_70b,google_gemma_3_12b_it,1319.0,0.9059893858984079,0.9234268385140257,136.0,-23.0,0.008841473684374981,0.04818269594614997,0.006886240380813097,0.005524565467214696,0.008828427390191417,0.44589309941447575,gsm8k_cot
7,deepseek_r1_distill_llama_70b,google_gemma_3_27b_it,1319.0,0.9059893858984079,0.9436441748802881,116.66666666639999,-49.66666666709999,0.008188957162497415,3.865427244352972e-06,0.006343138942604955,0.005074311727248571,0.008123056761495875,0.4737978541199885,gsm8k_cot
8,deepseek_r1_distill_llama_70b,google_gemma_3_4b_it,1319.0,0.9059893858984079,0.8326004548900683,221.8,96.80000000000001,0.01129109276186897,5.229521647906213e-11,0.007998393871055609,0.007709158440474691,0.011108799592074834,0.3754465552658986,gsm8k_cot
9,deepseek_r1_distill_llama_70b,llama-3.1-70B-instruct,1319.0,0.9059893858984079,0.9287338893100834,129.0,-30.0,0.008610930016376457,0.008007673208090866,0.005622591726380336,0.006491716070779027,0.00858812641180667,0.4143822352953806,gsm8k_cot
10,deepseek_r1_distill_llama_70b,llama-3.1-8B-instruct,1319.0,0.9059893858984079,0.7831690674753601,271.0,162.0,0.012480726029684858,9.994281822345798e-24,0.005622591726380336,0.010616893069929667,0.012013823545394745,0.3091176251804272,gsm8k_cot
