,model_a,model_b,total,accA,accB,sum(A!=B),sum(A-B),SE_signtest,pvalue,SE_pred(A-B),SE_x(A-B),SE(A-B),"corr(A,B)",benchmark_id
0,deepseek_r1_distill_llama_70b,deepseek_r1_distill_llama_8b,180.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,leetcode
1,deepseek_r1_distill_llama_70b,deepseek_r1_distill_qwen_1.5b,180.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,leetcode
2,deepseek_r1_distill_llama_70b,deepseek_r1_distill_qwen_14b,180.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,leetcode
3,deepseek_r1_distill_llama_70b,deepseek_r1_distill_qwen_32b,180.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,leetcode
4,deepseek_r1_distill_llama_70b,deepseek_r1_distill_qwen_7b,180.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,leetcode
5,deepseek_r1_distill_llama_70b,deepseek_v2_lite_chat,180.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,leetcode
6,deepseek_r1_distill_llama_70b,google_codegemma_1.1_7b_it,180.0,0.0,0.05,9.0,-9.0,0.016666666666666666,0.00390625,0.014593250596181887,0.007136240321480626,0.016244657241348274,,leetcode
7,deepseek_r1_distill_llama_70b,google_gemma_2_9b_it,180.0,0.0,0.15,27.0,-27.0,0.02886751345948129,1.4901161193847656e-08,0.019641855032959656,0.017959144305827346,0.026614532371118854,,leetcode
8,deepseek_r1_distill_llama_70b,google_gemma_2b_it,180.0,0.0,0.001388888888888889,0.25,-0.25,0.002777777777777778,1.0,0.002777777777777778,0.0,0.0027758480951706054,,leetcode
9,deepseek_r1_distill_llama_70b,google_gemma_3_12b_it,180.0,0.0,0.075,13.5,-13.5,0.020412414523193152,0.000244140625,0.013795985579399388,0.013967370853516809,0.019632031648982914,,leetcode
10,deepseek_r1_distill_llama_70b,google_gemma_3_1b_it,180.0,0.0,0.006944444444444444,1.25,-1.25,0.006211299937499416,1.0,0.005782405554072591,0.002208192595872561,0.006189695350518953,,leetcode
11,deepseek_r1_distill_llama_70b,google_gemma_3_4b_it,180.0,0.0,0.18000000000000002,32.400000000000006,-32.400000000000006,0.0316227766016838,4.656612873077393e-10,0.016480441082434807,0.023417836401520852,0.02863564212655271,,leetcode
12,deepseek_r1_distill_llama_70b,google_gemma_7b_it,180.0,0.0,0.029166666666666667,5.25,-5.25,0.01272937693043289,0.0625,0.009487917375888517,0.008203071416148724,0.012542366474877198,,leetcode
13,deepseek_r1_distill_llama_70b,llama-3.1-8B-instruct,180.0,0.0,0.07777777777722222,13.9999999999,-13.9999999999,0.020786985482003213,0.000244140625,0.004998530060448936,0.01932629765134675,0.019962241449137483,,leetcode
