,model_a,model_b,total,accA,accB,sum(A!=B),sum(A-B),SE_signtest,pvalue,SE_pred(A-B),SE_x(A-B),SE(A-B),"corr(A,B)",benchmark_id
0,deepseek_r1_distill_llama_70b,deepseek_r1_distill_llama_8b,500.0,0.789,0.671,116.5,59.0,0.021587033144922906,6.471530404742244e-08,0.0198997487421324,0.0064924571619688004,0.020932080641923773,0.6484905824952176,math500_cot
1,deepseek_r1_distill_llama_70b,deepseek_r1_distill_qwen_1.5b,500.0,0.789,0.6465,116.75,71.25,0.02161018278497431,8.656167708687345e-12,0.019655363983740758,0.006328836122595265,0.020649152524982714,0.673214837987881,math500_cot
2,deepseek_r1_distill_llama_70b,deepseek_r1_distill_qwen_14b,500.0,0.789,0.7626666666675999,91.49999999900001,13.166666666200001,0.01913112646960445,0.20817442238117578,0.018493242008669006,0.004755324501651748,0.019094845144886866,0.6679162174569897,math500_cot
3,deepseek_r1_distill_llama_70b,deepseek_r1_distill_qwen_32b,500.0,0.789,0.811,77.5,-11.0,0.01760681686165901,0.2543046661477,0.018000000000000002,0.0,0.017579306015881285,0.692852627395263,math500_cot
4,deepseek_r1_distill_llama_70b,deepseek_r1_distill_qwen_7b,500.0,0.789,0.7273333333349999,96.16666666590001,30.83333333250002,0.01961292091106269,0.002878610081200932,0.019373521448690395,0.0013144496131799368,0.019418061466285854,0.6953489568636265,math500_cot
5,deepseek_r1_distill_llama_70b,google_gemma_3_12b_it,500.0,0.789,0.7833333333339999,98.83333333210001,2.833333333000006,0.019882991055884928,0.9196068309220428,0.017068489485805905,0.01019488978749286,0.019881375986238802,0.5478977727472032,math500_cot
6,deepseek_r1_distill_llama_70b,google_gemma_3_27b_it,500.0,0.789,0.8546666666668,86.49999999959999,-32.83333333339999,0.018601075237695264,0.00031699928227764087,0.016268579122398288,0.008526963768798915,0.018367791859016228,0.5709939578800577,math500_cot
7,deepseek_r1_distill_llama_70b,google_gemma_3_4b_it,500.0,0.789,0.6505,136.25,69.25,0.023345235059857503,4.379138784366244e-09,0.018138357147217055,0.013327996848739122,0.022508565036447794,0.48743191551432075,math500_cot
8,deepseek_r1_distill_llama_70b,llama-3.1-70B-instruct,500.0,0.789,0.634,134.25,77.5,0.023173260452512934,2.619696999224792e-11,0.013038404810405298,0.017859171313361656,0.022112213819516127,0.45376462306176724,math500_cot
9,deepseek_r1_distill_llama_70b,qwen2-72b-instruct,500.0,0.789,0.63,131.0,79.5,0.022891046284519195,1.8819103170396098e-12,0.01870828693386971,0.011110265523379721,0.02175863047160827,0.5325115333524117,math500_cot
10,deepseek_r1_distill_llama_70b,qwen2-math-1.5b-instruct,500.0,0.789,0.615,141.5,87.0,0.02379075450674064,6.399435193704268e-14,0.01928730152198591,0.011551969529045686,0.022482170713701115,0.4946136895770075,math500_cot
11,deepseek_r1_distill_llama_70b,qwen2-math-7b-instruct,500.0,0.789,0.707,105.5,41.0,0.020542638584174138,7.808423662658282e-05,0.018330302779823362,0.008517746180768714,0.020212669294281744,0.5902890867182593,math500_cot
12,deepseek_r1_distill_llama_70b,qwen2.5-coder-14b-instruct,500.0,0.789,0.6720000000015999,118.83333333190002,58.49999999920003,0.02180214056755896,8.553538707156113e-08,0.0187794213610892,0.00976159140053585,0.021164955311276917,0.5793274083898265,math500_cot
13,deepseek_r1_distill_llama_70b,qwen2.5-coder-32b-instruct,500.0,0.789,0.744,103.5,22.5,0.020346989949375803,0.029682214631626732,0.01794435844492636,0.009378166132032422,0.020247222031676348,0.5522667778414124,math500_cot
14,deepseek_r1_distill_llama_70b,qwen3-1.7b,500.0,0.789,0.654,123.25,67.5,0.02220360331117452,1.016580277965293e-09,0.018475208614068026,0.010733902676411158,0.021367030678126522,0.580633632451275,math500_cot
15,deepseek_r1_distill_llama_70b,qwen3-14b,500.0,0.789,0.8066666666664001,92.1666666664,-8.833333333199988,0.01920069443185845,0.3481412903192059,0.01675310916400097,0.009347501151776516,0.019184432346134105,0.5705315809859812,math500_cot
16,deepseek_r1_distill_llama_70b,qwen3-32b,500.0,0.789,0.815,87.5,-13.0,0.01870828693386971,0.1979791406725175,0.018000000000000002,0.004964675215963279,0.018672118251553575,0.6060048136156398,math500_cot
17,deepseek_r1_distill_llama_70b,qwen3-4b,500.0,0.789,0.771,95.75,9.0,0.01957038579078093,0.41191007368097665,0.017320508075688773,0.009074800273284254,0.019553823155587756,0.6043429336083751,math500_cot
18,deepseek_r1_distill_llama_70b,qwen3-8b,500.0,0.789,0.7826666666686,92.833333333,3.1666666657000064,0.019270011243691584,0.9170405196524722,0.017029386365744362,0.009014050760675067,0.019267929601019067,0.5949622020621671,math500_cot
19,deepseek_r1_distill_llama_8b,deepseek_r1_distill_llama_70b,500.0,0.671,0.789,116.5,-59.0,0.021587033144922906,2.0883550312393552e-08,0.0198997487421324,0.0064924571619688004,0.020932080641923773,0.6484905824952176,math500_cot
20,deepseek_r1_distill_llama_8b,deepseek_r1_distill_qwen_1.5b,500.0,0.671,0.6465,129.125,12.25,0.02272663635472702,0.3786876626931184,0.021221058723196008,0.008060159220925272,0.022700209250136882,0.6839899747890668,math500_cot
21,deepseek_r1_distill_llama_8b,deepseek_r1_distill_qwen_14b,500.0,0.671,0.7626666666675999,116.6666666657,-45.8333333338,0.02160246899460337,2.332238289572831e-05,0.020149441679391516,0.006622772162448458,0.021209929540356852,0.6892524067330942,math500_cot
22,deepseek_r1_distill_llama_8b,deepseek_r1_distill_qwen_32b,500.0,0.671,0.811,117.75,-70.0,0.021702534414210706,2.2313814815989472e-11,0.01969771560359221,0.006618156843109719,0.020779797881596444,0.6391451798698237,math500_cot
23,deepseek_r1_distill_llama_8b,deepseek_r1_distill_qwen_7b,500.0,0.671,0.7273333333349999,119.99999999905,-28.16666666749999,0.021908902300119923,0.009966324337995335,0.020960279896100307,0.0058583084405030164,0.02176357303171829,0.6930179511149889,math500_cot
24,deepseek_r1_distill_llama_8b,google_gemma_2_27b_it,500.0,0.671,0.528,166.0,71.5,0.025768197453450253,5.480870276242312e-08,,,0.024962011136925644,0.4326406737320671,math500_cot
25,deepseek_r1_distill_llama_8b,google_gemma_3_12b_it,500.0,0.671,0.7833333333339999,125.66666666584999,-56.16666666699999,0.022420228960994132,3.4738008828470623e-07,0.018850287353965368,0.01104969582298437,0.02185015128340179,0.5784422563472085,math500_cot
26,deepseek_r1_distill_llama_8b,google_gemma_3_27b_it,500.0,0.671,0.8546666666668,127.83333333294999,-91.83333333339999,0.0226126808081616,7.386767234722092e-18,0.01812916618771347,0.010733115939981261,0.02106813813422565,0.555062579826188,math500_cot
27,deepseek_r1_distill_llama_8b,google_gemma_3_4b_it,500.0,0.671,0.6505,144.25,10.25,0.024020824298928625,0.4533716994309739,0.019824227601599007,0.01353364326410298,0.024003322686661527,0.5351126028842764,math500_cot
28,deepseek_r1_distill_llama_8b,llama-3.1-70B-instruct,500.0,0.671,0.634,143.75,18.5,0.023979157616563596,0.13197859831859354,0.015297058540778355,0.018391900391204818,0.023921998244293887,0.4732384978595258,math500_cot
29,deepseek_r1_distill_llama_8b,qwen2-72b-instruct,500.0,0.671,0.63,148.0,20.5,0.02433105012119288,0.11803924678172628,0.020346989949375803,0.013215067158361325,0.024261863077678105,0.5028367680404012,math500_cot
30,deepseek_r1_distill_llama_8b,qwen2-math-1.5b-instruct,500.0,0.671,0.615,147.75,28.0,0.024310491562286436,0.031645409418021034,0.020880613017821098,0.012195408972232133,0.024181149683172632,0.5231389907164006,math500_cot
31,deepseek_r1_distill_llama_8b,qwen2-math-7b-instruct,500.0,0.671,0.707,123.75,-18.0,0.022248595461286987,0.10420386640532626,0.02,0.009612907988740968,0.02219026813718122,0.6104940198124734,math500_cot
32,deepseek_r1_distill_llama_8b,qwen2.5-coder-14b-instruct,500.0,0.671,0.6720000000015999,133.83333333215,-0.5000000008000001,0.023137271518668748,1.0,0.020412414522964533,0.010893331293560309,0.0231372282983203,0.5947335996158261,math500_cot
33,deepseek_r1_distill_llama_8b,qwen2.5-coder-32b-instruct,500.0,0.671,0.744,125.25,-36.5,0.022383029285599394,0.0011924972205224573,0.0196468827043885,0.010214793194186556,0.022143667266286315,0.5816794650115811,math500_cot
34,deepseek_r1_distill_llama_8b,qwen2.5-coder-7b-instruct,500.0,0.671,0.5373333333338,162.99999999915,66.8333333331,0.025534290669540834,2.2554363867625401e-07,0.021587033144649593,0.012258321437011428,0.02482471438790976,0.5332100599090072,math500_cot
35,deepseek_r1_distill_llama_8b,qwen3-1.7b,500.0,0.671,0.654,142.0,8.5,0.023832750575625967,0.5570709871103278,0.020132891827388665,0.012731404740509458,0.02382062131851308,0.5557533622944737,math500_cot
36,deepseek_r1_distill_llama_8b,qwen3-14b,500.0,0.671,0.8066666666664001,128.66666666605002,-67.8333333332,0.022686266036177048,1.2905872820555464e-09,0.01856520042070468,0.01154075868886108,0.02185991257474411,0.5474592600488158,math500_cot
37,deepseek_r1_distill_llama_8b,qwen3-32b,500.0,0.671,0.815,128.25,-72.0,0.02264950330581225,1.0951459896285749e-10,0.01969771560359221,0.009139365404665686,0.021714695484855412,0.5548803544467045,math500_cot
38,deepseek_r1_distill_llama_8b,qwen3-4b,500.0,0.671,0.771,128.75,-50.0,0.022693611435820434,1.1653734361916332e-05,0.019078784028338912,0.011445523142259597,0.022248595461286987,0.5746999761346555,math500_cot
39,deepseek_r1_distill_llama_8b,qwen3-8b,500.0,0.671,0.7826666666686,127.3333333331,-55.833333334299994,0.022568414506393665,4.3609050114827153e-07,0.018814887722062017,0.01141903868321881,0.02200896282069302,0.5647956963148023,math500_cot
40,deepseek_r1_distill_qwen_1.5b,deepseek_r1_distill_llama_70b,500.0,0.6465,0.789,116.75,-71.25,0.02161018278497431,8.656167708687345e-12,0.019655363983740758,0.006328836122595265,0.020649152524982714,0.6732148379878808,math500_cot
41,deepseek_r1_distill_qwen_1.5b,deepseek_r1_distill_llama_8b,500.0,0.6465,0.671,129.125,-12.25,0.02272663635472702,0.290687854780737,0.021221058723196008,0.008060159220925272,0.022700209250136882,0.6839899747890668,math500_cot
42,deepseek_r1_distill_qwen_1.5b,deepseek_r1_distill_qwen_14b,500.0,0.6465,0.7626666666675999,123.7499999995,-58.0833333338,0.022248595461242044,9.738842158273571e-08,0.0199081222952978,0.00846624342811758,0.021633552900729866,0.656920370393569,math500_cot
43,deepseek_r1_distill_qwen_1.5b,deepseek_r1_distill_qwen_32b,500.0,0.6465,0.811,123.5,-82.25,0.022226110770892867,1.1701818604131554e-14,0.01945079261452688,0.007845136497644043,0.020973304460670947,0.6281704084216383,math500_cot
44,deepseek_r1_distill_qwen_1.5b,deepseek_r1_distill_qwen_7b,500.0,0.6465,0.7273333333349999,120.2499999994,-40.416666667499996,0.021931712199406594,0.00015803403060256907,0.02072840241446986,0.006185893450852962,0.021631734660944455,0.7042290678268954,math500_cot
45,deepseek_r1_distill_qwen_1.5b,google_gemma_2_27b_it,500.0,0.6465,0.528,146.25,59.25,0.02418677324489565,1.7704667363339299e-06,,,0.02359905718455718,0.5225574029304246,math500_cot
46,deepseek_r1_distill_qwen_1.5b,google_gemma_2_9b_it,500.0,0.6465,0.4493333333326,159.08333333315,98.58333333370001,0.025225648323335518,3.335166576122482e-15,0.019192012227120255,0.013793136377097105,0.023634380559750933,0.578414122181095,math500_cot
47,deepseek_r1_distill_qwen_1.5b,google_gemma_3_12b_it,500.0,0.6465,0.7833333333339999,122.0833333325,-68.416666667,0.022098265391880874,1.2611644459620753e-10,0.01859211302301059,0.010257677341728628,0.02123409077656524,0.6324093623061918,math500_cot
48,deepseek_r1_distill_qwen_1.5b,google_gemma_3_4b_it,500.0,0.6465,0.6505,132.875,-2.0,0.023054283766797006,0.9306844655255777,0.019578900207451216,0.012171058568040278,0.023053589742163802,0.6104918384510539,math500_cot
49,deepseek_r1_distill_qwen_1.5b,llama-3.1-70B-instruct,500.0,0.6465,0.634,140.0,6.25,0.023664319132398467,0.6727565036145107,0.014977761292440647,0.018312677757954098,0.023657715443381255,0.4927151806677176,math500_cot
50,deepseek_r1_distill_qwen_1.5b,llama-3.1-8B-instruct,500.0,0.6465,0.45066666666640004,175.16666666674996,97.91666666679997,0.026470108928128726,8.751982163963849e-14,0.015048809476739347,0.01993736720609575,0.024979296983260003,0.43400618989410594,math500_cot
51,deepseek_r1_distill_qwen_1.5b,qwen2-72b-instruct,500.0,0.6465,0.63,135.25,8.25,0.023259406699226014,0.6057422651905509,0.020108041509140896,0.011667140466569633,0.023247698810850075,0.579230087210878,math500_cot
52,deepseek_r1_distill_qwen_1.5b,qwen2-7b-instruct,500.0,0.6465,0.4573333333328,162.58333333290005,94.58333333360004,0.025501633934546235,4.995060992910147e-14,0.02170253441392195,0.010381005625091156,0.024057540975246015,0.6043589527648412,math500_cot
53,deepseek_r1_distill_qwen_1.5b,qwen2-math-1.5b-instruct,500.0,0.6465,0.615,133.0,15.75,0.023065125189341593,0.2246299298583627,0.02064784088793144,0.010182444041911876,0.023022065502469585,0.6091254739540929,math500_cot
54,deepseek_r1_distill_qwen_1.5b,qwen2-math-7b-instruct,500.0,0.6465,0.707,118.5,-30.25,0.02177154105707724,0.007330019969069089,0.019756855350316592,0.008737629350497003,0.021602766026599468,0.6527430540636882,math500_cot
55,deepseek_r1_distill_qwen_1.5b,qwen2.5-coder-14b-instruct,500.0,0.6465,0.6720000000015999,117.249999999,-12.7500000008,0.021656407827615364,0.26718230499039586,0.020174241001600698,0.007790988384356001,0.021626361228737415,0.707908571291363,math500_cot
56,deepseek_r1_distill_qwen_1.5b,qwen2.5-coder-32b-instruct,500.0,0.6465,0.744,120.5,-48.75,0.02195449840010015,5.732969902850976e-06,0.01939931270260195,0.009308821980608862,0.021517144327256814,0.6306501068412269,math500_cot
57,deepseek_r1_distill_qwen_1.5b,qwen2.5-coder-7b-instruct,500.0,0.6465,0.5373333333338,148.91666666615,54.5833333331,0.0244062833439383,1.06830590753682e-05,0.021361959959739964,0.010747028013411345,0.023913007850176058,0.6071942173235734,math500_cot
58,deepseek_r1_distill_qwen_1.5b,qwen3-1.7b,500.0,0.6465,0.654,126.875,-3.75,0.02252776065213762,0.7893959446881431,0.019891371663780924,0.010569807629911405,0.02252526359446211,0.6570711582662232,math500_cot
59,deepseek_r1_distill_qwen_1.5b,qwen3-14b,500.0,0.6465,0.8066666666664001,125.58333333285,-80.08333333319999,0.02241279396530919,1.004873475446779e-13,0.018303005217566504,0.010771564933429215,0.02123738710645329,0.6064795418770457,math500_cot
60,deepseek_r1_distill_qwen_1.5b,qwen3-32b,500.0,0.6465,0.815,127.25,-84.25,0.022561028345356955,7.499196212870584e-15,0.01945079261452688,0.008595473615029407,0.021265359155208267,0.601170305526841,math500_cot
61,deepseek_r1_distill_qwen_1.5b,qwen3-4b,500.0,0.6465,0.771,123.125,-62.25,0.022192341021172148,1.0837914423674379e-08,0.018823743871327334,0.01035210928587342,0.021482539421586084,0.6421266777537245,math500_cot
62,deepseek_r1_distill_qwen_1.5b,qwen3-8b,500.0,0.6465,0.7826666666686,119.0833333331,-68.0833333343,0.02182506204647309,1.341699446247938e-10,0.018556220879455316,0.009742549860380055,0.02095830649430256,0.652987023027424,math500_cot
63,deepseek_r1_distill_qwen_14b,deepseek_r1_distill_llama_70b,500.0,0.7626666666675999,0.789,91.49999999900001,-13.166666666200001,0.01913112646960445,0.20817442238117578,0.018493242008669006,0.004755324501651748,0.019094845144886866,0.6679162174569898,math500_cot
64,deepseek_r1_distill_qwen_14b,deepseek_r1_distill_llama_8b,500.0,0.7626666666675999,0.671,116.6666666657,45.8333333338,0.02160246899460337,2.332238289572831e-05,0.020149441679391516,0.006622772162448458,0.021209929540356852,0.6892524067330942,math500_cot
65,deepseek_r1_distill_qwen_14b,deepseek_r1_distill_qwen_1.5b,500.0,0.7626666666675999,0.6465,123.7499999995,58.0833333338,0.022248595461242044,2.744658521632982e-07,0.0199081222952978,0.00846624342811758,0.021633552900729866,0.656920370393569,math500_cot
66,deepseek_r1_distill_qwen_14b,deepseek_r1_distill_qwen_32b,500.0,0.7626666666675999,0.811,93.4999999991,-24.16666666620001,0.01933907960572064,0.012400602797937593,0.01827566688225631,0.005943717505329324,0.019217902533168345,0.6340872483230274,math500_cot
67,deepseek_r1_distill_qwen_14b,deepseek_r1_distill_qwen_7b,500.0,0.7626666666675999,0.7273333333349999,103.22222222047779,17.666666666300003,0.02031966753866586,0.11446824201255822,0.019629909151956528,0.005005863230159131,0.02025813416860314,0.6942844683305781,math500_cot
68,deepseek_r1_distill_qwen_14b,google_gemma_3_12b_it,500.0,0.7626666666675999,0.7833333333339999,107.22222222097778,-10.333333333200017,0.02070963275589191,0.3337051161974391,0.017358955421288076,0.011256168679592726,0.020688998686783058,0.5463609502645767,math500_cot
69,deepseek_r1_distill_qwen_14b,google_gemma_3_27b_it,500.0,0.7626666666675999,0.8546666666668,99.55555555484446,-45.9999999996,0.01995550606272309,2.484126139511977e-06,0.016573070525793748,0.01032606195830428,0.01952675657193668,0.5419643288779776,math500_cot
70,deepseek_r1_distill_qwen_14b,google_gemma_3_4b_it,500.0,0.7626666666675999,0.6505,136.0833333327,56.08333333379999,0.023330952259408535,1.7393820303561728e-06,0.018411952639282993,0.013422764659970724,0.02278531569033353,0.5216221442325059,math500_cot
71,deepseek_r1_distill_qwen_14b,llama-3.1-70B-instruct,500.0,0.7626666666675999,0.634,140.999999999,64.3333333338,0.02374868417399162,6.0187717660317e-08,0.013416407864670783,0.018732052150848222,0.02304104550087295,0.43945225058472853,math500_cot
72,deepseek_r1_distill_qwen_14b,qwen2-72b-instruct,500.0,0.7626666666675999,0.63,143.6666666661,66.33333333379998,0.02397220612843966,5.176751683141765e-08,0.018973665960778378,0.013396483784329968,0.02322640260081221,0.47712991319058007,math500_cot
73,deepseek_r1_distill_qwen_14b,qwen2-math-1.5b-instruct,500.0,0.7626666666675999,0.615,139.49999999929997,73.83333333379998,0.023622023621976164,3.979392264405063e-10,0.01954482028546694,0.011506046719727844,0.02268014795162853,0.5333197017923205,math500_cot
74,deepseek_r1_distill_qwen_14b,qwen2-math-7b-instruct,500.0,0.7626666666675999,0.707,114.4999999992,27.833333333799985,0.021400934558957935,0.011118593448764544,0.018601075237501728,0.010286031520943177,0.021255645001764512,0.5716169971299953,math500_cot
75,deepseek_r1_distill_qwen_14b,qwen2.5-coder-14b-instruct,500.0,0.7626666666675999,0.6720000000015999,123.55555555391112,45.33333333299999,0.02223110933389615,6.099636236844483e-05,0.01904380914230484,0.010729150324161928,0.021858209746614603,0.5841569503379893,math500_cot
76,deepseek_r1_distill_qwen_14b,qwen2.5-coder-32b-instruct,500.0,0.7626666666675999,0.744,104.6666666658,9.333333333799992,0.020461345670879028,0.49264506648650364,0.018220867158047115,0.009271988879579257,0.02044430917821,0.5968236300889409,math500_cot
77,deepseek_r1_distill_qwen_14b,qwen3-1.7b,500.0,0.7626666666675999,0.654,135.49999999915002,54.333333333800006,0.02328089345357261,5.868552512697582e-06,0.018743887892444657,0.012924773800062118,0.022768028265691027,0.5283895137616581,math500_cot
78,deepseek_r1_distill_qwen_14b,qwen3-14b,500.0,0.7626666666675999,0.8066666666664001,99.33333333220001,-21.999999999400004,0.019933221850187692,0.026525106848394424,0.017048949136299674,0.010138770471653744,0.019835859782953984,0.584226443335038,math500_cot
79,deepseek_r1_distill_qwen_14b,qwen3-32b,500.0,0.7626666666675999,0.815,96.1666666656,-26.166666666200015,0.019612920911032096,0.005572997762164588,0.01827566688225631,0.0067222846648918285,0.019472778720743482,0.6093216741415268,math500_cot
80,deepseek_r1_distill_qwen_14b,qwen3-4b,500.0,0.7626666666675999,0.771,102.4999999989,-4.166666666200001,0.02024845673120794,0.7666042612518517,0.017606816861409108,0.00999305314283589,0.020245026824055885,0.6139352776373298,math500_cot
81,deepseek_r1_distill_qwen_14b,qwen3-8b,500.0,0.7626666666675999,0.7826666666686,99.99999999903335,-10.000000000499995,0.019999999999903335,0.3148798910376229,0.017320508075255762,0.009959919678945875,0.01997998998988872,0.6035521108811993,math500_cot
82,deepseek_r1_distill_qwen_32b,deepseek_r1_distill_llama_70b,500.0,0.811,0.789,77.5,11.0,0.01760681686165901,0.2543046661477,0.018000000000000002,0.0,0.017579306015881285,0.6928526273952629,math500_cot
83,deepseek_r1_distill_qwen_32b,deepseek_r1_distill_llama_8b,500.0,0.811,0.671,117.75,70.0,0.021702534414210706,8.889484446408732e-11,0.01969771560359221,0.006618156843109719,0.020779797881596444,0.6391451798698237,math500_cot
84,deepseek_r1_distill_qwen_32b,deepseek_r1_distill_qwen_1.5b,500.0,0.811,0.6465,123.5,82.25,0.022226110770892867,5.820852423965583e-14,0.01945079261452688,0.007845136497644043,0.020973304460670947,0.6281704084216383,math500_cot
85,deepseek_r1_distill_qwen_32b,deepseek_r1_distill_qwen_14b,500.0,0.811,0.7626666666675999,93.4999999991,24.16666666620001,0.01933907960572064,0.022018588373923325,0.01827566688225631,0.005943717505329324,0.019217902533168345,0.6340872483230275,math500_cot
86,deepseek_r1_distill_qwen_32b,deepseek_r1_distill_qwen_7b,500.0,0.811,0.7273333333349999,103.4999999991,41.83333333250001,0.02034698994928734,6.596332626923021e-05,0.019165942015013683,0.00571545662671574,0.01999999444436762,0.6267757405757884,math500_cot
87,deepseek_r1_distill_qwen_32b,google_gemma_3_12b_it,500.0,0.811,0.7833333333339999,97.499999999,13.833333332999999,0.019748417658030225,0.22287765458337647,0.016832508230417317,0.010253573902796926,0.019709619760593683,0.5336194920552559,math500_cot
88,deepseek_r1_distill_qwen_32b,google_gemma_3_27b_it,500.0,0.811,0.8546666666668,83.83333333280001,-21.8333333334,0.018312108926368913,0.015232201861994662,0.016020819787443255,0.00865176924760987,0.01820768458029799,0.5480523520063263,math500_cot
89,deepseek_r1_distill_qwen_32b,google_gemma_3_4b_it,500.0,0.811,0.6505,138.5,80.25,0.02353720459187964,4.201557931039114e-12,0.017916472867168916,0.013471432737463379,0.022416054514566117,0.47042290584638974,math500_cot
90,deepseek_r1_distill_qwen_32b,llama-3.1-70B-instruct,500.0,0.811,0.634,142.5,88.5,0.023874672772626643,3.9409082023984755e-14,0.012727922061357855,0.0185833796710932,0.022524253594736494,0.4064335000342899,math500_cot
91,deepseek_r1_distill_qwen_32b,qwen2-72b-instruct,500.0,0.811,0.63,142.0,90.5,0.023832750575625967,9.051618305252369e-15,0.018493242008906927,0.012667991158822304,0.022416021056378403,0.4631119301760265,math500_cot
92,deepseek_r1_distill_qwen_32b,qwen2-math-1.5b-instruct,500.0,0.811,0.615,146.5,98.0,0.024207436873820407,5.32713230351354e-17,0.019078784028338912,0.012048568379687274,0.02256475127272623,0.46652365336823737,math500_cot
93,deepseek_r1_distill_qwen_32b,qwen2-math-7b-instruct,500.0,0.811,0.707,108.0,52.0,0.020784609690826527,5.648694223312712e-07,0.018110770276274835,0.009075681792570737,0.020257541805460997,0.5671228957894171,math500_cot
94,deepseek_r1_distill_qwen_32b,qwen2.5-coder-14b-instruct,500.0,0.811,0.6720000000015999,121.49999999870002,69.49999999920001,0.022045407684930667,1.992019573556286e-10,0.01856520042060773,0.010133673240161054,0.021150839226746765,0.5590901368213395,math500_cot
95,deepseek_r1_distill_qwen_32b,qwen2.5-coder-32b-instruct,500.0,0.811,0.744,103.0,33.5,0.02029778313018444,0.0014896711969493315,0.01772004514666935,0.009435147057677477,0.020075407841436247,0.5417283377729748,math500_cot
96,deepseek_r1_distill_qwen_32b,qwen3-1.7b,500.0,0.811,0.654,129.25,78.5,0.022737634001804147,4.855987785091934e-12,0.01825741858350554,0.011591749939791948,0.021626419028586308,0.5390769391551877,math500_cot
97,deepseek_r1_distill_qwen_32b,qwen3-14b,500.0,0.811,0.8066666666664001,87.4999999998,2.1666666668000047,0.018708286933848326,1.0,0.016512621435160843,0.008791801736999448,0.018707283192479864,0.5799817198649395,math500_cot
98,deepseek_r1_distill_qwen_32b,qwen3-32b,500.0,0.811,0.815,86.5,-2.0,0.018601075237738275,0.9142116370824498,0.017776388834631177,0.005474303608679374,0.018600215052520228,0.5824296102736933,math500_cot
99,deepseek_r1_distill_qwen_32b,qwen3-4b,500.0,0.811,0.771,91.25,20.0,0.0191049731745428,0.058573528410188855,0.017088007490635063,0.00835463942968217,0.019021040980976827,0.6211940930713548,math500_cot
100,deepseek_r1_distill_qwen_32b,qwen3-8b,500.0,0.811,0.7826666666686,89.4999999993,14.166666665700006,0.01892088792835051,0.20311681873649565,0.016792855623562062,0.008625221414437056,0.018878412127132503,0.5997203026715023,math500_cot
101,deepseek_r1_distill_qwen_7b,deepseek_r1_distill_llama_70b,500.0,0.7273333333349999,0.789,96.16666666590001,-30.83333333250002,0.01961292091106269,0.001424496094649118,0.019373521448690395,0.0013144496131799368,0.019418061466285854,0.6953489568636265,math500_cot
102,deepseek_r1_distill_qwen_7b,deepseek_r1_distill_llama_8b,500.0,0.7273333333349999,0.671,119.99999999905,28.16666666749999,0.021908902300119923,0.009966324337995335,0.020960279896100307,0.0058583084405030164,0.02176357303171829,0.6930179511149889,math500_cot
103,deepseek_r1_distill_qwen_7b,deepseek_r1_distill_qwen_1.5b,500.0,0.7273333333349999,0.6465,120.2499999994,40.416666667499996,0.021931712199406594,0.00033040001839131815,0.02072840241446986,0.006185893450852962,0.021631734660944455,0.7042290678268954,math500_cot
104,deepseek_r1_distill_qwen_7b,deepseek_r1_distill_qwen_14b,500.0,0.7273333333349999,0.7626666666675999,103.22222222047779,-17.666666666300003,0.02031966753866586,0.07561910758625776,0.019629909151956528,0.005005863230159131,0.02025813416860314,0.6942844683305781,math500_cot
105,deepseek_r1_distill_qwen_7b,deepseek_r1_distill_qwen_32b,500.0,0.7273333333349999,0.811,103.4999999991,-41.83333333250001,0.02034698994928734,2.717641312570182e-05,0.019165942015013683,0.00571545662671574,0.01999999444436762,0.6267757405757884,math500_cot
106,deepseek_r1_distill_qwen_7b,google_gemma_2_27b_it,500.0,0.7273333333349999,0.528,158.99999999890002,99.66666666750001,0.02521904042574975,2.9588066094676977e-16,,,0.02359093988035906,0.4728660957690423,math500_cot
107,deepseek_r1_distill_qwen_7b,google_gemma_3_12b_it,500.0,0.7273333333349999,0.7833333333339999,109.99999999810001,-27.999999999500005,0.020976176963221873,0.007040750835507649,0.018293896978225647,0.009952956010286123,0.02082613742374289,0.5894203066746757,math500_cot
108,deepseek_r1_distill_qwen_7b,google_gemma_3_27b_it,500.0,0.7273333333349999,0.8546666666668,109.44444444312225,-63.66666666590002,0.020923139768507234,2.489280605223287e-10,0.017549928774345497,0.009866621622070764,0.020133311258154093,0.5531186990430138,math500_cot
109,deepseek_r1_distill_qwen_7b,google_gemma_3_4b_it,500.0,0.7273333333349999,0.6505,132.91666666560002,38.416666667499996,0.023057898140602495,0.001195106352671871,0.01929594085093719,0.012146053314422709,0.02280043737386776,0.5669249842838263,math500_cot
