,model_a,model_b,total,accA,accB,sum(A!=B),sum(A-B),SE_signtest,pvalue,SE_pred(A-B),SE_x(A-B),SE(A-B),"corr(A,B)",benchmark_id
0,deepseek_r1_distill_llama_70b,deepseek_r1_distill_llama_8b,5000.0,0.7094,0.65573333333802,1534.3333333099001,268.3333333099001,0.007834113436273181,8.251581897364826e-12,,,0.007797263052525187,0.40675596129634645,math_cot
1,deepseek_r1_distill_llama_70b,deepseek_r1_distill_qwen_1.5b,5000.0,0.7094,0.59033333333722,1831.3333333167002,595.3333333139003,0.00855881611747022,1.399736309251391e-44,,,0.008391540925874753,0.29404640723087005,math_cot
2,deepseek_r1_distill_llama_70b,deepseek_r1_distill_qwen_14b,5000.0,0.7094,0.599000000003,1544.6666666436,551.999999985,0.007860449520590028,1.2556285437659322e-45,,,0.007703832466109091,0.4606105807492702,math_cot
3,deepseek_r1_distill_llama_70b,deepseek_r1_distill_qwen_32b,5000.0,0.7094,0.5784,1593.0,655.0,0.007982480817390043,4.198820300460702e-62,,,0.007764521878390195,0.3313079280233038,math_cot
4,deepseek_r1_distill_llama_70b,deepseek_r1_distill_qwen_7b,5000.0,0.7094,0.68386666667272,1460.3333333084001,127.66666663640024,0.007642861593168884,0.0010633122968803008,,,0.007634326631090368,0.4302894887650814,math_cot
5,deepseek_r1_distill_llama_70b,google_gemma_3_12b_it,5000.0,0.7094,0.80166666666766,1350.6666666621,-461.33333333829995,0.007350283441234359,8.305642724898771e-37,,,0.007233535726799985,0.3244353522360017,math_cot
6,deepseek_r1_distill_llama_70b,google_gemma_3_27b_it,5000.0,0.7094,0.8646,1271.0,-776.0,0.0071302173879903554,1.2258966469732839e-112,,,0.006783995283017228,0.32575259358685216,math_cot
7,deepseek_r1_distill_llama_70b,google_gemma_3_4b_it,5000.0,0.7094,0.71515,1532.25,-28.75,0.007828793010419933,0.4587557898157339,,,0.007828370679777498,0.2897711897427284,math_cot
8,deepseek_r1_distill_llama_70b,llama-3.1-70B-instruct,5000.0,0.7094,0.5854666666669599,1864.9999999992,619.6666666652003,0.008637129152673822,1.7705191486681673e-47,,,0.008457429028833782,0.2047050946144579,math_cot
9,deepseek_r1_distill_llama_70b,qwen2-72b-instruct,5000.0,0.7094,0.5408,1973.0,843.0,0.008883692925805124,1.083535274696672e-82,,,0.008557733812172473,0.1951559368225378,math_cot
