,model_a,model_b,total,accA,accB,sum(A!=B),sum(A-B),SE_signtest,pvalue,SE_pred(A-B),SE_x(A-B),SE(A-B),"corr(A,B)",benchmark_id
0,deepseek_r1_distill_llama_70b,deepseek_r1_distill_qwen_14b,2750.0,0.858,0.7370735930740727,564.4047619023501,332.54761904630004,0.008638983425827121,5.488348319835802e-47,0.005965194132423328,0.005807836758665266,0.00832553354763532,0.5429590836285284,mgsm_cot
1,deepseek_r1_distill_llama_70b,deepseek_r1_distill_qwen_32b,2750.0,0.858,0.7935454545454546,450.5,177.25,0.0077181764642876806,6.375044572006417e-17,0.00557937958773393,0.005189420453975014,0.007619682488933267,0.5771807715216246,mgsm_cot
2,deepseek_r1_distill_llama_70b,google_gemma_2_27b_it,2750.0,0.858,0.8247272727272728,448.5,91.5,0.007701024939835407,1.6065999872289415e-05,,,0.007674842840220811,0.45240345591586895,mgsm_cot
3,deepseek_r1_distill_llama_70b,google_gemma_2_9b_it,2750.0,0.858,0.7784242424251272,525.3333333292,218.8333333309,0.008334600454595617,4.515103613795682e-22,0.00623506479971364,0.005318540843278448,0.008195298027420915,0.5055014260266043,mgsm_cot
4,deepseek_r1_distill_llama_70b,google_gemma_3_12b_it,2750.0,0.858,0.8623896103902546,368.47619047399996,-12.071428573199995,0.006980266782881464,0.5664233288181031,0.005035845969856232,0.004832946610048565,0.006979764864785715,0.5759466546588137,mgsm_cot
5,deepseek_r1_distill_llama_70b,google_gemma_3_27b_it,2750.0,0.858,0.8915151515155637,330.9999999987,-92.16666666780002,0.006615783781318009,4.6374698109712616e-07,0.004954892954123322,0.004336954082734055,0.006584841296687758,0.5853427353025173,mgsm_cot
6,deepseek_r1_distill_llama_70b,google_gemma_3_4b_it,2750.0,0.858,0.7123636363636363,648.125,400.5,0.009257563358618886,2.1723756551140756e-59,0.006710051668089431,0.005741513451106874,0.00883118169316377,0.49122691527261336,mgsm_cot
7,deepseek_r1_distill_llama_70b,llama-3.1-70B-instruct,2750.0,0.858,0.7701818181818182,551.0,241.5,0.008535777886767638,2.570141961216897e-25,0.003796475094149291,0.007459350195180215,0.008369894173454701,0.4158137012235856,mgsm_cot
8,deepseek_r1_distill_llama_70b,mistralai_mixtral_8x22b_instruct_v0.1,2750.0,0.858,0.6802181818181818,690.5,488.90000000000003,0.009555406067978845,1.1910151021305027e-84,0.006253329691564723,0.006380315483180562,0.008933787432904287,0.48885332972075946,mgsm_cot
9,deepseek_r1_distill_llama_70b,qwen2-72b-instruct,2750.0,0.858,0.7937272727272727,462.375,176.75,0.007819238829180791,1.6798926283559657e-16,0.0054393728369642146,0.005481928784707172,0.007722585063313008,0.5503016788019987,mgsm_cot
