,model_a,model_b,total,accA,accB,sum(A!=B),sum(A-B),SE_signtest,pvalue,SE_pred(A-B),SE_x(A-B),SE(A-B),"corr(A,B)",benchmark_id
0,deepseek_r1_distill_llama_70b,deepseek_r1_distill_llama_8b,6511.0,0.30379358009522345,0.22108739056980495,1964.5,538.5,0.006807353774283616,3.333353717578593e-34,0.006451840847522523,0.0019139584689294665,0.006729746454551388,0.43260749306953117,bbh_cot
1,deepseek_r1_distill_llama_70b,deepseek_r1_distill_qwen_14b,6511.0,0.30379358009522345,0.1915220396221318,1885.3333333222,731.0000000203,0.006668779803567585,4.481074446694175e-65,0.006232397601337262,0.0019219534884433586,0.0065220154149537276,0.42004432299396943,bbh_cot
2,deepseek_r1_distill_llama_70b,deepseek_r1_distill_qwen_32b,6511.0,0.30379358009522345,0.1731684841038243,1897.5,850.5,0.006690263097719092,7.758151512346982e-88,0.0062358660883617845,0.0018035979045062608,0.006491455250798536,0.3623403389282617,bbh_cot
3,deepseek_r1_distill_llama_70b,deepseek_r1_distill_qwen_7b,6511.0,0.30379358009522345,0.25551630573607736,1999.9999999868,314.33333335240013,0.006868585401604703,1.960226000640766e-12,0.006467056756619192,0.0022353253932122933,0.006842477819246009,0.4025089335737309,bbh_cot
4,deepseek_r1_distill_llama_70b,deepseek_v2_lite_chat,6511.0,0.30379358009522345,0.4144524650591307,2462.0,-720.5,0.007620725682724791,1.6180682832991812e-48,0.006617588856645837,0.0035216834675425002,0.007496314876068463,0.284662810006231,bbh_cot
5,deepseek_r1_distill_llama_70b,llama-3.2-1B-instruct,6511.0,0.30379358009522345,0.2752265397020427,2294.0,186.0,0.007356123492445429,0.0001113098122999461,0.004655968788580593,0.005684115539269446,0.0073475992558114525,0.17734283834074485,bbh_cot
6,deepseek_r1_distill_llama_70b,llama-3.2-3B-instruct,6511.0,0.30379358009522345,0.4991552756872984,2662.0,-1272.0,0.00792421645800303,1.6029019848570048e-139,0.004655968788580593,0.005937453934409141,0.007545290225264184,0.24192985919077162,bbh_cot
7,deepseek_r1_distill_llama_70b,mistralai_ministral_8b_instruct_2410,6511.0,0.30379358009522345,0.4720217068549224,2575.9999999866,-1095.3333333324,0.007795163594173871,2.2909089858189177e-106,0.006885164474023567,0.0030020804713331117,0.007511190118131472,0.3353634885517132,bbh_cot
8,deepseek_r1_distill_llama_70b,mistralai_mistral_7b_instruct_v0.1,6511.0,0.30379358009522345,0.35780474069271995,2355.9999999863003,-351.66666665029993,0.007454867823361276,4.996103185645465e-13,0.006649888038057684,0.0033024234631026574,0.007424756672669726,0.3019741664220965,bbh_cot
9,deepseek_r1_distill_llama_70b,mistralai_mistral_7b_instruct_v0.2,6511.0,0.30379358009522345,0.353350739771863,2306.6666666572,-322.6666666545999,0.007376404506953737,2.1533814182963453e-11,0.006305770407871484,0.0037777518069978685,0.0073507924166081135,0.3032522643021751,bbh_cot
10,deepseek_r1_distill_llama_70b,mistralai_mistral_7b_instruct_v0.3,6511.0,0.30379358009522345,0.4512363692203041,2466.9999999867,-959.9999999933998,0.007628460106376392,2.853346114231007e-85,0.0064707032507101605,0.003603405893721407,0.00740638471817777,0.33954865501132875,bbh_cot
11,deepseek_r1_distill_llama_70b,qwen1.5-0.5b-chat,6511.0,0.30379358009522345,0.1061280909230533,2068.75,1287.0,0.006985641759583878,5.149525958862357e-189,0.005816371219342544,0.002994686885818137,0.006542042777702345,0.19580299509468563,bbh_cot
12,deepseek_r1_distill_llama_70b,qwen1.5-1.8b-chat,6511.0,0.30379358009522345,0.11293708083297496,2104.9999999921,1242.6666666965002,0.00704657947899428,5.202647545915378e-172,0.005849734032439394,0.0031369301152374793,0.006637749528128,0.15451449130616102,bbh_cot
13,deepseek_r1_distill_llama_70b,qwen1.5-14b-chat,6511.0,0.30379358009522345,0.36753186914249725,2376.3333333183,-414.9999999867996,0.0074869681332869024,1.3965681103520976e-17,0.006750227306031237,0.003140886559292374,0.007445182137559377,0.30823877693226204,bbh_cot
