,model_a,model_b,total,accA,accB,sum(A!=B),sum(A-B),SE_signtest,pvalue,SE_pred(A-B),SE_x(A-B),SE(A-B),"corr(A,B)",benchmark_id
0,deepseek_r1_distill_llama_70b,deepseek_r1_distill_llama_8b,800.0,0.34125,0.2365625,215.75,83.75,0.018360538526960478,1.498773857134192e-08,0.01628601777599423,0.007627296977284121,0.017983604593620476,0.5490822343145866,cruxeval_input_cot
1,deepseek_r1_distill_llama_70b,deepseek_r1_distill_qwen_14b,800.0,0.34125,0.3409375,204.0,0.25,0.017853571071357127,1.0,0.017361805541667222,0.004161440407241323,0.01785356765270425,0.6615352992612157,cruxeval_input_cot
2,deepseek_r1_distill_llama_70b,deepseek_v2_lite_chat,800.0,0.34125,0.21249999999612498,249.9999999982,103.00000000310001,0.01976423537598122,5.4510159576874456e-11,0.016817030058630764,0.00933229858491731,0.019232896216403297,0.38737544051108497,cruxeval_input_cot
3,deepseek_r1_distill_llama_70b,google_codegemma_1.1_7b_it,800.0,0.34125,0.40549999999999997,257.80000000000007,-51.400000000000006,0.020070189336426302,0.001760828979946502,0.01774383695822299,0.009099927025806304,0.01994122418195533,0.4998875208874824,cruxeval_input_cot
4,deepseek_r1_distill_llama_70b,google_gemma_2_27b_it,800.0,0.34125,0.5275,252.0,-149.0,0.01984313483298443,3.066173058700569e-22,0.01713913650100261,0.007525866852064286,0.018718671744410713,0.5441712762148312,cruxeval_input_cot
5,deepseek_r1_distill_llama_70b,google_gemma_2_9b_it,800.0,0.34125,0.42708333333200005,241.9999999981,-68.66666666560002,0.019445436482553723,1.0402337868130984e-05,0.016801537627835834,0.009307208601339347,0.019207180912576123,0.5163209504574243,cruxeval_input_cot
6,deepseek_r1_distill_llama_70b,google_gemma_2b_it,800.0,0.34125,0.1534375,292.75,150.25,0.02138742329033584,4.394484140576388e-19,0.01606870016522805,0.012454992214156036,0.02033051785013573,0.12012688428267934,cruxeval_input_cot
7,deepseek_r1_distill_llama_70b,google_gemma_3_4b_it,800.0,0.34125,0.43825000000000003,257.2,-77.60000000000001,0.02004682019672946,9.461189114029648e-07,0.01710719877712304,0.009872056523338994,0.019751297425738897,0.5015195458562608,cruxeval_input_cot
8,deepseek_r1_distill_llama_70b,google_gemma_7b_it,800.0,0.34125,0.275625,284.25,52.5,0.021074644125109208,0.0024163692560846633,0.01751487463081975,0.011488537369283205,0.0209465348976567,0.28291691764362914,cruxeval_input_cot
9,deepseek_r1_distill_llama_70b,llama-3.1-70B-instruct,800.0,0.34125,0.53125,270.0,-152.0,0.02053959590644373,3.1328799240374958e-21,0.011858541225631423,0.01536635936062931,0.01941004894378167,0.4208040301740106,cruxeval_input_cot
10,deepseek_r1_distill_llama_70b,llama-3.1-8B-instruct,800.0,0.34125,0.27625,238.0,52.0,0.01928406077567689,0.0009081891284418302,0.011858541225631423,0.0150322569829018,0.01914663808609752,0.358058320617087,cruxeval_input_cot
11,deepseek_r1_distill_llama_70b,llama-3.2-3B-instruct,800.0,0.34125,0.2125,276.0,103.0,0.020766559657295187,7.801154900335474e-10,0.011858541225631423,0.016428764313696876,0.020261522570502937,0.18970122613360166,cruxeval_input_cot
