,model_a,model_b,total,accA,accB,sum(A!=B),sum(A-B),SE_signtest,pvalue,SE_pred(A-B),SE_x(A-B),SE(A-B),"corr(A,B)",benchmark_id
0,deepseek_r1_distill_llama_70b,deepseek_r1_distill_llama_8b,800.0,0.554375,0.3928125,249.5,129.25,0.019744461248664143,9.812002762256268e-17,0.01768871462260613,0.006657707806909786,0.018900150746546638,0.6171401184105676,cruxeval_output_cot
1,deepseek_r1_distill_llama_70b,deepseek_r1_distill_qwen_14b,800.0,0.554375,0.45875,265.5,76.5,0.020367713421000404,2.6000665990152296e-06,0.01892281471310932,0.006733547174564335,0.02008515805809728,0.56979074187489,cruxeval_output_cot
2,deepseek_r1_distill_llama_70b,google_codegemma_1.1_7b_it,800.0,0.554375,0.36150000000000004,270.5,154.29999999999998,0.020558605254248158,8.648197957727974e-22,0.016728531017396596,0.009813844454073541,0.01939472332797635,0.5336192563560419,cruxeval_output_cot
3,deepseek_r1_distill_llama_70b,google_gemma_2_27b_it,800.0,0.554375,0.599375,222.5,-36.0,0.018645542362720372,0.018619480178205267,0.01610512340840641,0.009260129588726067,0.0185775402031593,0.5505946718375646,cruxeval_output_cot
4,deepseek_r1_distill_llama_70b,google_gemma_2_9b_it,800.0,0.554375,0.46916666666750007,244.16666666609999,68.166666666,0.019532291638867706,1.5928319966694762e-05,0.015999674475685954,0.010790980411956856,0.019298570972462008,0.5224812223169583,cruxeval_output_cot
5,deepseek_r1_distill_llama_70b,google_gemma_3_12b_it,800.0,0.554375,0.694375,223.0,-112.0,0.0186664806538351,1.7044709322351443e-14,0.015232572008692425,0.009586774744407006,0.017998263805156317,0.5740820347127783,cruxeval_output_cot
6,deepseek_r1_distill_llama_70b,google_gemma_3_4b_it,800.0,0.554375,0.5489999999999999,234.3,4.299999999999997,0.019133576508326925,0.8445721639622709,0.015826204535516402,0.01075122721919456,0.01913263277018482,0.5457962348906453,cruxeval_output_cot
7,deepseek_r1_distill_llama_70b,llama-3.1-70B-instruct,800.0,0.554375,0.65375,222.5,-79.5,0.018645542362720372,8.380628297169348e-08,0.012151388809514737,0.013698750370699878,0.01831152674461499,0.49727186883721275,cruxeval_output_cot
8,deepseek_r1_distill_llama_70b,mistralai_ministral_8b_instruct_2410,800.0,0.554375,0.391875,255.25,130.0,0.019970681635838074,2.4301190660653444e-16,0.017177080174853157,0.00841238546232082,0.019126429685124197,0.574019433243765,cruxeval_output_cot
9,deepseek_r1_distill_llama_70b,mistralai_mixtral_8x22b_instruct_v0.1,800.0,0.554375,0.571875,224.0,-14.0,0.01870828693386971,0.38511100043645985,0.01663016836956259,0.00854720349003111,0.018698053040356905,0.5565973043591725,cruxeval_output_cot
10,deepseek_r1_distill_llama_70b,mistralai_mixtral_8x7b_instruct_v0.1,800.0,0.554375,0.4141666666664999,263.1666666651,112.16666666680001,0.020278015599762684,5.7248070758760885e-12,0.017312988861711,0.009321231807990415,0.01966278072257384,0.5175792229462292,cruxeval_output_cot
11,deepseek_r1_distill_llama_70b,qwen1.5-32b-chat,800.0,0.554375,0.44875,247.0,84.5,0.01964529205687714,1.3969933255432396e-07,0.01711632992203644,0.008889485317989452,0.019287086333055856,0.5217636867618519,cruxeval_output_cot
12,deepseek_r1_distill_llama_70b,qwen1.5-72b-chat,800.0,0.554375,0.45875,246.0,76.5,0.019605483926697653,1.4464583431114139e-06,0.01729794062887256,0.008586388892820427,0.019311779416168517,0.5243810735065871,cruxeval_output_cot
13,deepseek_r1_distill_llama_70b,qwen2-72b-instruct,800.0,0.554375,0.60375,226.0,-39.5,0.018791620472966133,0.009328368045545963,0.017388034679054445,0.006908971466054116,0.01871036174740483,0.5646886524168556,cruxeval_output_cot
14,deepseek_r1_distill_llama_70b,qwen2.5-coder-3b-instruct,800.0,0.554375,0.4446875,247.75,87.75,0.019675095298371494,3.239410085810891e-08,0.01715811882656915,0.008813010198735777,0.019289121038287036,0.5679911512709668,cruxeval_output_cot
15,deepseek_r1_distill_llama_70b,qwen2.5-coder-7b-instruct,800.0,0.554375,0.50875,243.75,36.5,0.019515618744994995,0.020730463034451512,0.01664582029619848,0.010058528266372602,0.0194488386341897,0.5400337377714743,cruxeval_output_cot
16,deepseek_r1_distill_llama_70b,qwen3-32b,800.0,0.554375,0.669375,187.0,-92.0,0.017093492913971678,6.256624766213142e-12,0.015612494995995997,0.005648561763847504,0.016602898843274327,0.6683303468550581,cruxeval_output_cot
17,deepseek_r1_distill_llama_70b,qwen3-4b,800.0,0.554375,0.569375,192.75,-12.0,0.017354304221143525,0.42735458939658755,0.016169673259943545,0.006279513648895642,0.017346199151399132,0.6896219833533619,cruxeval_output_cot
18,deepseek_r1_distill_llama_8b,deepseek_r1_distill_llama_70b,800.0,0.3928125,0.554375,249.5,-129.25,0.019744461248664143,9.812002762256268e-17,0.01768871462260613,0.006657707806909786,0.018900150746546638,0.6171401184105676,cruxeval_output_cot
19,deepseek_r1_distill_llama_8b,deepseek_r1_distill_qwen_14b,800.0,0.3928125,0.45875,268.125,-52.75,0.02046815361726602,0.0011655835720364043,0.01938171926498438,0.006153013769732748,0.020334960538864775,0.598061273067953,cruxeval_output_cot
20,deepseek_r1_distill_llama_8b,deepseek_r1_distill_qwen_32b,800.0,0.3928125,0.276875,256.5,92.75,0.02001952172255871,9.010793144616023e-09,0.01884351678960167,0.005375987827105593,0.019595391553046022,0.49975218929194754,cruxeval_output_cot
21,deepseek_r1_distill_llama_8b,deepseek_v2_lite_chat,800.0,0.3928125,0.244166666665125,256.41666666615004,118.91666666790003,0.020016269424292316,9.479317029630628e-14,0.0173543042209477,0.008477009317140212,0.01931402500661333,0.49867786331770186,cruxeval_output_cot
22,deepseek_r1_distill_llama_8b,google_codegemma_1.1_7b_it,800.0,0.3928125,0.36150000000000004,247.95,25.05000000000001,0.019683035208016064,0.12656974538898694,0.01724592343135038,0.009422017256388754,0.019651877370360508,0.5617102278811575,cruxeval_output_cot
23,deepseek_r1_distill_llama_8b,google_gemma_2_9b_it,800.0,0.3928125,0.46916666666750007,243.9166666662,-61.08333333399999,0.019522289611260703,0.00010988909937604945,0.016539882355322746,0.010013223001544527,0.01933474445671773,0.5772421170484153,cruxeval_output_cot
24,deepseek_r1_distill_llama_8b,google_gemma_3_1b_it,800.0,0.3928125,0.2675,262.25,100.25,0.02024266842587706,5.978011849412338e-10,0.016618419750385412,0.010675426065487386,0.01975187577623167,0.45555066275721284,cruxeval_output_cot
25,deepseek_r1_distill_llama_8b,google_gemma_3_4b_it,800.0,0.3928125,0.5489999999999999,247.75,-124.95000000000003,0.019675095298371494,7.02726384296853e-16,0.01637213715432411,0.009411128043687829,0.018884284631796023,0.6307967965172487,cruxeval_output_cot
