,model_a,model_b,total,accA,accB,sum(A!=B),sum(A-B),SE_signtest,pvalue,SE_pred(A-B),SE_x(A-B),SE(A-B),"corr(A,B)",benchmark_id
0,deepseek_r1_distill_llama_8b,deepseek_r1_distill_qwen_1.5b,1000.0,0.04825,0.01225,49.5,36.0,0.007035623639735145,3.6245783263666453e-07,0.006231639698613306,0.00306115446631931,0.006942910052708447,0.4211019780733434,ds1000
1,deepseek_r1_distill_llama_8b,deepseek_r1_distill_qwen_14b,1000.0,0.04825,0.1395,138.875,-91.25,0.011784523749392676,6.529423138028675e-16,0.010152996273678688,0.0052407159975204395,0.011425779513888757,0.4557773114576476,ds1000
2,deepseek_r1_distill_llama_8b,deepseek_r1_distill_qwen_7b,1000.0,0.04825,0.11775,122.625,-69.5,0.01107361729517505,1.2611644459620753e-10,0.009539392014169456,0.005176364554395295,0.01085332898239061,0.4362354146167739,ds1000
3,deepseek_r1_distill_llama_8b,deepseek_v2_lite_chat,1000.0,0.04825,0.136999999999,141.91666666555,-88.749999999,0.01191287818562542,1.482381211092684e-14,0.009482439910893188,0.00664254751597815,0.011577569009326938,0.3540666993526205,ds1000
4,deepseek_r1_distill_llama_8b,google_codegemma_1.1_7b_it,1000.0,0.04825,0.1864,190.25000000000003,-138.15,0.013793114224133722,1.1030224948798591e-25,0.010093727425155356,0.008323535556881262,0.01308298809523268,0.28319190934708205,ds1000
5,deepseek_r1_distill_llama_8b,google_gemma_2_9b_it,1000.0,0.04825,0.10499999999819999,129.41666666545,-56.749999998199996,0.011376144631000874,5.432420732076601e-07,0.007994789970036737,0.007891732224337969,0.011233703937956275,0.16868664025785288,ds1000
6,deepseek_r1_distill_llama_8b,google_gemma_2b_it,1000.0,0.04825,0.0045,51.875,43.75,0.007202430145443967,2.4163071543625847e-10,0.005909032633745278,0.0038786944753787115,0.007068305136310967,0.041451186836260256,ds1000
7,deepseek_r1_distill_llama_8b,google_gemma_3_1b_it,1000.0,0.04825,0.036,72.0,12.25,0.00848528137423857,0.1945051658673991,0.006601767440112786,0.005316634665525426,0.008476434244421413,0.18322283289172714,ds1000
8,deepseek_r1_distill_llama_8b,google_gemma_3_4b_it,1000.0,0.04825,0.1922,173.95,-143.95,0.013189010576991742,2.8083659713826914e-31,0.008153731252214125,0.009313703031913067,0.01237854585563264,0.4445838232178656,ds1000
9,deepseek_r1_distill_llama_8b,google_gemma_7b_it,1000.0,0.04825,0.046,84.5,2.25,0.009192388155425118,0.913202362224597,0.006563789555838405,0.006435184858779635,0.009192112787602206,0.09428946654221218,ds1000
