,model,pass1,pass@count,win_rate,count,SE(A),SE_x(A),SE_pred(A)
48,qwen3-32b,0.9202898550749999,0.9565217391304348,0.4209057971029533,3.0,0.02823743231818891,0.021045432756221776,0.01882663921223452
47,qwen3-14b,0.9021739130456522,0.9565217391304348,0.4060193236725984,3.0,0.030972663905581843,0.02206164357819405,0.02173913043423913
50,qwen3-8b,0.8623188405815216,0.9456521739130435,0.38531642512181585,3.0,0.035923387343862696,0.024919621844475076,0.0258747406824794
42,qwen2.5-coder-32b-instruct,0.8586956521739131,0.9021739130434783,0.3772318840579239,2.0,0.03631645768846932,0.029091155133096572,0.021739130434782608
13,google_gemma_3_27b_it,0.8333333333326088,0.8804347826086957,0.3560362318833848,3.0,0.03885436701008064,0.03456301454439608,0.017749925671898124
34,qwen2-72b-instruct,0.8206521739130435,0.9021739130434783,0.3610289855072065,2.0,0.039997579188272965,0.026715173231868533,0.02976753029919381
4,deepseek_r1_distill_qwen_32b,0.8152173913043478,0.8804347826086957,0.36444746376808695,2.0,0.04046442294315621,0.030471049145572422,0.026624888508512804
49,qwen3-4b,0.8125,0.9239130434782609,0.34965670289846196,4.0,0.04069287807573896,0.0299632697590998,0.02753384810429468
0,deepseek_r1_distill_llama_70b,0.8097826086956522,0.8478260869565217,0.35283876811586956,2.0,0.04091809626103532,0.03550738702825685,0.020335094493336637
11,google_gemma_3_12b_it,0.7880434782608695,0.8913043478260869,0.3342735507245652,4.0,0.042609316524545575,0.0344301340680165,0.025102185616940248
3,deepseek_r1_distill_qwen_14b,0.7853260869565217,0.8695652173913043,0.3395163043477554,4.0,0.04280758568774822,0.034816882260399355,0.024905302689977392
8,google_gemma_2_27b_it,0.782608695652174,0.8586956521739131,0.3331521739129783,2.0,0.04300307435189915,0.0319723672506292,0.028758166424615116
24,mistralai_mixtral_8x22b_instruct_v0.1,0.7753623188445653,0.9130434782608695,0.336799516909436,3.0,0.04351106722789341,0.027406586323142183,0.03379485164078127
41,qwen2.5-coder-14b-instruct,0.7608695652217392,0.8913043478260869,0.31966304348046193,3.0,0.04447117653983513,0.029579993713395286,0.03320707025247301
9,google_gemma_2_9b_it,0.7228260869565217,0.8586956521739131,0.30198641304339674,4.0,0.04666584904491821,0.035663768247814455,0.0300964632714423
30,qwen1.5-72b-chat,0.6684782608695652,0.8043478260869565,0.2823786231883261,2.0,0.0490801336341647,0.030528943927991166,0.038429716368834105
29,qwen1.5-32b-chat,0.6630434782608695,0.8478260869565217,0.27177536231896376,3.0,0.049279242498919996,0.03300665585145295,0.036592409196049246
37,qwen2-math-72b-instruct,0.6467391304347826,0.8369565217391305,0.2795760869563913,2.0,0.049833159424751014,0.020390278026255555,0.04547065361598237
