,model_a,model_b,total,accA,accB,sum(A!=B),sum(A-B),SE_signtest,pvalue,SE_pred(A-B),SE_x(A-B),SE(A-B),"corr(A,B)",benchmark_id
0,deepseek_r1_distill_llama_70b,deepseek_r1_distill_qwen_14b,92.0,0.8097826086956522,0.7853260869565217,14.75,2.25,0.04174535732537287,0.79052734375,0.03215260751684574,0.026502516256412843,0.041667415783244253,0.6249839106570558,gmat_cot
1,deepseek_r1_distill_llama_70b,deepseek_r1_distill_qwen_32b,92.0,0.8097826086956522,0.8152173913043478,12.0,-0.5,0.03765327842541037,0.7744140625,0.03350225001613574,0.017176948715937296,0.037649014905221705,0.6902456296653424,gmat_cot
2,deepseek_r1_distill_llama_70b,deepseek_r1_distill_qwen_7b,92.0,0.8097826086956522,0.6168478260869565,28.75,17.75,0.05828155051501961,0.0009122341871261597,0.039316185532990405,0.038031169243735355,0.054700386460336516,0.3937713461656592,gmat_cot
3,deepseek_r1_distill_llama_70b,google_gemma_2_27b_it,92.0,0.8097826086956522,0.782608695652174,19.5,2.5,0.047998700360477424,0.6476058959960938,0.03522141683917315,0.03248539227005619,0.047915017636417666,0.4228938601843267,gmat_cot
4,deepseek_r1_distill_llama_70b,google_gemma_2_9b_it,92.0,0.8097826086956522,0.7228260869565217,23.25,8.0,0.05241114544017911,0.21003961563110352,0.03632235082565837,0.03668004181834316,0.05162110650981446,0.40032471217441157,gmat_cot
5,deepseek_r1_distill_llama_70b,google_gemma_3_12b_it,92.0,0.8097826086956522,0.7880434782608695,22.5,2.0,0.05155887489404966,0.8318119049072266,0.03230535235530255,0.04011913438714921,0.05150903546732738,0.2979853222864335,gmat_cot
6,deepseek_r1_distill_llama_70b,google_gemma_3_27b_it,92.0,0.8097826086956522,0.8333333333326088,20.5,-2.166666666600001,0.0492140496637903,0.8238029479980469,0.026992145698533088,0.04107819489543546,0.04915276213274506,0.2780387434319776,gmat_cot
7,deepseek_r1_distill_llama_70b,google_gemma_3_4b_it,92.0,0.8097826086956522,0.6413043478260869,31.299999999999997,15.499999999999998,0.060811307524779847,0.010673840530216694,0.03949109157518468,0.042777763175198436,0.058219269456709806,0.25752784689618646,gmat_cot
8,deepseek_r1_distill_llama_70b,mistralai_mixtral_8x22b_instruct_v0.1,92.0,0.8097826086956522,0.7753623188445653,23.1666666665,3.166666666300001,0.05231713434109316,0.6776394844055176,0.039441197566445,0.03418474358157868,0.05219391496346706,0.32716682752320164,gmat_cot
9,deepseek_r1_distill_llama_70b,qwen1.5-32b-chat,92.0,0.8097826086956522,0.6630434782608695,28.500000000200007,13.500000000000004,0.05802759919602595,0.012540951371192932,0.04186311597127045,0.03715688716154,0.055974590149097614,0.3229207299729597,gmat_cot
10,deepseek_r1_distill_llama_70b,qwen1.5-72b-chat,92.0,0.8097826086956522,0.6684782608695652,30.0,13.0,0.05953506059838762,0.042773945257067694,0.043478260869565216,0.037908212132115975,0.057683548047042586,0.24134813058855153,gmat_cot
