,model_a,model_b,total,accA,accB,sum(A!=B),sum(A-B),SE_signtest,pvalue,SE_pred(A-B),SE_x(A-B),SE(A-B),"corr(A,B)",benchmark_id
0,deepseek_r1_distill_llama_70b,deepseek_r1_distill_llama_8b,448.0,0.20424107142857142,0.19754464285714285,68.0,3.0,0.018406721542935982,0.9035973456835127,0.01632671745349084,0.008493856665597349,0.018404002387030785,0.6993591427460989,gpqa_cot
1,deepseek_r1_distill_llama_70b,deepseek_r1_distill_qwen_1.5b,448.0,0.20424107142857142,0.09598214285714286,82.5,48.5,0.020274444335474276,8.953883178712315e-08,0.015545076202214419,0.011968416540246917,0.019618674486659618,0.49856464410121704,gpqa_cot
2,deepseek_r1_distill_llama_70b,deepseek_r1_distill_qwen_14b,448.0,0.20424107142857142,0.23214285714285715,59.0,-12.5,0.017145414615778145,0.11747735024505848,0.015992697366223718,0.00603830510604437,0.017094662839649704,0.7851322402815513,gpqa_cot
3,deepseek_r1_distill_llama_70b,deepseek_r1_distill_qwen_32b,448.0,0.20424107142857142,0.26339285714285715,60.0,-26.5,0.017290104224140252,0.00039404324272610154,0.016478597165439063,0.004426445476453988,0.017062754293983025,0.7665424250264199,gpqa_cot
4,deepseek_r1_distill_llama_70b,deepseek_r1_distill_qwen_7b,448.0,0.20424107142857142,0.19698660714285715,63.5,3.25,0.017787251618871906,0.8013064925040663,0.01618624249836837,0.007367116287413256,0.017783949184819892,0.7353719831437274,gpqa_cot
5,deepseek_r1_distill_llama_70b,deepseek_v2_lite_chat,448.0,0.20424107142857142,0.24553571428571427,147.0,-18.5,0.027063293868263706,0.13737776624912437,0.021117062420116628,0.016813244590323784,0.02699287904076099,0.08666117507343603,gpqa_cot
6,deepseek_r1_distill_llama_70b,google_codegemma_1.1_7b_it,448.0,0.20424107142857142,0.2714285714285714,155.9,-30.1,0.02787051819465823,0.015693618723720132,0.021081640987709992,0.017951433016762455,0.027689159143787723,0.08082462310303735,gpqa_cot
7,deepseek_r1_distill_llama_70b,google_gemma_2_9b_it,448.0,0.20424107142857142,0.3058035714261161,133.4999999992,-45.4999999989,0.025790669661287326,0.00011857946685526096,0.018156896341832027,0.0176765758570182,0.025340367376913697,0.3062310656728259,gpqa_cot
8,deepseek_r1_distill_llama_70b,google_gemma_2b_it,448.0,0.20424107142857142,0.12332589285714286,120.75,36.25,0.02452819305338829,0.0012993330972502712,0.01756409469362035,0.016688930425494793,0.02422845065524142,0.05033282443891145,gpqa_cot
9,deepseek_r1_distill_llama_70b,google_gemma_3_12b_it,448.0,0.20424107142857142,0.34988839285714285,147.5,-65.25,0.02710928080689982,8.08924594039042e-08,0.019125787104206773,0.017937854096431283,0.02622140999146115,0.2931515484250134,gpqa_cot
10,deepseek_r1_distill_llama_70b,google_gemma_3_1b_it,448.0,0.20424107142857142,0.24386160714285715,149.25,-17.75,0.027269624381407627,0.14005540740614844,0.02064983494996714,0.01771193783686788,0.027205301420825247,0.07372595059509372,gpqa_cot
11,deepseek_r1_distill_llama_70b,google_gemma_3_4b_it,448.0,0.20424107142857142,0.3,147.1,-42.900000000000006,0.02707249750528143,0.0004896357481684591,0.019071436931512347,0.01867437207977736,0.026691794229811924,0.2078765479134828,gpqa_cot
12,deepseek_r1_distill_llama_70b,google_gemma_7b_it,448.0,0.20424107142857142,0.26060267857142855,138.75,-25.25,0.026292899529887826,0.032947508495640404,0.01823675740889307,0.018752241232392917,0.026157711521244995,0.19066222610140474,gpqa_cot
13,deepseek_r1_distill_llama_70b,llama-3.1-8B-instruct,448.0,0.20424107142857142,0.3169642857142857,146.5,-50.5,0.027017228653817418,4.266345800701665e-05,0.010587983237170914,0.024278848417122918,0.026487126486129903,0.18761998953622105,gpqa_cot
14,deepseek_r1_distill_llama_70b,llama-3.2-1B-instruct,448.0,0.20424107142857142,0.109375,118.5,42.5,0.024298594929773706,0.00013823849699097512,0.010587983237170914,0.02140626070267842,0.023881653759772307,0.019142211697885242,gpqa_cot
15,deepseek_r1_distill_llama_70b,llama-3.2-3B-instruct,448.0,0.20424107142857142,0.2611607142857143,137.5,-25.5,0.026174195088300385,0.03992817966861662,0.010587983237170914,0.02378552713219423,0.02603568109320285,0.15906548645583052,gpqa_cot
16,deepseek_r1_distill_llama_70b,mistralai_mathstral_7b_v0.1,448.0,0.20424107142857142,0.2974330357142857,144.25,-41.75,0.026808955690768556,0.0005851398425063664,0.021898902757085472,0.014824728597207588,0.026444933729263723,0.26842664214406287,gpqa_cot
17,deepseek_r1_distill_llama_70b,mistralai_ministral_8b_instruct_2410,448.0,0.20424107142857142,0.26450892857142855,131.5,-27.0,0.025596752100847577,0.022743268128245023,0.021254251275425146,0.01397651240288806,0.02543788702363062,0.31949933778084855,gpqa_cot
18,deepseek_r1_distill_llama_70b,mistralai_mistral_7b_instruct_v0.1,448.0,0.20424107142857142,0.21316964285714285,138.5,-4.0,0.026269201553437097,0.7985445343004955,0.021273777463535412,0.015405174378276978,0.026265814382827515,0.12372260246243111,gpqa_cot
19,deepseek_r1_distill_llama_70b,mistralai_mistral_7b_instruct_v0.2,448.0,0.20424107142857142,0.21707589285714285,136.25,-5.75,0.026054949843590965,0.6682658523131814,0.019912832873619994,0.01679201570720867,0.026047892516744303,0.14102018880135353,gpqa_cot
20,deepseek_r1_distill_llama_70b,mistralai_mistral_7b_instruct_v0.3,448.0,0.20424107142857142,0.26450892857142855,140.0,-27.0,0.026411070460266143,0.022154955980559547,0.020335789239161378,0.01661001797086028,0.02625713276372523,0.21290043535226494,gpqa_cot
21,deepseek_r1_distill_llama_70b,mistralai_mixtral_8x22b_instruct_v0.1,448.0,0.20424107142857142,0.3158482142857143,132.0,-50.0,0.025645368957759054,1.6057112657658832e-05,0.020939356070640312,0.013835620708747375,0.025097430805749433,0.3439619755122538,gpqa_cot
22,deepseek_r1_distill_llama_70b,mistralai_mixtral_8x7b_instruct_v0.1,448.0,0.20424107142857142,0.3035714285689732,141.833333332,-44.49999999890001,0.02658343762628851,0.0001881808393573053,0.02047821271468872,0.01628798570221319,0.026165925823932543,0.2621042064284704,gpqa_cot
23,deepseek_r1_distill_llama_70b,qwen1.5-0.5b-chat,448.0,0.20424107142857142,0.01875,93.69999999999999,83.1,0.021606866143446538,1.1112241759254372e-20,0.012327411849539354,0.0154301776295,0.01974982188745219,0.12998518124264313,gpqa_cot
24,deepseek_r1_distill_llama_70b,qwen1.5-1.8b-chat,448.0,0.20424107142857142,0.08035714285022322,111.8333333313,55.50000000309999,0.023605196546236756,1.6752020995667599e-07,0.01682765309185693,0.015484772861916482,0.022868058491376728,0.01916411408306895,gpqa_cot
25,deepseek_r1_distill_llama_70b,qwen1.5-14b-chat,448.0,0.20424107142857142,0.27678571428191967,145.16666666510002,-32.4999999983,0.026894002339033177,0.007656052792678145,0.01981878065718642,0.017853743041585702,0.026674711007481162,0.17372340216663568,gpqa_cot
26,deepseek_r1_distill_llama_70b,qwen1.5-32b-chat,448.0,0.20424107142857142,0.32254464285714285,138.0,-53.0,0.026221741349265023,4.937339874544326e-06,0.02033578923916138,0.015581877790208015,0.02561911863137703,0.3019835808343941,gpqa_cot
27,deepseek_r1_distill_llama_70b,qwen1.5-72b-chat,448.0,0.20424107142857142,0.30245535714285715,136.0,-44.0,0.02603103524484509,0.00020179722637925918,0.01958697407900027,0.016505571479066793,0.025614125857073705,0.27699985733272037,gpqa_cot
28,deepseek_r1_distill_llama_70b,qwen1.5-7b-chat,448.0,0.20424107142857142,0.22916666666093752,140.49999999750003,-11.166666664099992,0.026458191051393395,0.35258382707227787,0.020959175626102704,0.016104720837280425,0.026431970720560208,0.1256950152018375,gpqa_cot
29,deepseek_r1_distill_llama_70b,qwen2-0.5b-instruct,448.0,0.20424107142857142,0.078125,112.69999999999999,56.5,0.023696485762661097,1.1106999545541781e-07,0.016523888860108703,0.01590539890060883,0.022935139355336674,-0.012491175394002591,gpqa_cot
30,deepseek_r1_distill_llama_70b,qwen2-1.5b-instruct,448.0,0.20424107142857142,0.10993303571428571,118.25,42.25,0.024272949967557526,0.00013823849699097512,0.017775576362202814,0.015917044136615897,0.023860498927211933,0.041866555265826146,gpqa_cot
